run_id,started_at,mode,condition,N,target_hz,modules,block,batch_id,repeat,old_relative_path,new_relative_path,duration_s,main_duration_s,main_packets,main_status,full_status,full_review_reasons,main_rate_Hz,main_Lmean_B,main_packet_Mbit_s,main_raw_arrival_Mbit_s,main_K_ESKD_mean,main_q_ESKF,main_ESKF_count,main_ESKD_count,source_local_firmware,deployment_confirmed,main_eligible,main_review_reasons,main_outer_crc_errors,main_outer_missing_sequence_numbers,main_missing_valid_expected_updates,main_interior_unassigned_raw_bytes,source_review,timing_note,replacement_batch_id,primary_matrix_selected,selection_reason,pc_max_completion_gap_ms,host_max_enqueue_gap_ms,host_packet_span_rate_Hz,independent_raw_audit,load_layers,load_description,independent_review_reasons,main_inner_sequence_events,recorded_condition,dataset_role,dynamic_analysis_selected,main_q_ESKF_pct,actual_load_protocol,loading_relationship_between_modules,independent_main_status,main_equal_rate_FULL_saving_pct,dynamic_batch_eligible,dynamic_selection_reason
20260907_115145_448767,2026-09-07T11:51:45.448767+01:00,DELTA,large_area,4,200,M0_M1_M2_M3,1,BATCH_044efb5e7ab5440fa025a8237d0fe1f9,1,20260907_115145_448767,DELTA/Dynamic_load/N=4/200Hz/M0_M1_M2_M3/Full_coverage_all_modules/Batch_after_connector_reinstallation/Repeat_1,40.002017999999225,30.002017999999225,5982,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,199.38658792885713,1438.1360748913407,2.29396035959987,2.2939606262486003,130.9288715234014,0.00526579739217653,126,23802,four-module-variable-spi,False,True,,0,0,0,0,20260907_n4_connector_retest_review,PC completion rate is not physical scan rate; see independent audit.,,False,post-reinstallation N=4 dynamic performance batch,18.50520001607947,7,,PASS,unspecified,四个模块同时全覆盖动态加载；connector重新安装后复测,,0,zero_load,dynamic_performance_post_connector_reinstallation,True,0.526579739217653,full_coverage_all_modules_after_connector_reinstallation,simultaneous_coverage_and_loading_of_all_four_modules,PASS,65.88861302439895,True,complete_three_window_post_reinstallation_batch_passed
20260907_115225_490019,2026-09-07T11:52:25.490019+01:00,DELTA,large_area,4,200,M0_M1_M2_M3,1,BATCH_044efb5e7ab5440fa025a8237d0fe1f9,2,20260907_115225_490019,DELTA/Dynamic_load/N=4/200Hz/M0_M1_M2_M3/Full_coverage_all_modules/Batch_after_connector_reinstallation/Repeat_2,40.00054030001047,30.00054030001047,5981,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,199.36307613759584,1480.7767931783983,2.3616977324896804,2.3616977324896804,136.34463490462986,0.005099481692024745,122,23802,four-module-variable-spi,False,True,,0,0,0,0,20260907_n4_connector_retest_review,PC completion rate is not physical scan rate; see independent audit.,,False,post-reinstallation N=4 dynamic performance batch,17.141499993158504,7,,PASS,unspecified,四个模块同时全覆盖动态加载；connector重新安装后复测,,0,zero_load,dynamic_performance_post_connector_reinstallation,True,0.5099481692024745,full_coverage_all_modules_after_connector_reinstallation,simultaneous_coverage_and_loading_of_all_four_modules,PASS,64.87721078798864,True,complete_three_window_post_reinstallation_batch_passed
20260907_115305_535263,2026-09-07T11:53:05.535263+01:00,DELTA,large_area,4,200,M0_M1_M2_M3,1,BATCH_044efb5e7ab5440fa025a8237d0fe1f9,3,20260907_115305_535263,DELTA/Dynamic_load/N=4/200Hz/M0_M1_M2_M3/Full_coverage_all_modules/Batch_after_connector_reinstallation/Repeat_3,40.00132740000845,30.00132740000845,5985,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,199.49117318050116,1495.7366750208855,2.3870901125521478,2.3870903792070157,138.18232206592484,0.0052213868003341685,125,23815,four-module-variable-spi,False,True,,0,0,0,0,20260907_n4_connector_retest_review,PC completion rate is not physical scan rate; see independent audit.,,False,post-reinstallation N=4 dynamic performance batch,16.74210000783205,7,,PASS,unspecified,四个模块同时全覆盖动态加载；connector重新安装后复测,,0,zero_load,dynamic_performance_post_connector_reinstallation,True,0.5221386800334169,full_coverage_all_modules_after_connector_reinstallation,simultaneous_coverage_and_loading_of_all_four_modules,PASS,64.5223748809088,True,complete_three_window_post_reinstallation_batch_passed
