actual_load_g,method,metric,unit,mean,sd,n_captures
213.0,GAMMA,iqr,g,22.52331552439748,,1
213.0,GAMMA,mean_estimate_absolute_percentage_error,%,77.70589633670414,,1
213.0,FIT_PRESS,mean,g,172.2511468522794,,1
213.0,FIT_PRESS,bias_g,g,-40.74885314772064,,1
213.0,FIT_PRESS,mae_g,g,108.92997059212226,,1
213.0,FIT_PRESS,rmse_g,g,318.13279463473697,,1
213.0,FIT_PRESS,std,g,315.51229134417764,,1
213.0,FIT_PRESS,cv_percent,%,183.16992200624207,,1
213.0,FIT_PRESS,mad,g,44.4229384186805,,1
213.0,FIT_PRESS,variance,g^2,99548.00598925323,,1
213.0,FIT_PRESS,iqr,g,84.11792518834866,,1
213.0,FIT_PRESS,mean_estimate_absolute_percentage_error,%,19.130916970760865,,1
284.0,LINEAR,mean,g,1052.1842466427854,,1
284.0,LINEAR,bias_g,g,768.1842466427855,,1
284.0,LINEAR,mae_g,g,916.1391833091695,,1
284.0,LINEAR,rmse_g,g,1200.911935235313,,1
284.0,LINEAR,std,g,923.0831161929465,,1
284.0,LINEAR,cv_percent,%,87.73017835405128,,1
284.0,LINEAR,mad,g,782.3154967385009,,1
284.0,LINEAR,variance,g^2,852082.4394004807,,1
284.0,LINEAR,iqr,g,1619.033762354866,,1
284.0,LINEAR,mean_estimate_absolute_percentage_error,%,270.48741078971324,,1
284.0,GAMMA,mean,g,91.4215820654541,,1
284.0,GAMMA,bias_g,g,-192.5784179345459,,1
284.0,GAMMA,mae_g,g,266.450121108323,,1
284.0,GAMMA,rmse_g,g,379.73753379839735,,1
284.0,GAMMA,std,g,327.2829777442089,,1
284.0,GAMMA,cv_percent,%,357.99312410704914,,1
284.0,GAMMA,mad,g,8.044137826358178,,1
284.0,GAMMA,variance,g^2,107114.14752111633,,1
284.0,GAMMA,iqr,g,68.96862266375467,,1
284.0,GAMMA,mean_estimate_absolute_percentage_error,%,67.80930208962884,,1
284.0,FIT_PRESS,mean,g,229.0175997313706,,1
284.0,FIT_PRESS,bias_g,g,-54.982400268629405,,1
284.0,FIT_PRESS,mae_g,g,104.06007910160203,,1
284.0,FIT_PRESS,rmse_g,g,252.7361941414956,,1
284.0,FIT_PRESS,std,g,246.68303445885368,,1
284.0,FIT_PRESS,cv_percent,%,107.713570812114,,1
284.0,FIT_PRESS,mad,g,52.49690916075858,,1
284.0,FIT_PRESS,variance,g^2,60852.519489827995,,1
284.0,FIT_PRESS,iqr,g,110.35778165816862,,1
284.0,FIT_PRESS,mean_estimate_absolute_percentage_error,%,19.360000094587818,,1
352.0,LINEAR,mean,g,1408.9856359335452,,1
352.0,LINEAR,bias_g,g,1056.9856359335452,,1
352.0,LINEAR,mae_g,g,1190.350913929822,,1
352.0,LINEAR,rmse_g,g,1481.821168725966,,1
352.0,LINEAR,std,g,1038.5448192131846,,1
352.0,LINEAR,cv_percent,%,73.70868749311846,,1
352.0,LINEAR,mad,g,767.902489983941,,1
352.0,LINEAR,variance,g^2,1078575.3415145462,,1
352.0,LINEAR,iqr,g,1643.0474304768518,,1
352.0,LINEAR,mean_estimate_absolute_percentage_error,%,300.28001020839355,,1
352.0,GAMMA,mean,g,171.7635456991026,,1
352.0,GAMMA,bias_g,g,-180.2364543008974,,1
352.0,GAMMA,mae_g,g,323.42557958497736,,1
352.0,GAMMA,rmse_g,g,400.8379747041311,,1
352.0,GAMMA,std,g,358.0305887853022,,1
352.0,GAMMA,cv_percent,%,208.44387400601545,,1
352.0,GAMMA,mad,g,32.70443306130788,,1
352.0,GAMMA,variance,g^2,128185.90250595016,,1
352.0,GAMMA,iqr,g,171.36458201580473,,1
352.0,GAMMA,mean_estimate_absolute_percentage_error,%,51.20353815366404,,1
352.0,FIT_PRESS,mean,g,277.3705640579585,,1
352.0,FIT_PRESS,bias_g,g,-74.62943594204151,,1
352.0,FIT_PRESS,mae_g,g,93.07834202679086,,1
352.0,FIT_PRESS,rmse_g,g,128.79949994266107,,1
352.0,FIT_PRESS,std,g,104.9750373967653,,1
352.0,FIT_PRESS,cv_percent,%,37.846495266466,,1
352.0,FIT_PRESS,mad,g,46.78031496062988,,1
352.0,FIT_PRESS,variance,g^2,11019.758476452274,,1
352.0,FIT_PRESS,iqr,g,112.893023255814,,1
352.0,FIT_PRESS,mean_estimate_absolute_percentage_error,%,21.20154430171634,,1
421.0,LINEAR,mean,g,1713.7861357010875,,1
421.0,LINEAR,bias_g,g,1292.7861357010875,,1
421.0,LINEAR,mae_g,g,1442.270164509738,,1
421.0,LINEAR,rmse_g,g,1726.764039497103,,1
421.0,LINEAR,std,g,1144.7349280245635,,1
421.0,LINEAR,cv_percent,%,66.79566978503227,,1
421.0,LINEAR,mad,g,853.0077066729793,,1
421.0,LINEAR,variance,g^2,1310418.0554394026,,1
421.0,LINEAR,iqr,g,1797.6923417924409,,1
421.0,LINEAR,mean_estimate_absolute_percentage_error,%,307.07509161546017,,1
421.0,GAMMA,mean,g,283.82180498283594,,1
421.0,GAMMA,bias_g,g,-137.17819501716406,,1
421.0,GAMMA,mae_g,g,387.2649775345522,,1
421.0,GAMMA,rmse_g,g,498.13535206358694,,1
421.0,GAMMA,std,g,478.8746931999504,,1
421.0,GAMMA,cv_percent,%,168.72371494815567,,1
421.0,GAMMA,mad,g,82.42486941649219,,1
421.0,GAMMA,variance,g^2,229320.9717873466,,1
421.0,GAMMA,iqr,g,355.9214991731348,,1
421.0,GAMMA,mean_estimate_absolute_percentage_error,%,32.58389430336439,,1
421.0,FIT_PRESS,mean,g,336.93644648229036,,1
421.0,FIT_PRESS,bias_g,g,-84.06355351770962,,1
421.0,FIT_PRESS,mae_g,g,99.76189653770832,,1
421.0,FIT_PRESS,rmse_g,g,134.18474531168602,,1
421.0,FIT_PRESS,std,g,104.5890283172055,,1
421.0,FIT_PRESS,cv_percent,%,31.04117390954403,,1
421.0,FIT_PRESS,mad,g,57.355001805706024,,1
421.0,FIT_PRESS,variance,g^2,10938.864844337215,,1
421.0,FIT_PRESS,iqr,g,128.08099977881,,1
421.0,FIT_PRESS,mean_estimate_absolute_percentage_error,%,19.967589909194686,,1
489.0,LINEAR,mean,g,1994.7860867975462,,1
489.0,LINEAR,bias_g,g,1505.7860867975462,,1
489.0,LINEAR,mae_g,g,1625.7398874287974,,1
489.0,LINEAR,rmse_g,g,1869.9106621370706,,1
489.0,LINEAR,std,g,1108.681264016322,,1
489.0,LINEAR,cv_percent,%,55.57895512476791,,1
489.0,LINEAR,mad,g,723.2032080822407,,1
489.0,LINEAR,variance,g^2,1229174.1451808296,,1
489.0,LINEAR,iqr,g,1524.4962555777497,,1
489.0,LINEAR,mean_estimate_absolute_percentage_error,%,307.93171509152273,,1
489.0,GAMMA,mean,g,377.7649899375221,,1
489.0,GAMMA,bias_g,g,-111.23501006247793,,1
489.0,GAMMA,mae_g,g,444.2530060653808,,1
489.0,GAMMA,rmse_g,g,615.308668613415,,1
489.0,GAMMA,std,g,605.1706620509735,,1
489.0,GAMMA,cv_percent,%,160.19765678949278,,1
489.0,GAMMA,mad,g,133.79802814574967,,1
489.0,GAMMA,variance,g^2,366231.5302072136,,1
489.0,GAMMA,iqr,g,498.96596765788075,,1
489.0,GAMMA,mean_estimate_absolute_percentage_error,%,22.747445820547632,,1
489.0,FIT_PRESS,mean,g,378.7939201809686,,1
489.0,FIT_PRESS,bias_g,g,-110.20607981903144,,1
489.0,FIT_PRESS,mae_g,g,121.36176178857094,,1
489.0,FIT_PRESS,rmse_g,g,162.6807574026508,,1
489.0,FIT_PRESS,std,g,119.66473498914121,,1
489.0,FIT_PRESS,cv_percent,%,31.590986183720016,,1
489.0,FIT_PRESS,mad,g,65.92709529276698,,1
489.0,FIT_PRESS,variance,g^2,14319.648800021396,,1
489.0,FIT_PRESS,iqr,g,146.40696392413258,,1
489.0,FIT_PRESS,mean_estimate_absolute_percentage_error,%,22.537030637838743,,1
560.0,LINEAR,mean,g,2278.325529077798,,1
560.0,LINEAR,bias_g,g,1718.325529077798,,1
560.0,LINEAR,mae_g,g,1794.1333313786795,,1
560.0,LINEAR,rmse_g,g,2048.6127852910004,,1
560.0,LINEAR,std,g,1115.4244574050083,,1
560.0,LINEAR,cv_percent,%,48.95808097521958,,1
560.0,LINEAR,mad,g,766.734217385806,,1
560.0,LINEAR,variance,g^2,1244171.7201772572,,1
560.0,LINEAR,iqr,g,1521.0426291509157,,1
560.0,LINEAR,mean_estimate_absolute_percentage_error,%,306.8438444781782,,1
560.0,GAMMA,mean,g,532.1631137242861,,1
560.0,GAMMA,bias_g,g,-27.83688627571393,,1
560.0,GAMMA,mae_g,g,524.8845257075075,,1
560.0,GAMMA,rmse_g,g,753.4019664509897,,1
560.0,GAMMA,std,g,752.887528661945,,1
560.0,GAMMA,cv_percent,%,141.47683468569306,,1
560.0,GAMMA,mad,g,226.8251081695553,,1
560.0,GAMMA,variance,g^2,566839.6308146911,,1
560.0,GAMMA,iqr,g,680.8123540047359,,1
560.0,GAMMA,mean_estimate_absolute_percentage_error,%,4.97087254923463,,1
560.0,FIT_PRESS,mean,g,448.5195827717942,,1
560.0,FIT_PRESS,bias_g,g,-111.48041722820581,,1
560.0,FIT_PRESS,mae_g,g,147.67536629487654,,1
560.0,FIT_PRESS,rmse_g,g,204.13175229291096,,1
560.0,FIT_PRESS,std,g,171.00259901182645,,1
560.0,FIT_PRESS,cv_percent,%,38.126005102174595,,1
560.0,FIT_PRESS,mad,g,62.029239766081844,,1
