metric,unit,original_main,original_min,original_max,retest_main,retest_min,retest_max,change_retest_minus_original,original_source_main_V,retest_source_main_V,retest_voltage_drop_mV,interpretation
M3_voltage,V,3.232,3.232,3.232,3.243,3.243,3.244,0.011,3.276,,,descriptive comparison; equivalent setup not yet confirmed
M3_current,mA,19.721,19.70,19.76,19.263,19.25,19.41,-0.458,3.276,,,descriptive comparison; equivalent setup not yet confirmed
