combo,module_count,module_id,load,I_main_mA,I_min_mA,I_max_mA,T_stm32_C,current_source_path,current_source_sha256,current_field_mapping,current_photo,current_photo_sha256,current_photo_original_reference,I_min_source,I_min_note,current_filename_date_batch,temperature_source,V_module_main_V,V_module_min_V,V_module_max_V,voltage_source_run_id,voltage_source_path,voltage_source_sha256,voltage_source_fields,voltage_photo_paths,voltage_photo_original_references,voltage_photo_sha256,voltage_acceptance_basis,V_source_reference_V,source_to_module_drop_mV,drop_uses_same_record,drop_basis,voltage_quality_event_id,current_temperature_are_post_connector_repair_measurements,original_observation,quality_note,n_current_records_in_this_condition,within_condition_repeat_SD_mA
M1-M2,2,M1,ZERO,18.151,18.12,18.16,26.5,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv,999f4e4240b17a4853ed860ce7cb07956ebead1a9da4b8bac4afbe66272cb277,supplement CSV physical module_id,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260907_012031.jpg,673c646dba9f4d95049978c1b632f1108edf2a34e90e60297da866412abfd10f,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_012031.jpg,photo,,2026-09-07,user_message_via_supplement,3.252,3.252,3.252,PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1.yaml,6de2a9ff6fe5d6035346802c2411c29a8ed87e0ef5c54d376eb7b73e1ba08979,V_module1_avg_V;V_module1_min_V;V_module1_max_V,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260906_233326.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260906_233326.jpg,44b939a5dcf69e1330781f1ba3c331398ff277ca898524fe60017518605bd4b4,no_reported_supply_contact_fault,3.278,26.000,True,source_and_module_main_in_same_record,,,"Voltage-only ZERO supplement. Currents, temperatures, timing and fault observations are unavailable. Photos retained unchanged.",,1,
M1-M2,2,M2,ZERO,18.110,18.07,18.12,26.3,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv,999f4e4240b17a4853ed860ce7cb07956ebead1a9da4b8bac4afbe66272cb277,supplement CSV physical module_id,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260907_012237.jpg,ef553ac318cb203f4c7cfb97ac4a59cbd08ce8ad83fb806fc40349c2540a8310,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_012237.jpg,photo,,2026-09-07,user_message_via_supplement,3.247,3.247,3.247,PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1.yaml,6de2a9ff6fe5d6035346802c2411c29a8ed87e0ef5c54d376eb7b73e1ba08979,V_module2_avg_V;V_module2_min_V;V_module2_max_V,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260906_233351.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260906_233351.jpg,69018df11cf23a6346df70483a1e110bed7a5ef78b012c84dad3437f155703bb,no_reported_supply_contact_fault,3.278,31.000,True,source_and_module_main_in_same_record,,,"Voltage-only ZERO supplement. Currents, temperatures, timing and fault observations are unavailable. Photos retained unchanged.",,1,
M1-M3,2,M1,ZERO,18.464,18.43,18.49,26.7,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv,999f4e4240b17a4853ed860ce7cb07956ebead1a9da4b8bac4afbe66272cb277,supplement CSV physical module_id,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260907_012628.jpg,66cda4f9645c78a8509901d51a9fc5f83f7a010e24f6d1bf9afc608427d6001a,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_012628.jpg,photo,,2026-09-07,user_message_via_supplement,3.248,3.247,3.248,PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1.yaml,d3aac60eb88bfcb9208d4acf2ceb07be8d751e33e28b3316085f5470a26458cc,V_module1_avg_V;V_module1_min_V;V_module1_max_V,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260906_233906.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260906_233906.jpg,925d80f090d6c45226d70306301cf5cff07a28e8ae6015b399666e7789c3b0d7,no_reported_supply_contact_fault,3.278,30.000,True,source_and_module_main_in_same_record,,,"Voltage-only ZERO supplement. Currents, temperatures, timing and fault observations are unavailable. Photos retained unchanged.",,1,
M1-M3,2,M3,ZERO,18.097,18.07,18.11,26.5,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv,999f4e4240b17a4853ed860ce7cb07956ebead1a9da4b8bac4afbe66272cb277,supplement CSV physical module_id,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260907_012749.jpg,3867fdb1ee89a0467a872fa865c3ac7ee89795de75daf5fdc0e2f8417225f1b0,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_012749.jpg,photo,,2026-09-07,user_message_via_supplement,3.245,3.245,3.245,PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1.yaml,d3aac60eb88bfcb9208d4acf2ceb07be8d751e33e28b3316085f5470a26458cc,V_module3_avg_V;V_module3_min_V;V_module3_max_V,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260906_233928.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260906_233928.jpg,d160d125392ca110f3db9c098ba1980081f6690e90949e0b77ad8c2e362aafa4,no_reported_supply_contact_fault,3.278,33.000,True,source_and_module_main_in_same_record,,,"Voltage-only ZERO supplement. Currents, temperatures, timing and fault observations are unavailable. Photos retained unchanged.",,1,
M2-M3,2,M2,ZERO,18.379,18.36,18.42,26.7,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml,b50050a18d67351c74810a9376ad094906abec2e5c6c944e645fddea7bd4dc2d,I_module2_*_mA,,,,original_YAML,,2026-09-05,original_YAML_point_reading,3.248,3.248,3.248,PS01_N2_F200_ZERO_M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml,b50050a18d67351c74810a9376ad094906abec2e5c6c944e645fddea7bd4dc2d,V_module2_avg_V;V_module2_min_V;V_module2_max_V,,,,no_reported_supply_contact_fault,3.279,31.000,True,source_and_module_main_in_same_record,,,,,1,
M2-M3,2,M3,ZERO,18.155,18.14,18.16,27.1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml,b50050a18d67351c74810a9376ad094906abec2e5c6c944e645fddea7bd4dc2d,I_module3_*_mA,,,,original_YAML,,2026-09-05,original_YAML_point_reading,3.248,3.248,3.248,PS01_N2_F200_ZERO_M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml,b50050a18d67351c74810a9376ad094906abec2e5c6c944e645fddea7bd4dc2d,V_module3_avg_V;V_module3_min_V;V_module3_max_V,,,,no_reported_supply_contact_fault,3.279,31.000,True,source_and_module_main_in_same_record,,,,,1,
M0-M1-M2,3,M0,ZERO,17.968,17.97,17.99,27.5,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml,3bfdf897927c11c1207228c0ebd3f8545bcd97a5252597358858b494b307db85,I_module0_*_mA,,,,original_YAML,,2026-09-05,original_YAML_point_reading,3.241,3.241,3.241,PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_VOLTAGE_RETEST_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_VOLTAGE_RETEST_R1.yaml,9760ab4a02208163c9a1cd28ae637e52bebf29716b5970a76fc96ca114a03dfc,V_module0_avg_V;V_module0_min_V;V_module0_max_V,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/M0_new.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/M0_new.jpg,5521ec820e006acc6dec84f64434c8bd08c5e1d58a7c2c19e581187f83ec7df4,post_connector_repair_retest,3.276,35.000,False,user_confirmed_unchanged_source_minus_retested_module_estimate_not_same_record,SUPPLY_CONTACT_M0_N3_ZERO_20260907,False,,MAIN_OUTSIDE_DISPLAY_MIN_MAX,1,
M0-M1-M2,3,M1,ZERO,18.13,18.12,18.15,27.2,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml,3bfdf897927c11c1207228c0ebd3f8545bcd97a5252597358858b494b307db85,I_module1_*_mA,,,,original_YAML,,2026-09-05,original_YAML_point_reading,3.250,3.249,3.250,PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml,3bfdf897927c11c1207228c0ebd3f8545bcd97a5252597358858b494b307db85,V_module1_avg_V;V_module1_min_V;V_module1_max_V,,,,user_confirmed_unchanged,3.276,26.000,True,source_and_module_main_in_same_record,SUPPLY_CONTACT_M0_N3_ZERO_20260907,False,,,1,
M0-M1-M2,3,M2,ZERO,18.383,18.35,18.38,26.8,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml,3bfdf897927c11c1207228c0ebd3f8545bcd97a5252597358858b494b307db85,I_module2_*_mA,,,,original_YAML,,2026-09-05,original_YAML_point_reading,3.246,3.245,3.246,PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml,3bfdf897927c11c1207228c0ebd3f8545bcd97a5252597358858b494b307db85,V_module2_avg_V;V_module2_min_V;V_module2_max_V,,,,user_confirmed_unchanged,3.276,30.000,True,source_and_module_main_in_same_record,SUPPLY_CONTACT_M0_N3_ZERO_20260907,False,,MAIN_OUTSIDE_DISPLAY_MIN_MAX,1,
M0-M1-M3,3,M0,ZERO,18.005,18.00,18.03,27.4,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n3_zero_20260907.csv,2470a7a9209faffa51831ff9857f97ee5d72915e7d8e64622a3167625774a4a2,supplement CSV physical module_id,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/IMG_20260907_021524.jpg,0d3d511a944c1551f3d2bd4dadbcc40f1a67d9d5530c024fabc1bdfb1dd07c8f,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_021524.jpg,user_confirmation,MIN confirmed by user as 18.00 mA on 2026-09-07; lower image unreadable,2026-09-07,user_message_via_supplement,3.241,3.241,3.241,PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1.yaml,5b2c74f7f3098d0dda00b67e6722170919d59941eb3f3bf74e754bd298a4ec09,V_module0_avg_V;V_module0_min_V;V_module0_max_V,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/IMG_20260907_001239.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_001239.jpg,7a2100b6129a22b2738741477d6917b49e57c2f47f9ea7de6ef31c9ea2152051,no_reported_supply_contact_fault,3.277,36.000,True,source_and_module_main_in_same_record,,,"ZERO voltage-only supplement; all three connected modules measured in ascending order. No current, temperature, fault or elapsed-time observations supplied.",,1,
