combo,module_count,module_id,load,I_main_mA,I_min_mA,I_max_mA,T_stm32_C,current_source_path,current_source_sha256,current_field_mapping,current_photo,current_photo_sha256,current_photo_original_reference,I_min_source,I_min_note,current_filename_date_batch,temperature_source,V_module_main_V,V_module_min_V,V_module_max_V,voltage_source_run_id,voltage_source_path,voltage_source_sha256,voltage_source_fields,voltage_photo_paths,voltage_photo_original_references,voltage_photo_sha256,voltage_acceptance_basis,V_source_reference_V,source_to_module_drop_mV,drop_uses_same_record,drop_basis,voltage_quality_event_id,current_temperature_are_post_connector_repair_measurements,original_observation,quality_note,n_current_records_in_this_condition,within_condition_repeat_SD_mA
M0-M1-M3,3,M1,ZERO,18.110,18.08,18.38,26.7,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n3_zero_20260907.csv,2470a7a9209faffa51831ff9857f97ee5d72915e7d8e64622a3167625774a4a2,supplement CSV physical module_id,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/IMG_20260907_021951.jpg,c54bcc24dd38ee1ffe31c7f0b77cca8be09dfc18e5068778335e453734c3f582,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_021951.jpg,photo,,2026-09-07,user_message_via_supplement,3.248,3.247,3.248,PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1.yaml,5b2c74f7f3098d0dda00b67e6722170919d59941eb3f3bf74e754bd298a4ec09,V_module1_avg_V;V_module1_min_V;V_module1_max_V,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/IMG_20260907_001305.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_001305.jpg,daf5d00caf7c9f3fa31d57cd31ea2f09a5a15af8863b501971d9b98291de02fc,no_reported_supply_contact_fault,3.277,29.000,True,source_and_module_main_in_same_record,,,"ZERO voltage-only supplement; all three connected modules measured in ascending order. No current, temperature, fault or elapsed-time observations supplied.",,1,
M0-M1-M3,3,M3,ZERO,18.044,18.02,18.05,26.9,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n3_zero_20260907.csv,2470a7a9209faffa51831ff9857f97ee5d72915e7d8e64622a3167625774a4a2,supplement CSV physical module_id,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/IMG_20260907_022112.jpg,e129343b71c00dff90cab9ab490099e5c77d13ef458bf441937a2684a01f3bb9,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_022112.jpg,photo,,2026-09-07,user_message_via_supplement,3.249,3.249,3.249,PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1.yaml,5b2c74f7f3098d0dda00b67e6722170919d59941eb3f3bf74e754bd298a4ec09,V_module3_avg_V;V_module3_min_V;V_module3_max_V,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/IMG_20260907_001324.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_001324.jpg,9e1340c15f91ee0aee6fd856a58085f06b0a467077305eb36f4cdcc7b2879247,no_reported_supply_contact_fault,3.277,28.000,True,source_and_module_main_in_same_record,,,"ZERO voltage-only supplement; all three connected modules measured in ascending order. No current, temperature, fault or elapsed-time observations supplied.",,1,
M0-M2-M3,3,M0,ZERO,17.993,17.96,18.01,27.4,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n3_zero_20260907.csv,2470a7a9209faffa51831ff9857f97ee5d72915e7d8e64622a3167625774a4a2,supplement CSV physical module_id,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/IMG_20260907_022258.jpg,99ea5ac4a743cc72e3eccef63507593cc6dbe07a84d52cd0c015cf29cdc53180,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_022258.jpg,photo,,2026-09-07,user_message_via_supplement,3.241,3.241,3.241,PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1.yaml,7ac9267e6536148eef3d68ae21bd79fee309cc0779c33dacdeb5087682c4f47d,V_module0_avg_V;V_module0_min_V;V_module0_max_V,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/IMG_20260907_002247.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_002247.jpg,5e115cad159cd3be6cadf6c6128c862e3d68047ad0f7d8603f2e1fe54a696082,no_reported_supply_contact_fault,3.276,35.000,True,source_and_module_main_in_same_record,,,"ZERO voltage-only supplement; all three connected modules measured in ascending order. No current, temperature, fault or elapsed-time observations supplied.",,1,
M0-M2-M3,3,M2,ZERO,18.069,18.05,18.27,26.6,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n3_zero_20260907.csv,2470a7a9209faffa51831ff9857f97ee5d72915e7d8e64622a3167625774a4a2,supplement CSV physical module_id,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/IMG_20260907_022506.jpg,fe5b4530182b59ffe7fcea1e7979b076ba26426b5277f5183b0f658a9a7041c8,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_022506.jpg,photo,,2026-09-07,user_message_via_supplement,3.242,3.242,3.242,PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1.yaml,7ac9267e6536148eef3d68ae21bd79fee309cc0779c33dacdeb5087682c4f47d,V_module2_avg_V;V_module2_min_V;V_module2_max_V,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/IMG_20260907_002315.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_002315.jpg,f32c91321ba40922ab8ee92893ab699ea32789f3fa8ac74fcba3602132106690,no_reported_supply_contact_fault,3.276,34.000,True,source_and_module_main_in_same_record,,,"ZERO voltage-only supplement; all three connected modules measured in ascending order. No current, temperature, fault or elapsed-time observations supplied.",,1,
M0-M2-M3,3,M3,ZERO,18.068,18.03,18.22,26.6,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n3_zero_20260907.csv,2470a7a9209faffa51831ff9857f97ee5d72915e7d8e64622a3167625774a4a2,supplement CSV physical module_id,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/IMG_20260907_022755.jpg,889e41db532530d696ff2d0ed1a109b64a2bfef7496db57b11b4e43b8245ed3b,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_022755.jpg,photo,,2026-09-07,user_message_via_supplement,3.244,3.244,3.244,PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1.yaml,7ac9267e6536148eef3d68ae21bd79fee309cc0779c33dacdeb5087682c4f47d,V_module3_avg_V;V_module3_min_V;V_module3_max_V,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/IMG_20260907_002343.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_002343.jpg,b5a11b850f35ea7d8663efac3c99466de3f0ec7f9ec61056aaab6b28a77db43d,no_reported_supply_contact_fault,3.276,32.000,True,source_and_module_main_in_same_record,,,"ZERO voltage-only supplement; all three connected modules measured in ascending order. No current, temperature, fault or elapsed-time observations supplied.",,1,
M1-M2-M3,3,M1,ZERO,18.107,18.09,18.34,27.3,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/zero_load/PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1.yaml,c05ab0823c9d26dc0956d827927022f30b82f7edac55885308bafad9ce9cd911,I_module1_*_mA,,,,original_YAML,,2026-09-05,original_YAML_point_reading,3.249,3.248,3.249,PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/zero_load/PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1.yaml,c05ab0823c9d26dc0956d827927022f30b82f7edac55885308bafad9ce9cd911,V_module1_avg_V;V_module1_min_V;V_module1_max_V,,,,no_reported_supply_contact_fault,3.276,27.000,True,source_and_module_main_in_same_record,,,,,1,
M1-M2-M3,3,M2,ZERO,18.361,18.34,18.39,27.1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/zero_load/PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1.yaml,c05ab0823c9d26dc0956d827927022f30b82f7edac55885308bafad9ce9cd911,I_module2_*_mA,,,,original_YAML,,2026-09-05,original_YAML_point_reading,3.245,3.245,3.246,PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/zero_load/PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1.yaml,c05ab0823c9d26dc0956d827927022f30b82f7edac55885308bafad9ce9cd911,V_module2_avg_V;V_module2_min_V;V_module2_max_V,,,,no_reported_supply_contact_fault,3.276,31.000,True,source_and_module_main_in_same_record,,,,,1,
M1-M2-M3,3,M3,ZERO,18.383,18.35,18.38,26.9,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/zero_load/PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1.yaml,c05ab0823c9d26dc0956d827927022f30b82f7edac55885308bafad9ce9cd911,I_module3_*_mA,,,,original_YAML,,2026-09-05,original_YAML_point_reading,3.249,3.248,3.249,PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/zero_load/PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1.yaml,c05ab0823c9d26dc0956d827927022f30b82f7edac55885308bafad9ce9cd911,V_module3_avg_V;V_module3_min_V;V_module3_max_V,,,,no_reported_supply_contact_fault,3.276,27.000,True,source_and_module_main_in_same_record,,,,MAIN_OUTSIDE_DISPLAY_MIN_MAX,1,
M0-M1-M2-M3,4,M0,ZERO,18.024,17.99,18.05,28.0,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/zero_load/PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1.yaml,d4aac0c47b7db4f3eb9060d65d999e826499d6b3cdda5174650d9a2c04294c01,I_module0_*_mA,,,,original_YAML,,2026-09-05,original_YAML_point_reading,3.240,3.240,3.240,PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/zero_load/PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1.yaml,d4aac0c47b7db4f3eb9060d65d999e826499d6b3cdda5174650d9a2c04294c01,V_module0_avg_V;V_module0_min_V;V_module0_max_V,,,,no_reported_supply_contact_fault,3.274,34.000,True,source_and_module_main_in_same_record,,,,,1,
M0-M1-M2-M3,4,M1,ZERO,18.302,18.27,18.3,27.8,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/zero_load/PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1.yaml,d4aac0c47b7db4f3eb9060d65d999e826499d6b3cdda5174650d9a2c04294c01,I_module1_*_mA,,,,original_YAML,,2026-09-05,original_YAML_point_reading,3.245,3.244,3.245,PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/zero_load/PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1.yaml,d4aac0c47b7db4f3eb9060d65d999e826499d6b3cdda5174650d9a2c04294c01,V_module1_avg_V;V_module1_min_V;V_module1_max_V,,,,no_reported_supply_contact_fault,3.274,29.000,True,source_and_module_main_in_same_record,,,,MAIN_OUTSIDE_DISPLAY_MIN_MAX,1,
M0-M1-M2-M3,4,M2,ZERO,18.095,18.09,18.12,27.6,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/zero_load/PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1.yaml,d4aac0c47b7db4f3eb9060d65d999e826499d6b3cdda5174650d9a2c04294c01,I_module2_*_mA,,,,original_YAML,,2026-09-05,original_YAML_point_reading,3.243,3.243,3.243,PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/zero_load/PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1.yaml,d4aac0c47b7db4f3eb9060d65d999e826499d6b3cdda5174650d9a2c04294c01,V_module2_avg_V;V_module2_min_V;V_module2_max_V,,,,no_reported_supply_contact_fault,3.274,31.000,True,source_and_module_main_in_same_record,,,,,1,
M0-M1-M2-M3,4,M3,ZERO,18.092,17.94,18.22,27.5,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/zero_load/PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1.yaml,d4aac0c47b7db4f3eb9060d65d999e826499d6b3cdda5174650d9a2c04294c01,I_module3_*_mA,,,,original_YAML,,2026-09-05,original_YAML_point_reading,3.248,3.248,3.249,PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/zero_load/PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1.yaml,d4aac0c47b7db4f3eb9060d65d999e826499d6b3cdda5174650d9a2c04294c01,V_module3_avg_V;V_module3_min_V;V_module3_max_V,,,,no_reported_supply_contact_fault,3.274,26.000,True,source_and_module_main_in_same_record,,,,,1,
