modules,N,target_hz,condition,temporal_repeat_n,recorded_repeat_n,eligible_repeat_n,review_required_n,batch_n,recorded_batch_n,batch_id,statistics_scope,statistics_basis,primary_matrix_selected_n,statistic_run_ids,review_required_run_ids,repeat_interpretation,rate_Hz_mean,rate_Hz_sample_sd,packet_Mbit_s_mean,packet_Mbit_s_sample_sd,raw_arrival_Mbit_s_mean,raw_arrival_Mbit_s_sample_sd,Lmean_B_mean,Lmean_B_sample_sd,main_packets_total,main_window_seconds_total,mode,rate_Hz_known_n,Lmean_B_known_n,packet_Mbit_s_known_n,raw_arrival_Mbit_s_known_n,K_ESKD_mean,K_ESKD_sample_sd,K_ESKD_known_n,q_ESKF_mean,q_ESKF_sample_sd,q_ESKF_known_n,q_ESKF_pct_mean,q_ESKF_pct_sample_sd,q_ESKF_pct_known_n,K_effective_mean,K_effective_sample_sd,K_effective_known_n,load_layers,actual_load_protocol,loading_relationship_between_modules,dynamic_analysis_selected_n,equal_rate_FULL_saving_pct_mean,equal_rate_FULL_saving_pct_sample_sd,equal_rate_FULL_saving_pct_known_n
M0_M1_M2,3,200,zero_load,6,6,5,1,2,2,BATCH_5ccf81b3a4814c0a88241ef83d9e4bcf;BATCH_6b6313d281364eaa891ce82942b3d531,all_recorded_including_CHECK_diagnostic_only,"sample mean and SD across recorded windows; selection by batch/integrity, never rate",3,20260907_000133_670681;20260907_000213_737553;20260907_000253_764287;20260907_004948_668301;20260907_005028_724004;20260907_005108_797842,20260907_000133_670681,temporal windows; not independent setup blocks,200.08816098067228,0.05648491688812566,5.07743717304554,0.0014333612509532675,5.077673682710555,0.0011454806817893448,3172.0,0.0,36020,180.0206468999677,FULL,,,,,,,,,,,,,,,,,,,,,,,
M0_M1_M3,3,200,zero_load,3,3,3,0,1,1,BATCH_99a81ef679d94018b7b50eb637f57582,all_recorded_including_CHECK_diagnostic_only,"sample mean and SD across recorded windows; selection by batch/integrity, never rate",3,20260907_001345_234235;20260907_001425_309099;20260907_001505_375008,,temporal windows; not independent setup blocks,199.7669082237092,0.5569588767389314,5.069285063084845,0.014133388456126881,5.069375814310446,0.01397644529285843,3172.0,0.0,17980,90.00489610002842,FULL,,,,,,,,,,,,,,,,,,,,,,,
M0_M2_M3,3,200,zero_load,3,3,3,0,1,1,BATCH_5e558777cbde42149caff5504c6a2042,all_recorded_including_CHECK_diagnostic_only,"sample mean and SD across recorded windows; selection by batch/integrity, never rate",3,20260907_001710_986331;20260907_001751_034069;20260907_001831_069491,,temporal windows; not independent setup blocks,200.16594208285287,0.03661586886726978,5.079410946294474,0.0009291642883753899,5.079411212930575,0.0009291642858931318,3172.0,0.0,18017,90.01031739998143,FULL,,,,,,,,,,,,,,,,,,,,,,,
M1_M2_M3,3,200,zero_load,3,3,3,0,1,1,BATCH_dc8d0a297550491886808808275de52f,all_recorded_including_CHECK_diagnostic_only,"sample mean and SD across recorded windows; selection by batch/integrity, never rate",3,20260907_003258_918645;20260907_003339_025463;20260907_003419_073823,,temporal windows; not independent setup blocks,200.2185287227097,0.040178447183146934,5.080745384867481,0.0010195682757197547,5.080745473749125,0.0010196738474057077,3172.0,0.0,18021,90.00665529997787,FULL,,,,,,,,,,,,,,,,,,,,,,,
M0_M1_M2_M3,4,200,zero_load,3,3,3,0,1,1,BATCH_9fd1ea44282d4e30a57739ebb1856112,all_recorded_including_CHECK_diagnostic_only,"sample mean and SD across recorded windows; selection by batch/integrity, never rate",3,20260907_005250_875035;20260907_005330_930696;20260907_005410_996854,,temporal windows; not independent setup blocks,200.06606211728308,0.03404004219272273,6.7478281430917235,0.0011481025430769346,6.747828231980587,0.0011481047019684131,4216.0,0.0,18007,90.00527119997423,FULL,,,,,,,,,,,,,,,,,,,,,,,
M0,1,200,zero_load,3,3,3,0,1,1,BATCH_2f989cb36d334ac587213f1a297dc628,all_recorded_including_CHECK_diagnostic_only,sample mean and SD across recorded windows; no frame-rate or K selection,3,20260907_013132_404213;20260907_013212_470890;20260907_013252_522986,,temporal windows; not independent setup blocks,200.12378153910586,0.03394141092522887,0.2337296805227408,0.002876964922231073,0.23372985829060247,0.002876994714128254,145.9908069239253,1.8105175128279027,18012,90.00429569999687,DELTA,3,3,3,3,8.61386217332981,0.9199429776884199,3,0.005052178277623434,9.542514509768941e-05,3,0.5052178277623434,0.009542514509768932,3,10.995403461962647,0.9052587564139526,3,,,,,,,
M1,1,200,zero_load,3,3,3,0,1,1,BATCH_8bcb3e1a139a4809be4bd491c4a085c4,all_recorded_including_CHECK_diagnostic_only,sample mean and SD across recorded windows; no frame-rate or K selection,3,20260907_013403_341631;20260907_013443_415053;20260907_013523_479494,,temporal windows; not independent setup blocks,200.3384113002493,0.027871537247611974,0.208683118427604,5.851616264707646e-05,0.208683118427604,5.851616264707646e-05,130.20663176854634,0.029988372693007186,18032,90.00770229997579,DELTA,3,3,3,3,0.7111242736894257,0.015177155960383546,3,0.004991126916238698,4.79445699403703e-07,3,0.49911269162386984,4.794456994036829e-05,3,3.1033158842731754,0.014994186346500364,3,,,,,,,
M2,1,200,zero_load,3,3,3,0,1,1,BATCH_b2fdee22f9b94a5f97759036b00fa981,all_recorded_including_CHECK_diagnostic_only,sample mean and SD across recorded windows; no frame-rate or K selection,3,20260907_013624_365237;20260907_013704_454625;20260907_013744_540625,,temporal windows; not independent setup blocks,200.16829822122946,0.07850743816868146,0.27324788205333894,0.0008953710521551489,0.273248059819959,0.0008952956434167673,170.63648596491427,0.6197670143189811,18016,90.00426159999915,DELTA,3,3,3,3,21.02540823768987,0.3105319397351305,3,0.0049955600874753035,2.093282064191777e-06,3,0.49955600874753037,0.00020932820641915333,3,23.31824298245714,0.3098835071594892,3,,,,,,,
M3,1,200,zero_load,3,3,3,0,1,1,BATCH_6f194970f8d14e3c94be44510f39fa22,all_recorded_including_CHECK_diagnostic_only,sample mean and SD across recorded windows; no frame-rate or K selection,3,20260907_013917_548818;20260907_013957_653007;20260907_014038_027023,,temporal windows; not independent setup blocks,200.00122890109589,0.573446785664057,0.2145861496383992,0.0006789447687939452,0.21458632739923314,0.0006790465835267335,134.1157764209261,0.36761285332652976,18012,90.05961510000634,DELTA,3,3,3,3,2.67283717153192,0.1829484432433545,3,0.004996680820043489,9.46179394815563e-06,3,0.49966808200434887,0.0009461793948155607,3,5.0578882104630445,0.18380642666326333,3,,,,,,,
M0_M1,2,200,zero_load,3,3,3,0,1,1,BATCH_dfc2ebbd8db041c5b2d9018b1dee2619,all_recorded_including_CHECK_diagnostic_only,sample mean and SD across recorded windows; no frame-rate or K selection,3,20260907_014203_200469;20260907_014243_220995;20260907_014323_266112,,temporal windows; not independent setup blocks,200.11936466853496,0.018000636243325333,0.3737264107897375,0.0037685394512696787,0.37372658856472185,0.003768633650266167,233.43982664822744,2.3750071279410174,18011,90.0012851000065,DELTA,3,3,3,3,3.9813170351654796,0.5965059500016204,3,0.004996946341397367,4.805644056635064e-07,3,0.4996946341397367,4.805644056634063e-05,3,6.359956662056861,0.5937517819852578,3,,,,,,,
M0_M2,2,200,zero_load,3,3,3,0,1,1,BATCH_7f9647ea41b9438fa2f830b83baf29c6,all_recorded_including_CHECK_diagnostic_only,sample mean and SD across recorded windows; no frame-rate or K selection,3,20260907_014425_784635;20260907_014505_874750;20260907_014545_965962,,temporal windows; not independent setup blocks,200.324236571949,0.4811906527202267,0.43109544310704095,0.005961073957165931,0.43109570973200384,0.005961073971111869,269.00166142351054,3.993924441066787,18032,90.01407769997604,DELTA,3,3,3,3,12.906153562320632,1.0116300019741218,3,0.005018798649256269,3.616948790231048e-05,3,0.5018798649256269,0.003616948790231019,3,15.250415355877642,0.9984811102666978,3,,,,,,,
M0_M3,2,200,zero_load,3,3,3,0,1,1,BATCH_b99cdc1d65b44cb59677a2c5e3e39f6a,all_recorded_including_CHECK_diagnostic_only,sample mean and SD across recorded windows; no frame-rate or K selection,3,20260907_014715_022979;20260907_014755_224321;20260907_014835_279154,,temporal windows; not independent setup blocks,199.8560981735626,0.34765593958073027,0.37775686828504884,0.004531685281129696,0.37775713489310836,0.004531685304941842,236.2665200954925,2.603805873681417,17991,90.0197856000159,DELTA,3,3,3,3,4.688879765328954,0.6561476782032415,3,0.005002509696878347,7.964686831677426e-06,3,0.5002509696878348,0.0007964686831677727,3,7.066630023873121,0.6509514684203528,3,,,,,,,
M1_M2,2,200,zero_load,3,3,3,0,1,1,BATCH_87a8929733aa49f48b160c96f56b245f,all_recorded_including_CHECK_diagnostic_only,sample mean and SD across recorded windows; no frame-rate or K selection,3,20260907_014946_645414;20260907_015026_779606;20260907_015106_825879,,temporal windows; not independent setup blocks,200.10660589690943,0.09451492483184264,0.4257286019769564,0.0007906926960097543,0.4257286908611163,0.0007908123392122988,265.9385206337746,0.38274541934935546,18016,90.03202639997471,DELTA,3,3,3,3,12.14744489347441,0.09596869890238696,3,0.004995559533444629,4.802443760981543e-07,3,0.4995559533444629,4.802443760980341e-05,3,14.484630158443647,0.09568635483734322,3,,,,,,,
M1_M3,2,200,zero_load,3,3,3,0,1,1,BATCH_949b70f5ee8047728fe43b97d160acd0,all_recorded_including_CHECK_diagnostic_only,sample mean and SD across recorded windows; no frame-rate or K selection,3,20260907_015217_328962;20260907_015257_395753;20260907_015337_478535,,temporal windows; not independent setup blocks,201.61315369943856,2.07130397188088,0.386167470689804,0.004339360111149246,0.3861674706896266,0.004339095947715153,239.45445684079334,4.828411659277801,18147,90.00898389998474,DELTA,3,3,3,3,5.510255172767875,1.190507216325082,3,0.004959847073796997,5.085163207528142e-05,3,0.49598470737969974,0.005085163207528153,3,7.863614210198331,1.2071029148194485,3,,,,,,,
M2_M3,2,200,zero_load,3,3,3,0,1,1,BATCH_d8bda735d5aa42709b25fbc143ad2769,all_recorded_including_CHECK_diagnostic_only,sample mean and SD across recorded windows; no frame-rate or K selection,3,20260907_015550_103879;20260907_015630_225115;20260907_015710_248741,,temporal windows; not independent setup blocks,200.21637333047724,0.018359642038114108,0.4289250095797328,0.0008507571563308782,0.428925187288772,0.0008508834432702012,267.7884501312161,0.5531864842709602,18025,90.02760309999576,DELTA,3,3,3,3,12.613420691063064,0.13940967411593044,3,0.004993065402374579,1.2693085926303891e-06,3,0.49930654023745785,0.00012693085926304497,3,14.947112532804024,0.1382966210677394,3,,,,,,,
M0_M1_M2,3,200,zero_load,3,3,3,0,1,1,BATCH_5fbbc50f1d3f4cbc9371467ee380b749,all_recorded_including_CHECK_diagnostic_only,sample mean and SD across recorded windows; no frame-rate or K selection,3,20260907_020547_996772;20260907_020628_047087;20260907_020708_105510,,temporal windows; not independent setup blocks,200.1956188150675,0.015613155343768639,0.6240467595698417,0.014479962134052208,0.6240468484488569,0.01447988877738905,389.6480939292659,9.039913925876848,18019,90.00696469997638,DELTA,3,3,3,3,13.946874040881239,1.5141078464932856,3,0.00499472781810055,4.800844811834073e-07,3,0.499472781810055,4.8008448118338726e-05,3,16.274682321544315,1.5066523209794727,3,,,,,,,
M0_M1_M3,3,200,zero_load,3,3,3,0,1,1,BATCH_effca0df2e304d6fbd3170267cc6b254,all_recorded_including_CHECK_diagnostic_only,sample mean and SD across recorded windows; no frame-rate or K selection,3,20260907_020319_422751;20260907_020359_444605;20260907_020439_495918,,temporal windows; not independent setup blocks,200.13262201670466,0.05531929958714642,0.5251382566119224,0.005489582790196104,0.5251382566002641,0.0054894107135868885,327.9933266551853,3.34169929542022,18013,90.0053171000036,DELTA,3,3,3,3,3.618699721357826,0.5603547846692117,3,0.004996391710596234,1.271000279005462e-06,3,0.4996391710596234,0.00012710002790052537,3,5.998887775864211,0.556949882570036,3,,,,,,,
M0_M2_M3,3,200,zero_load,3,3,3,0,1,1,BATCH_9143ccc92d6444ee8de5e350756c8565,all_recorded_including_CHECK_diagnostic_only,sample mean and SD across recorded windows; no frame-rate or K selection,3,20260907_020041_855845;20260907_020121_954165;20260907_020202_020960,,temporal windows; not independent setup blocks,200.10872573354754,0.015357183221367473,0.588919440412577,0.006670473358605249,0.5889197070612602,0.006670473340282689,367.87461007078815,4.159847491003793,18011,90.00607020003372,DELTA,3,3,3,3,10.29869592772929,0.6969975843196751,3,0.004996946341397367,4.805644056635064e-07,3,0.4996946341397367,4.805644056634063e-05,3,12.645768345131355,0.6933079151672974,3,,,,,,,
M1_M2_M3,3,200,zero_load,3,3,3,0,1,1,BATCH_4938ea384f0d4a39bc04cb6a3bb282be,all_recorded_including_CHECK_diagnostic_only,sample mean and SD across recorded windows; no frame-rate or K selection,3,20260907_015809_623056;20260907_015849_721923;20260907_015929_769209,,temporal windows; not independent setup blocks,200.19953956467776,0.051393624574690586,0.5724808718233123,0.019135455962588123,0.5724809607109616,0.01913553175051895,357.444931602371,11.991720347101822,18019,90.0052030000079,DELTA,3,3,3,3,8.543993084104256,2.000684092696333,3,0.00501323100968505,3.300863688890096e-05,3,0.501323100968505,0.003300863688890072,3,10.907488600395169,1.998620057850305,3,,,,,,,
M0_M1_M2_M3,4,200,zero_load,3,3,3,0,1,1,BATCH_b3e4cf69fc4e4f66be277a0c7d909f35,all_recorded_including_CHECK_diagnostic_only,sample mean and SD across recorded windows; no frame-rate or K selection,3,20260907_020810_266713;20260907_020850_322476;20260907_020930_401399,,temporal windows; not independent setup blocks,200.60019658768357,0.8453966723491829,0.7625432995093676,0.012374861946287362,0.7625435661467628,0.012374861945968468,475.1477938869678,5.719525970903759,18056,90.00988030002918,DELTA,3,3,3,3,10.044482636066347,0.7171982427139422,3,0.004998330404656743,2.8778322917913665e-06,3,0.4998330404656743,0.00028778322917915266,3,12.393474235870972,0.7149407463629679,3,,,,,,,
M1,1,200,large_area,3,3,0,3,1,1,BATCH_b85c7425a5b149dabf8cd9a9dcb33094,all_recorded_independent_CHECK_diagnostic_only,DIAGNOSTIC ONLY: three windows with independent inner-sequence CHECK; original recorder PASS preserved,0,20260907_040621_371357;20260907_040701_400114;20260907_040741_429011,20260907_040621_371357;20260907_040701_400114;20260907_040741_429011,temporal windows; not independent setup blocks,199.1811235452601,0.7978790519651874,0.43382033600445635,0.019034337173993453,0.43382051377957964,0.019034186821077943,272.2346549559542,11.242027034181996,17927,90.00349930001539,DELTA,3,3,3,3,70.66840539625063,5.597339939209194,3,0.008426274879758843,0.001711900385697005,3,0.8426274879758843,0.1711900385697005,3,74.1173274779771,5.621013517090998,3,both,,,,,,
M1,1,200,large_area,3,3,3,0,1,1,BATCH_186513a0ad4b411b80b5bd09c7d05b91,all_recorded_dynamic_including_CHECK,sample mean and SD across fixed main windows; CHECK retained in diagnostic statistics,0,20260907_050453_154588;20260907_050533_183636;20260907_050613_222506,,consecutive temporal windows in one setup; not independent assemblies,200.08036369977285,0.03607996275397415,0.45205203580376624,0.0075818792577517875,0.45205230244426403,0.007581879269589761,282.41904828755514,4.736770922033473,18009,90.00883299999987,DELTA,3,3,3,3,76.83502162708093,2.7192293860416266,3,0.005885909033010341,0.0008380034872755354,3,0.5885909033010341,0.08380034872755353,3,,,,unspecified,large_area_dynamic,,3,73.94658226129566,0.43697148727246293,3
M1,1,200,large_area,3,3,3,0,1,1,BATCH_01a68db283d446ceb790e6516fb50a79,all_recorded_dynamic_including_CHECK,sample mean and SD across fixed main windows; CHECK retained in diagnostic statistics,0,20260907_051941_159689;20260907_052021_196300;20260907_052101_230925,,consecutive temporal windows in one setup; not independent assemblies,200.42182902967136,0.04526208519753794,0.33772859868291444,0.016879463989746015,0.33772859868291444,0.016879463989746015,210.6373911320328,10.566960440802188,18039,90.00516689999495,DELTA,3,3,3,3,41.10495118994403,5.270197070617004,3,0.0050446348463588095,9.675247858494575e-05,3,0.504463484635881,0.009675247858494553,3,,,,unspecified,repeated_press_release,,3,80.5685063531335,0.9748118487824878,3
M1,1,200,rolling,3,3,3,0,1,1,BATCH_b940a6e92ebc4a608a29b6c2ca628cd2,all_recorded_dynamic_including_CHECK,sample mean and SD across fixed main windows; CHECK retained in diagnostic statistics,0,20260907_053858_001637;20260907_053938_027960;20260907_054018_056649,,consecutive temporal windows in one setup; not independent assemblies,200.35575709005144,0.035694311579928605,0.5733688170062571,0.01797719980789837,0.5733689058848304,0.017977284742441133,357.71837256447503,11.176607481893276,18033,90.004900800006,DELTA,3,3,3,3,115.03771158663629,5.616589780338054,3,0.004990850200220283,8.302861868713773e-07,3,0.4990850200220283,8.302861868715681e-05,3,,,,unspecified,rolling,,3,67.0001501324285,1.031052350728161,3
M1_M3,2,200,large_area,3,3,3,0,1,1,BATCH_29a9913ec9454e27a7c47e72af6171f5,all_recorded_dynamic_including_CHECK,sample mean and SD across fixed main windows; CHECK retained in diagnostic statistics,0,20260907_054752_155421;20260907_054832_183609;20260907_054912_204552,,consecutive temporal windows in one setup; not independent assemblies,199.61710025219432,0.014905785966838815,0.8158799625637574,0.0177862491770217,0.8158800514381012,0.01778619347321691,510.90319995859596,11.144827940512767,17968,90.01232840001467,DELTA,3,3,3,3,73.05365676969417,2.7206065624744946,3,0.0065672198325384705,0.00033708080858029925,3,0.6567219832538471,0.033708080858029926,3,,,,unspecified,large_area_coverage,simultaneous_coverage_and_loading_of_both_modules,3,75.9913909793893,0.5237231175053009,3
M0_M1_M2_M3,4,200,large_area,3,3,1,2,1,1,BATCH_3753f717b6b1403ebfc4ce0313e8e63e,all_recorded_dynamic_including_CHECK,sample mean and SD across fixed main windows; CHECK retained in diagnostic statistics,0,20260907_060147_020562;20260907_060227_053987;20260907_060307_083182,20260907_060227_053987;20260907_060307_083182,consecutive temporal windows in one setup; not independent assemblies,196.74926065012667,2.2064742011433705,2.634961978997056,0.0679169591785344,2.6349622456401804,0.06791695918562088,1674.3666484120279,55.06561249652862,17709,90.00794630000019,DELTA,3,3,3,3,160.57665818422706,6.811277618287643,3,0.005423381207454643,0.0003425765439855528,3,0.5423381207454644,0.03425765439855532,3,,,,unspecified,full_coverage_all_modules,simultaneous_coverage_and_loading_of_all_four_modules,0,60.285421052845635,1.3061103533332172,3
M0_M1_M2_M3,4,200,large_area,3,3,3,0,1,1,BATCH_044efb5e7ab5440fa025a8237d0fe1f9,all_recorded_post_reinstallation_dynamic,sample mean and SD across fixed main windows; all three independently PASS,0,20260907_115145_448767;20260907_115225_490019;20260907_115305_535263,,consecutive temporal windows after connector reinstallation; not independent assemblies,199.4136124156514,0.06819058047224419,2.3475827348805662,0.0481426275702422,2.347582912648432,0.04814258848345239,1471.5498476968748,29.888286602115265,17948,90.00388570001815,DELTA,3,3,3,3,135.1519428313187,3.770944441318759,3,0.005195555294845148,8.611433118892917e-05,3,0.5195555294845148,0.008611433118892908,3,,,,unspecified,full_coverage_all_modules_after_connector_reinstallation,simultaneous_coverage_and_loading_of_all_four_modules,3,65.0960662310988,0.708925204034995,3
