configuration_id,load,combo,module_count,configuration_kind,accepted_complete,same_record_complete,counts_as_additional_independent_run,simultaneous_new_acquisition_claimed,point_id,main_V,min_V,max_V,point_source_run_id,point_source_path,point_source_sha256,point_source_fields,photo_paths,photo_sha256,photo_original_references,photo_mapping_basis,point_acceptance_basis,source_reference_run_id,source_reference_main_V,source_to_point_drop_mV,drop_uses_same_record,drop_basis,quality_event_id
MAX:M0+M1+M2+M3,MAX,M0+M1+M2+M3,4,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M0,3.237,3.236,3.239,PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1.yaml,5d646a643cf07a40cc5e0526dcee4cfde2e0bf50405af0e858298c54ba203102,V_module0_avg_V;V_module0_min_V;V_module0_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1,3.273,36.000,True,source_and_module_main_in_same_record,
MAX:M0+M1+M2+M3,MAX,M0+M1+M2+M3,4,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M1,3.245,3.244,3.245,PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1.yaml,5d646a643cf07a40cc5e0526dcee4cfde2e0bf50405af0e858298c54ba203102,V_module1_avg_V;V_module1_min_V;V_module1_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1,3.273,28.000,True,source_and_module_main_in_same_record,
MAX:M0+M1+M2+M3,MAX,M0+M1+M2+M3,4,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M2,3.240,3.240,3.240,PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1.yaml,5d646a643cf07a40cc5e0526dcee4cfde2e0bf50405af0e858298c54ba203102,V_module2_avg_V;V_module2_min_V;V_module2_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1,3.273,33.000,True,source_and_module_main_in_same_record,
MAX:M0+M1+M2+M3,MAX,M0+M1+M2+M3,4,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M3,3.242,3.240,3.242,PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1.yaml,5d646a643cf07a40cc5e0526dcee4cfde2e0bf50405af0e858298c54ba203102,V_module3_avg_V;V_module3_min_V;V_module3_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1,3.273,31.000,True,source_and_module_main_in_same_record,
MAX:M1,MAX,M1,1,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,SOURCE,3.281,3.280,3.281,PS01_N1_F200_MAX_M1_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/PS01_N1_F200_MAX_M1_USB_RX_R1.yaml,158d10a7314e366231638b3ab4098c63333c2db55ae189456cb8ff930fd14b54,V_source_avg_V;V_source_min_V;V_source_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,,,,,not_applicable_source_point,
MAX:M1,MAX,M1,1,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M1,3.250,3.249,3.250,PS01_N1_F200_MAX_M1_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/PS01_N1_F200_MAX_M1_USB_RX_R1.yaml,158d10a7314e366231638b3ab4098c63333c2db55ae189456cb8ff930fd14b54,V_module0_avg_V;V_module0_min_V;V_module0_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N1_F200_MAX_M1_USB_RX_R1,3.281,31.000,True,source_and_module_main_in_same_record,
MAX:M1+M2+M3,MAX,M1+M2+M3,3,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,SOURCE,3.276,3.276,3.276,PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1.yaml,4892e0d86e57c09da28d32627cf7ae4928f16b7b79963522a83846c2477c0423,V_source_avg_V;V_source_min_V;V_source_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,,,,,not_applicable_source_point,
MAX:M1+M2+M3,MAX,M1+M2+M3,3,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M1,3.249,3.249,3.249,PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1.yaml,4892e0d86e57c09da28d32627cf7ae4928f16b7b79963522a83846c2477c0423,V_module1_avg_V;V_module1_min_V;V_module1_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1,3.276,27.000,True,source_and_module_main_in_same_record,
MAX:M1+M2+M3,MAX,M1+M2+M3,3,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M2,3.243,3.243,3.243,PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1.yaml,4892e0d86e57c09da28d32627cf7ae4928f16b7b79963522a83846c2477c0423,V_module2_avg_V;V_module2_min_V;V_module2_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1,3.276,33.000,True,source_and_module_main_in_same_record,
MAX:M1+M2+M3,MAX,M1+M2+M3,3,SAME_RECORD_VOLTAGE_CONFIGURATION,True,True,False,False,M3,3.232,3.232,3.232,PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1.yaml,4892e0d86e57c09da28d32627cf7ae4928f16b7b79963522a83846c2477c0423,V_module3_avg_V;V_module3_min_V;V_module3_max_V,,,,not_mapped_in_original_record,no_reported_supply_contact_fault,PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1,3.276,44.000,True,source_and_module_main_in_same_record,
