combo,module_count,load,protocol_mode,configured_frequency_Hz,host_state,photo_filename_date_batch,I_sum_mA,V_source_main_V,V_source_min_V,V_source_max_V,P_source_output_estimate_mW,T_teensy_C,T_regulator_C,load_mass_g_recorded,load_area_mm2,load_application,n_records_per_configuration_condition,within_condition_repeat_SD_mA,simultaneous_branch_sum_measured,simultaneous_voltage_current_measurement_verified,provenance_json,I_M0_main_mA,V_M0_main_V,T_M0_stm32_C,I_M1_main_mA,V_M1_main_V,T_M1_stm32_C,I_M2_main_mA,V_M2_main_V,T_M2_stm32_C,I_M3_main_mA,V_M3_main_V,T_M3_stm32_C
M0-M2,2,ZERO,FULL,200,CONTINUOUS_USB_READ,2026-09-07,36.301,3.279,3.279,3.279,119.030979,42.5,29.3,0,,,1,,False,False,"{""combo"": ""M0-M2"", ""module_count"": ""2"", ""load"": ""ZERO"", ""protocol_mode"": ""FULL"", ""configured_frequency_Hz"": ""200"", ""current_filename_date_batch"": ""2026-09-07"", ""I_M0_main_mA"": ""17.985"", ""I_M1_main_mA"": """", ""I_M2_main_mA"": ""18.316"", ""I_M3_main_mA"": """", ""I_sum_mA"": ""36.301"", ""V_source_main_V"": ""3.279"", ""V_source_min_V"": ""3.279"", ""V_source_max_V"": ""3.279"", ""P_source_output_estimate_mW"": ""119.030979"", ""power_uses_cross_record_voltage"": ""True"", ""power_is_simultaneous_measurement"": ""False"", ""branch_sum_is_simultaneous_measurement"": ""False"", ""source_voltage_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1.yaml"", ""source_voltage_sha256"": ""61fb4eab2ee15e218706767d0d6c694b12c3d8018d2da9773245157496811fef"", ""source_voltage_run_id"": ""PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1"", ""source_voltage_photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260906_231927.jpg"", ""source_voltage_photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260906_231927.jpg"", ""source_voltage_photo_sha256"": ""95052ff8b47b164ee3c99cd997c9b1d6c1e52909537ae98ae4fac7fd53418349"", ""voltage_configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""current_temperature_remeasured_after_connector_repair"": """", ""voltage_quality_event_id"": """", ""T_M0_stm32_C"": ""27.3"", ""T_M1_stm32_C"": """", ""T_M2_stm32_C"": ""26.8"", ""T_M3_stm32_C"": """", ""T_teensy_C"": ""42.5"", ""T_regulator_C"": ""29.3"", ""I_N1_prediction_mA"": ""36.52"", ""prediction_residual_mA"": ""-0.219"", ""prediction_residual_percent"": ""-0.5996714129244249726177437021"", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """", ""current_MIN_MAX_complete_branches"": ""2"", ""source_record_run_id"": ""PS01_N2_F200_ZERO_M0-M2_USB_RX_VOLTAGE_R1"", ""current_source"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv""}",17.985,3.235,27.3,,,,18.316,3.248,26.8,,,
M0-M2,2,MAX,FULL,200,CONTINUOUS_USB_READ,2026-09-07,39.357,3.278,3.278,3.278,129.012246,42.7,29.2,,,,1,,False,False,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv"", ""source_record_sha256"": ""a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee"", ""metadata"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907_metadata.json"", ""metadata_sha256"": ""e335661ecc64456d4bab510dd44a104fdb3c6989946054dd1783394a7d6660bc"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_025357.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_025650.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030036.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030134.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030206.jpg""], ""configuration_photo_sha256"": [""9a25df23cee13fc0d95fb4063759646e32f3b51bb03f05e6b3f162fe35d70a89"", ""89715493389937ffb8b98b0d11fbb76f123dd4bd73a5182481b5b4526da1881d"", ""8c4477947d7b963b331182c4e6db4fb2ffbf292a2b06cc879e22eb050e8a0a64"", ""205d2b7c44111ef33540e4db16b003cb5e9c4ae085c4410e900d6328bfc9588a"", ""a474b1732bc313ba766fdebf628a2ee286d98b97a9fc976f9ad4fbdcb3d151cc""], ""source_voltage_mapping_basis"": ""The first voltage photograph within each combination is assigned SOURCE following the established capture convention. The probe endpoint is not visible in these DMM photographs; this label is inferred rather than independently verified by the image."", ""temperature_source"": ""user_message_via_metadata"", ""load_mass_area_distribution"": ""not supplied"", ""fault_counts"": null}",19.588,3.240,27.2,,,,19.769,3.241,27.1,,,
M0-M3,2,ZERO,FULL,200,CONTINUOUS_USB_READ,2026-09-07,35.907,3.279,3.278,3.279,117.739053,42.6,29.2,0,,,1,,False,False,"{""combo"": ""M0-M3"", ""module_count"": ""2"", ""load"": ""ZERO"", ""protocol_mode"": ""FULL"", ""configured_frequency_Hz"": ""200"", ""current_filename_date_batch"": ""2026-09-07"", ""I_M0_main_mA"": ""17.985"", ""I_M1_main_mA"": """", ""I_M2_main_mA"": """", ""I_M3_main_mA"": ""17.922"", ""I_sum_mA"": ""35.907"", ""V_source_main_V"": ""3.279"", ""V_source_min_V"": ""3.278"", ""V_source_max_V"": ""3.279"", ""P_source_output_estimate_mW"": ""117.739053"", ""power_uses_cross_record_voltage"": ""True"", ""power_is_simultaneous_measurement"": ""False"", ""branch_sum_is_simultaneous_measurement"": ""False"", ""source_voltage_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1.yaml"", ""source_voltage_sha256"": ""ea37816dd44a084a23490a531bc5eaa8634403acc6a4bbe63375234b9ae4de80"", ""source_voltage_run_id"": ""PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1"", ""source_voltage_photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260906_232855.jpg"", ""source_voltage_photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260906_232855.jpg"", ""source_voltage_photo_sha256"": ""be9a773ea9595f2acd6642ce04ead2900e21c318f4cc77e3edc3e41f874057a2"", ""voltage_configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""current_temperature_remeasured_after_connector_repair"": """", ""voltage_quality_event_id"": """", ""T_M0_stm32_C"": ""27.3"", ""T_M1_stm32_C"": """", ""T_M2_stm32_C"": """", ""T_M3_stm32_C"": ""26.4"", ""T_teensy_C"": ""42.6"", ""T_regulator_C"": ""29.2"", ""I_N1_prediction_mA"": ""36.56"", ""prediction_residual_mA"": ""-0.653"", ""prediction_residual_percent"": ""-1.786105032822757111597374179"", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """", ""current_MIN_MAX_complete_branches"": ""2"", ""source_record_run_id"": ""PS01_N2_F200_ZERO_M0-M3_USB_RX_VOLTAGE_R1"", ""current_source"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv""}",17.985,3.237,27.3,,,,,,,17.922,3.241,26.4
M0-M3,2,MAX,FULL,200,CONTINUOUS_USB_READ,2026-09-07,39.335,3.278,3.278,3.278,128.940130,42.6,28.9,,,,1,,False,False,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv"", ""source_record_sha256"": ""a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee"", ""metadata"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907_metadata.json"", ""metadata_sha256"": ""e335661ecc64456d4bab510dd44a104fdb3c6989946054dd1783394a7d6660bc"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030620.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030754.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030911.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_031106.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_031302.jpg""], ""configuration_photo_sha256"": [""0e6854eebf4595e5c3443f0d46e8a6b183361570a06b7f9aea601b17c2a392c6"", ""4fe1d2be5f0d02aaecb4419601972186b4d557920e4bcb1ba773a15f50073858"", ""db51320498aa2f62822fbf3331057c831f6def2ec17ef014294695ba4afd4383"", ""156b877dbe27a60258ee063bdf43cd80f0782caf8d26edc8e047c877a5b53983"", ""812f52a6bfe98e93754525c290186abc513592272c68f42f775631494f39400d""], ""source_voltage_mapping_basis"": ""The first voltage photograph within each combination is assigned SOURCE following the established capture convention. The probe endpoint is not visible in these DMM photographs; this label is inferred rather than independently verified by the image."", ""temperature_source"": ""user_message_via_metadata"", ""load_mass_area_distribution"": ""not supplied"", ""fault_counts"": null}",19.664,3.241,27.3,,,,,,,19.671,3.244,26.9
M1-M2,2,ZERO,FULL,200,CONTINUOUS_USB_READ,2026-09-07,36.261,3.278,3.278,3.278,118.863558,42.8,29.1,0,,,1,,False,False,"{""combo"": ""M1-M2"", ""module_count"": ""2"", ""load"": ""ZERO"", ""protocol_mode"": ""FULL"", ""configured_frequency_Hz"": ""200"", ""current_filename_date_batch"": ""2026-09-07"", ""I_M0_main_mA"": """", ""I_M1_main_mA"": ""18.151"", ""I_M2_main_mA"": ""18.110"", ""I_M3_main_mA"": """", ""I_sum_mA"": ""36.261"", ""V_source_main_V"": ""3.278"", ""V_source_min_V"": ""3.278"", ""V_source_max_V"": ""3.278"", ""P_source_output_estimate_mW"": ""118.863558"", ""power_uses_cross_record_voltage"": ""True"", ""power_is_simultaneous_measurement"": ""False"", ""branch_sum_is_simultaneous_measurement"": ""False"", ""source_voltage_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1.yaml"", ""source_voltage_sha256"": ""6de2a9ff6fe5d6035346802c2411c29a8ed87e0ef5c54d376eb7b73e1ba08979"", ""source_voltage_run_id"": ""PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1"", ""source_voltage_photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260906_233306.jpg"", ""source_voltage_photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260906_233306.jpg"", ""source_voltage_photo_sha256"": ""3d753b4168d64ef862ffc0149338427602720f81ba18b6652615c736abdb9049"", ""voltage_configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""current_temperature_remeasured_after_connector_repair"": """", ""voltage_quality_event_id"": """", ""T_M0_stm32_C"": """", ""T_M1_stm32_C"": ""26.5"", ""T_M2_stm32_C"": ""26.3"", ""T_M3_stm32_C"": """", ""T_teensy_C"": ""42.8"", ""T_regulator_C"": ""29.1"", ""I_N1_prediction_mA"": ""36.74"", ""prediction_residual_mA"": ""-0.479"", ""prediction_residual_percent"": ""-1.303756124115405552531301034"", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """", ""current_MIN_MAX_complete_branches"": ""2"", ""source_record_run_id"": ""PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1"", ""current_source"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv""}",,,,18.151,3.252,26.5,18.110,3.247,26.3,,,
M1-M2,2,MAX,FULL,200,CONTINUOUS_USB_READ,2026-09-07,39.719,3.277,3.277,3.277,130.159163,43.1,29.2,,,,1,,False,False,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv"", ""source_record_sha256"": ""a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee"", ""metadata"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907_metadata.json"", ""metadata_sha256"": ""e335661ecc64456d4bab510dd44a104fdb3c6989946054dd1783394a7d6660bc"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_031825.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032016.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032139.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032207.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032232.jpg""], ""configuration_photo_sha256"": [""62a94cbbe5fd2b78f71163a17ae7d2d29121c38e91d689634a13dc2d89a8aeca"", ""b7ff30018bf4bcc9cdbf582a7af3160e073559f7af613e3aa563c841b0792076"", ""9078837ac6f32fac442cb7caf5190889d8abf879cb8234afb8e621e44f9d9959"", ""be8d002483e0a3d69131e0f4a970720bfdd790f71d8db378834a8d6627c03420"", ""5bc6d401c8ff8d26d50a3e6a647dde001aefa429d609b0b72583b4b3ca2c0b5c""], ""source_voltage_mapping_basis"": ""The first voltage photograph within each combination is assigned SOURCE following the established capture convention. The probe endpoint is not visible in these DMM photographs; this label is inferred rather than independently verified by the image."", ""temperature_source"": ""user_message_via_metadata"", ""load_mass_area_distribution"": ""not supplied"", ""fault_counts"": null}",,,,19.99,3.251,26.9,19.729,3.244,26.7,,,
M1-M3,2,ZERO,FULL,200,CONTINUOUS_USB_READ,2026-09-07,36.561,3.278,3.278,3.279,119.846958,42.5,28.8,0,,,1,,False,False,"{""combo"": ""M1-M3"", ""module_count"": ""2"", ""load"": ""ZERO"", ""protocol_mode"": ""FULL"", ""configured_frequency_Hz"": ""200"", ""current_filename_date_batch"": ""2026-09-07"", ""I_M0_main_mA"": """", ""I_M1_main_mA"": ""18.464"", ""I_M2_main_mA"": """", ""I_M3_main_mA"": ""18.097"", ""I_sum_mA"": ""36.561"", ""V_source_main_V"": ""3.278"", ""V_source_min_V"": ""3.278"", ""V_source_max_V"": ""3.279"", ""P_source_output_estimate_mW"": ""119.846958"", ""power_uses_cross_record_voltage"": ""True"", ""power_is_simultaneous_measurement"": ""False"", ""branch_sum_is_simultaneous_measurement"": ""False"", ""source_voltage_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1.yaml"", ""source_voltage_sha256"": ""d3aac60eb88bfcb9208d4acf2ceb07be8d751e33e28b3316085f5470a26458cc"", ""source_voltage_run_id"": ""PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1"", ""source_voltage_photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260906_233839.jpg"", ""source_voltage_photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260906_233839.jpg"", ""source_voltage_photo_sha256"": ""1b42628f0bea0e4e6da5ce7de53f527868380894046d0fbff298de29b436170b"", ""voltage_configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""current_temperature_remeasured_after_connector_repair"": """", ""voltage_quality_event_id"": """", ""T_M0_stm32_C"": """", ""T_M1_stm32_C"": ""26.7"", ""T_M2_stm32_C"": """", ""T_M3_stm32_C"": ""26.5"", ""T_teensy_C"": ""42.5"", ""T_regulator_C"": ""28.8"", ""I_N1_prediction_mA"": ""36.78"", ""prediction_residual_mA"": ""-0.219"", ""prediction_residual_percent"": ""-0.5954323001631321370309951060"", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """", ""current_MIN_MAX_complete_branches"": ""2"", ""source_record_run_id"": ""PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1"", ""current_source"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv""}",,,,18.464,3.248,26.7,,,,18.097,3.245,26.5
M1-M3,2,MAX,FULL,200,CONTINUOUS_USB_READ,2026-09-07,40.016,3.277,3.277,3.278,131.132432,42.7,29.2,,,,1,,False,False,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv"", ""source_record_sha256"": ""a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee"", ""metadata"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907_metadata.json"", ""metadata_sha256"": ""e335661ecc64456d4bab510dd44a104fdb3c6989946054dd1783394a7d6660bc"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032708.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032730.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032751.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032928.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_033036.jpg""], ""configuration_photo_sha256"": [""b9cf989e8867fa8771f9045fcfd474cac9fb860ffb4f7fa420ddecd097e704db"", ""bc0e879bf9e8b426673a80abfed7a82b719ad12ac02fba85914c75374e0cdbb1"", ""979ac982dea17b33d628c4da9e6247e3595b777e81c12df0445911cc80f990bd"", ""a3523e3c06f6eea89debb852a19d2d6e39a7b508752c509bae633f9ee7ba0b90"", ""c01b1f9a9cd644b176d68653704cd774be313c49fd458240f56098a6cdfbed13""], ""source_voltage_mapping_basis"": ""The first voltage photograph within each combination is assigned SOURCE following the established capture convention. The probe endpoint is not visible in these DMM photographs; this label is inferred rather than independently verified by the image."", ""temperature_source"": ""user_message_via_metadata"", ""load_mass_area_distribution"": ""not supplied"", ""fault_counts"": null}",,,,20.32,3.250,27.2,,,,19.696,3.246,26.6
M2-M3,2,ZERO,FULL,200,CONTINUOUS_USB_READ,2026-09-05,36.534,3.279,3.278,3.279,119.794986,42.6,29.2,0,,,1,,False,False,"{""combo"": ""M2-M3"", ""module_count"": ""2"", ""load"": ""ZERO"", ""protocol_mode"": ""FULL"", ""configured_frequency_Hz"": ""200"", ""current_filename_date_batch"": ""2026-09-05"", ""I_M0_main_mA"": """", ""I_M1_main_mA"": """", ""I_M2_main_mA"": ""18.379"", ""I_M3_main_mA"": ""18.155"", ""I_sum_mA"": ""36.534"", ""V_source_main_V"": ""3.279"", ""V_source_min_V"": ""3.278"", ""V_source_max_V"": ""3.279"", ""P_source_output_estimate_mW"": ""119.794986"", ""power_uses_cross_record_voltage"": ""False"", ""power_is_simultaneous_measurement"": ""False"", ""branch_sum_is_simultaneous_measurement"": ""False"", ""source_voltage_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml"", ""source_voltage_sha256"": ""b50050a18d67351c74810a9376ad094906abec2e5c6c944e645fddea7bd4dc2d"", ""source_voltage_run_id"": ""PS01_N2_F200_ZERO_M2-M3_USB_RX_R1"", ""source_voltage_photo_paths"": """", ""source_voltage_photo_original_references"": """", ""source_voltage_photo_sha256"": """", ""voltage_configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""current_temperature_remeasured_after_connector_repair"": """", ""voltage_quality_event_id"": """", ""T_M0_stm32_C"": """", ""T_M1_stm32_C"": """", ""T_M2_stm32_C"": ""26.7"", ""T_M3_stm32_C"": ""27.1"", ""T_teensy_C"": ""42.6"", ""T_regulator_C"": ""29.2"", ""I_N1_prediction_mA"": ""36.76"", ""prediction_residual_mA"": ""-0.226"", ""prediction_residual_percent"": ""-0.6147986942328618063112078346"", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """", ""current_MIN_MAX_complete_branches"": ""2"", ""source_record_run_id"": ""PS01_N2_F200_ZERO_M2-M3_USB_RX_R1"", ""current_source"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml""}",,,,,,,18.379,3.248,26.7,18.155,3.248,27.1
M2-M3,2,MAX,FULL,200,CONTINUOUS_USB_READ,2026-09-05,39.379,3.278,3.278,3.279,129.084362,42.8,29.4,2000,,,1,,False,False,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/PS01_N2_F200_MAX_M2-M3_USB_RX_R1.yaml"", ""source_record_sha256"": ""16702fb7acfa55949c2c84878861f02ecf076e32b994f91455267644b310b43a"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/IMG_20260905_120020.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/IMG_20260905_120123.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/IMG_20260905_120250.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/IMG_20260905_120321.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/IMG_20260905_120353.jpg""], ""configuration_photo_sha256"": [""5d310316b09cef213a834e2bf7be0c43b46b1902ccdecc9e6b2963b9b98a60f4"", ""238a62b9bab0b1d56e498f7c836f40323e30a1d0089b3d8bfba20830b8bfd6f6"", ""eaccfcf82a0cc9747ba78826dbc2d5d374e44821ed5d2bab3202e8dca5a2ed0d"", ""bf747617981b8ef4f18740cedea31a534ff01ac277e8d1bc548ea2feb57c27ac"", ""03983d34374f2dcf252a5b803102fe724764255129a69d5b8c1f6bbede689d9b""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes""}",,,,,,,19.705,3.245,26.8,19.674,3.246,26.9
M0-M1-M2,3,ZERO,FULL,200,CONTINUOUS_USB_READ,2026-09-05,54.481,3.276,3.276,3.277,178.479756,42.8,30.5,0,,,1,,False,False,"{""combo"": ""M0-M1-M2"", ""module_count"": ""3"", ""load"": ""ZERO"", ""protocol_mode"": ""FULL"", ""configured_frequency_Hz"": ""200"", ""current_filename_date_batch"": ""2026-09-05"", ""I_M0_main_mA"": ""17.968"", ""I_M1_main_mA"": ""18.13"", ""I_M2_main_mA"": ""18.383"", ""I_M3_main_mA"": """", ""I_sum_mA"": ""54.481"", ""V_source_main_V"": ""3.276"", ""V_source_min_V"": ""3.276"", ""V_source_max_V"": ""3.277"", ""P_source_output_estimate_mW"": ""178.479756"", ""power_uses_cross_record_voltage"": ""False"", ""power_is_simultaneous_measurement"": ""False"", ""branch_sum_is_simultaneous_measurement"": ""False"", ""source_voltage_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml"", ""source_voltage_sha256"": ""3bfdf897927c11c1207228c0ebd3f8545bcd97a5252597358858b494b307db85"", ""source_voltage_run_id"": ""PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1"", ""source_voltage_photo_paths"": """", ""source_voltage_photo_original_references"": """", ""source_voltage_photo_sha256"": """", ""voltage_configuration_kind"": ""USER_CONFIRMED_POINTWISE_CORRECTION"", ""current_temperature_remeasured_after_connector_repair"": ""False"", ""voltage_quality_event_id"": ""SUPPLY_CONTACT_M0_N3_ZERO_20260907"", ""T_M0_stm32_C"": ""27.5"", ""T_M1_stm32_C"": ""27.2"", ""T_M2_stm32_C"": ""26.8"", ""T_M3_stm32_C"": """", ""T_teensy_C"": ""42.8"", ""T_regulator_C"": ""30.5"", ""I_N1_prediction_mA"": ""54.90"", ""prediction_residual_mA"": ""-0.419"", ""prediction_residual_percent"": ""-0.7632058287795992714025500911"", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """", ""current_MIN_MAX_complete_branches"": ""3"", ""source_record_run_id"": ""PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1"", ""current_source"": ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml""}",17.968,3.241,27.5,18.13,3.250,27.2,18.383,3.246,26.8,,,
M0-M1-M2,3,MAX,FULL,200,CONTINUOUS_USB_READ,2026-09-05,59.328,3.276,3.275,3.276,194.358528,42.8,30.5,2000,,,1,,False,False,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1.yaml"", ""source_record_sha256"": ""31e4de3dd989405d4b9493b715842080243526e317562b584b09ae90ebcb5f27"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/IMG_20260905_124443.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/IMG_20260905_124626.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/IMG_20260905_124739.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/IMG_20260905_125421.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/IMG_20260905_130906.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/IMG_20260905_130928.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/IMG_20260905_130948.jpg""], ""configuration_photo_sha256"": [""aaebe8b7190ea352dd9ba723252f1820d4539540ad1d2b6949f619571ad0033e"", ""ecdd5264c7b1c547684621c92b13ee9444abbfeed8062ac051768669fe559ddd"", ""a267c26fba8d088e3da2936a37c0c853a6741e79dd0a3c132b2c7dca96f65b8b"", ""32eca0d47ca451496d9b1f245f662796192c7a5f90d43a5c9ef3ce01f4c573da"", ""065e3dcafb32c3ce562dbd6b7f2943b9eeac6de5bc4525a1e818cbda2486e32e"", ""8c035652c5973934f4f81d7db78dc53114c35c346e9af3ae8feeae29c66bd43b"", ""b1256a5a2560f6157e4c5f134ddc5c3095ddddf8ed1983dd0ab59a10923b98f1""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes""}",19.703,3.237,27.5,19.879,3.246,27.2,19.746,3.242,26.8,,,
