load,combo,V_source_main_V,V_source_min_V,V_source_max_V,provenance_json
ZERO,M0-M1-M2,3.276,3.276,3.277,"{""configuration_id"": ""ZERO:M0+M1+M2"", ""load"": ""ZERO"", ""combo"": ""M0+M1+M2"", ""module_count"": ""3"", ""configuration_kind"": ""USER_CONFIRMED_POINTWISE_CORRECTION"", ""accepted_complete"": ""True"", ""same_record_complete"": ""False"", ""counts_as_additional_independent_run"": ""False"", ""simultaneous_new_acquisition_claimed"": ""False"", ""point_id"": ""SOURCE"", ""main_V"": ""3.276"", ""min_V"": ""3.276"", ""max_V"": ""3.277"", ""point_source_run_id"": ""PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1"", ""point_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml"", ""point_source_sha256"": ""3bfdf897927c11c1207228c0ebd3f8545bcd97a5252597358858b494b307db85"", ""point_source_fields"": ""V_source_avg_V;V_source_min_V;V_source_max_V"", ""photo_paths"": """", ""photo_sha256"": """", ""photo_original_references"": """", ""photo_mapping_basis"": ""not_mapped_in_original_record"", ""point_acceptance_basis"": ""user_confirmed_unchanged"", ""source_reference_run_id"": """", ""source_reference_main_V"": """", ""source_to_point_drop_mV"": """", ""drop_uses_same_record"": """", ""drop_basis"": ""not_applicable_source_point"", ""quality_event_id"": ""SUPPLY_CONTACT_M0_N3_ZERO_20260907""}"
ZERO,M0-M1-M3,3.277,3.277,3.277,"{""configuration_id"": ""ZERO:M0+M1+M3"", ""load"": ""ZERO"", ""combo"": ""M0+M1+M3"", ""module_count"": ""3"", ""configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""accepted_complete"": ""True"", ""same_record_complete"": ""True"", ""counts_as_additional_independent_run"": ""False"", ""simultaneous_new_acquisition_claimed"": ""False"", ""point_id"": ""SOURCE"", ""main_V"": ""3.277"", ""min_V"": ""3.277"", ""max_V"": ""3.277"", ""point_source_run_id"": ""PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1"", ""point_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1.yaml"", ""point_source_sha256"": ""5b2c74f7f3098d0dda00b67e6722170919d59941eb3f3bf74e754bd298a4ec09"", ""point_source_fields"": ""V_source_avg_V;V_source_min_V;V_source_max_V"", ""photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/IMG_20260907_000539.jpg"", ""photo_sha256"": ""7f12161f64210c0b3e7712ac409afe21ff73cfe08d1beabb81b8199cc46a9579"", ""photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_000539.jpg"", ""photo_mapping_basis"": ""record_voltage_photo_evidence"", ""point_acceptance_basis"": ""no_reported_supply_contact_fault"", ""source_reference_run_id"": """", ""source_reference_main_V"": """", ""source_to_point_drop_mV"": """", ""drop_uses_same_record"": """", ""drop_basis"": ""not_applicable_source_point"", ""quality_event_id"": """"}"
ZERO,M0-M2-M3,3.276,3.276,3.277,"{""configuration_id"": ""ZERO:M0+M2+M3"", ""load"": ""ZERO"", ""combo"": ""M0+M2+M3"", ""module_count"": ""3"", ""configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""accepted_complete"": ""True"", ""same_record_complete"": ""True"", ""counts_as_additional_independent_run"": ""False"", ""simultaneous_new_acquisition_claimed"": ""False"", ""point_id"": ""SOURCE"", ""main_V"": ""3.276"", ""min_V"": ""3.276"", ""max_V"": ""3.277"", ""point_source_run_id"": ""PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1"", ""point_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1.yaml"", ""point_source_sha256"": ""7ac9267e6536148eef3d68ae21bd79fee309cc0779c33dacdeb5087682c4f47d"", ""point_source_fields"": ""V_source_avg_V;V_source_min_V;V_source_max_V"", ""photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/IMG_20260907_002056.jpg"", ""photo_sha256"": ""e8353872781b06d1c9fbd036bd98f94709493b7b7e2059fcd9d339d7f345865b"", ""photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_002056.jpg"", ""photo_mapping_basis"": ""record_voltage_photo_evidence"", ""point_acceptance_basis"": ""no_reported_supply_contact_fault"", ""source_reference_run_id"": """", ""source_reference_main_V"": """", ""source_to_point_drop_mV"": """", ""drop_uses_same_record"": """", ""drop_basis"": ""not_applicable_source_point"", ""quality_event_id"": """"}"
ZERO,M1-M2-M3,3.276,3.276,3.277,"{""configuration_id"": ""ZERO:M1+M2+M3"", ""load"": ""ZERO"", ""combo"": ""M1+M2+M3"", ""module_count"": ""3"", ""configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""accepted_complete"": ""True"", ""same_record_complete"": ""True"", ""counts_as_additional_independent_run"": ""False"", ""simultaneous_new_acquisition_claimed"": ""False"", ""point_id"": ""SOURCE"", ""main_V"": ""3.276"", ""min_V"": ""3.276"", ""max_V"": ""3.277"", ""point_source_run_id"": ""PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1"", ""point_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/zero_load/PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1.yaml"", ""point_source_sha256"": ""c05ab0823c9d26dc0956d827927022f30b82f7edac55885308bafad9ce9cd911"", ""point_source_fields"": ""V_source_avg_V;V_source_min_V;V_source_max_V"", ""photo_paths"": """", ""photo_sha256"": """", ""photo_original_references"": """", ""photo_mapping_basis"": ""not_mapped_in_original_record"", ""point_acceptance_basis"": ""no_reported_supply_contact_fault"", ""source_reference_run_id"": """", ""source_reference_main_V"": """", ""source_to_point_drop_mV"": """", ""drop_uses_same_record"": """", ""drop_basis"": ""not_applicable_source_point"", ""quality_event_id"": """"}"
ZERO,M0-M1-M2-M3,3.274,3.273,3.274,"{""configuration_id"": ""ZERO:M0+M1+M2+M3"", ""load"": ""ZERO"", ""combo"": ""M0+M1+M2+M3"", ""module_count"": ""4"", ""configuration_kind"": ""SAME_RECORD_VOLTAGE_CONFIGURATION"", ""accepted_complete"": ""True"", ""same_record_complete"": ""True"", ""counts_as_additional_independent_run"": ""False"", ""simultaneous_new_acquisition_claimed"": ""False"", ""point_id"": ""SOURCE"", ""main_V"": ""3.274"", ""min_V"": ""3.273"", ""max_V"": ""3.274"", ""point_source_run_id"": ""PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1"", ""point_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/zero_load/PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1.yaml"", ""point_source_sha256"": ""d4aac0c47b7db4f3eb9060d65d999e826499d6b3cdda5174650d9a2c04294c01"", ""point_source_fields"": ""V_source_avg_V;V_source_min_V;V_source_max_V"", ""photo_paths"": """", ""photo_sha256"": """", ""photo_original_references"": """", ""photo_mapping_basis"": ""not_mapped_in_original_record"", ""point_acceptance_basis"": ""no_reported_supply_contact_fault"", ""source_reference_run_id"": """", ""source_reference_main_V"": """", ""source_to_point_drop_mV"": """", ""drop_uses_same_record"": """", ""drop_basis"": ""not_applicable_source_point"", ""quality_event_id"": """"}"
MAX,M0,3.281,3.281,3.281,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/PS01_N1_F200_MAX_M0_USB_RX_R1.yaml"", ""source_record_sha256"": ""1faa6b068ba1e6bea5afbe4fb32bffff334dfe9de9d9743937256b5410e72584"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/IMG_20260904_183630.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/IMG_20260904_183832.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M0/full_load/IMG_20260904_184017.jpg""], ""configuration_photo_sha256"": [""80bb9f217a24fc05912474bf80e4d9867d158ed84ee0406ddb60f833bcf0961f"", ""2dd949a9988dd487dbada178fb23b5a3f1e1417bb55300cf7e774fe84893bc46"", ""91eea73c2b13be1dd24784af4d579954b888109312bc7132c5a9309d15b7f75a""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes""}"
MAX,M1,3.281,3.28,3.281,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/PS01_N1_F200_MAX_M1_USB_RX_R1.yaml"", ""source_record_sha256"": ""158d10a7314e366231638b3ab4098c63333c2db55ae189456cb8ff930fd14b54"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/IMG_20260904_185144.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/IMG_20260905_110730.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/IMG_20260905_110800.jpg""], ""configuration_photo_sha256"": [""74f800c91975c73eba3db7fca756f31718096492e6d547b65cd27487544a6502"", ""bb2643d9d9191e55ebcfe94b0ad1cd005c84936f9b9b78d671d47d58c0c89f35"", ""72aa833eeea4606f46a429e4a7a8ec8a56d5fd8047d810ab49987523822fab80""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes""}"
MAX,M2,3.281,3.28,3.281,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/PS01_N1_F200_MAX_M2_USB_RX_R1.yaml"", ""source_record_sha256"": ""0e5661fb3f44c55ed5acd0b8eaf3f4f2d9262e9ebce7351a87bb39635f4a62a8"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/IMG_20260904_190031.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/IMG_20260905_111250.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/IMG_20260905_111323.jpg""], ""configuration_photo_sha256"": [""1ac0081f69cd1429167938e91b46207a74dcf40e229960991304a29d87572ef7"", ""47549bf988d03573aa551635e6b8a99cd638670b0674470cdb274e7222b8cf22"", ""e5a820b474557669e1da4637286ab1c7d0a9c16e244210225a741f481a615daf""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes""}"
MAX,M3,3.28,3.28,3.28,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/PS01_N1_F200_MAX_M3_USB_RX_R1.yaml"", ""source_record_sha256"": ""3a67413791ed758694a803890a0320e1a2b61ab25f2bf781d762e251fb88ae64"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/IMG_20260904_190828.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/IMG_20260904_191915.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/IMG_20260904_191947.jpg""], ""configuration_photo_sha256"": [""44b6eb1c1eabf436cdd097be8e0e29e72b57570575340f2926d08ba7d7478427"", ""1c63784d79a0366c0a60649bec3d0ec90075e182d5991c5f2bbcb4bd10feedeb"", ""c06b695d604792bf77f55d668c501bc2089b23e39b112ce23f564ddd7a531473""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes""}"
MAX,M0-M1,3.278,3.278,3.279,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml"", ""source_record_sha256"": ""a51af797896fa4a7d45c85814ab5953409baf4b2282c1c3dbd07619c81170e13"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_113832.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114202.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114322.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114418.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/IMG_20260905_114442.jpg""], ""configuration_photo_sha256"": [""305618853eeba6a44f8bec8c47134b34d6828e17209421ca807868c624c986fb"", ""b2a49394e97275f29c737fc0fe47dc29f6cec44025cb225c5fed2c6d24e81ea8"", ""5cb4fadf06c48c31417ffb9505eac825b80ca4817d50f1df8acb1e358df4296c"", ""380552237968b1ff68a3173d1d0f01464513f9399319641019e79b0fef547517"", ""c707e90d7552a4167cf28172f7272b77f5a890bb254bc0dd9d6efad2621a7ff4""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes""}"
MAX,M2-M3,3.278,3.278,3.279,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/PS01_N2_F200_MAX_M2-M3_USB_RX_R1.yaml"", ""source_record_sha256"": ""16702fb7acfa55949c2c84878861f02ecf076e32b994f91455267644b310b43a"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/IMG_20260905_120020.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/IMG_20260905_120123.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/IMG_20260905_120250.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/IMG_20260905_120321.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/full_load/IMG_20260905_120353.jpg""], ""configuration_photo_sha256"": [""5d310316b09cef213a834e2bf7be0c43b46b1902ccdecc9e6b2963b9b98a60f4"", ""238a62b9bab0b1d56e498f7c836f40323e30a1d0089b3d8bfba20830b8bfd6f6"", ""eaccfcf82a0cc9747ba78826dbc2d5d374e44821ed5d2bab3202e8dca5a2ed0d"", ""bf747617981b8ef4f18740cedea31a534ff01ac277e8d1bc548ea2feb57c27ac"", ""03983d34374f2dcf252a5b803102fe724764255129a69d5b8c1f6bbede689d9b""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes""}"
MAX,M0-M1-M2,3.276,3.275,3.276,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/PS01_N3_F200_MAX_M0-M1-M2_USB_RX_R1.yaml"", ""source_record_sha256"": ""31e4de3dd989405d4b9493b715842080243526e317562b584b09ae90ebcb5f27"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/IMG_20260905_124443.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/IMG_20260905_124626.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/IMG_20260905_124739.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/IMG_20260905_125421.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/IMG_20260905_130906.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/IMG_20260905_130928.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/full_load/IMG_20260905_130948.jpg""], ""configuration_photo_sha256"": [""aaebe8b7190ea352dd9ba723252f1820d4539540ad1d2b6949f619571ad0033e"", ""ecdd5264c7b1c547684621c92b13ee9444abbfeed8062ac051768669fe559ddd"", ""a267c26fba8d088e3da2936a37c0c853a6741e79dd0a3c132b2c7dca96f65b8b"", ""32eca0d47ca451496d9b1f245f662796192c7a5f90d43a5c9ef3ce01f4c573da"", ""065e3dcafb32c3ce562dbd6b7f2943b9eeac6de5bc4525a1e818cbda2486e32e"", ""8c035652c5973934f4f81d7db78dc53114c35c346e9af3ae8feeae29c66bd43b"", ""b1256a5a2560f6157e4c5f134ddc5c3095ddddf8ed1983dd0ab59a10923b98f1""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes""}"
MAX,M1-M2-M3,3.276,3.276,3.276,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/PS01_N3_F200_MAX_M1-M2-M3_USB_RX_R1.yaml"", ""source_record_sha256"": ""4892e0d86e57c09da28d32627cf7ae4928f16b7b79963522a83846c2477c0423"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/IMG_20260905_131332.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/IMG_20260905_131352.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/IMG_20260905_131414.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/IMG_20260905_131433.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/IMG_20260905_131728.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/IMG_20260905_132040.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/full_load/IMG_20260905_132253.jpg""], ""configuration_photo_sha256"": [""4f10f6bc27394d091da383ca56d903c41517dd6d2be97461902b51033eac9ff3"", ""368fa117d056c9885b1b3067a1fdf27e63fe3b368de175e88bc858a1749813b9"", ""3dbe34e7dfcf993d4c062c8ee3c423640b598515a364eef6c032d018977c340f"", ""e2b022b3b37d5ade84046fbbb7504877d6f154cc3230d9f2a80007113096c07e"", ""bf767954d530e1eed0ed8cff3dd98fa5cd60d6d993579264110c3f0096687197"", ""64e5ed2d88e3c11d9e4d38d1ea73e1ec34b61bb9221e412f9c822bdf09b43cac"", ""3d4bc32007c687faaea3d5fa23498e49f362055dbf641017422db3778411c75c""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes""}"
MAX,M0-M1-M2-M3,3.273,3.273,3.273,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1.yaml"", ""source_record_sha256"": ""5d646a643cf07a40cc5e0526dcee4cfde2e0bf50405af0e858298c54ba203102"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/IMG_20260905_133637.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/IMG_20260905_133920.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/IMG_20260905_134110.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/IMG_20260905_134309.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/IMG_20260905_134442.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/IMG_20260905_134500.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/IMG_20260905_134543.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/IMG_20260905_134702.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/IMG_20260905_140315.jpg""], ""configuration_photo_sha256"": [""4241d8eefbe51fee6b2fd8339d811aae3215c55e33553813bb297e75cdaaf409"", ""8148a839a9eb6c7577b3351221a5967ab87c31d607e6ccff4da6c4e595b774c9"", ""fb7c7085e3f2962e28abda0277d0c291102589a4a602827eed3ac28cc6e189da"", ""a7b582f7c67c9ccaa72f3e99d4727a59406d674d7dbf5f950d20a70140931059"", ""d9c82206dc8000202512c0dbdac6c1543f29c1596c6e068fa83d38cfece530ec"", ""33cded8ee27fe12b0c247024fe48c29f4e8f0e74368a29009404b5b9ae3b9e9d"", ""e3194e7605637495411ac1002e06dc7f831c5462653dd84dc9d78c94562357a0"", ""26df3607ead0462a79b282eb01aa8c20e7fd97e81abf5fa908db9e4de71d72cb"", ""074e19253e8a27ec253d4f9b8998355ebd20b3a471fdef9823491315f35b382a""], ""individual_photo_mapping"": ""not_reassigned_original_YAML_plus_group_photos"", ""firmware_actual_rate_verified_by_photos"": false, ""fault_counts"": ""original YAML zeros are template defaults, not verified fault-monitoring outcomes""}"
MAX,M0-M2,3.278,3.278,3.278,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv"", ""source_record_sha256"": ""a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee"", ""metadata"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907_metadata.json"", ""metadata_sha256"": ""e335661ecc64456d4bab510dd44a104fdb3c6989946054dd1783394a7d6660bc"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_025357.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_025650.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030036.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030134.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030206.jpg""], ""configuration_photo_sha256"": [""9a25df23cee13fc0d95fb4063759646e32f3b51bb03f05e6b3f162fe35d70a89"", ""89715493389937ffb8b98b0d11fbb76f123dd4bd73a5182481b5b4526da1881d"", ""8c4477947d7b963b331182c4e6db4fb2ffbf292a2b06cc879e22eb050e8a0a64"", ""205d2b7c44111ef33540e4db16b003cb5e9c4ae085c4410e900d6328bfc9588a"", ""a474b1732bc313ba766fdebf628a2ee286d98b97a9fc976f9ad4fbdcb3d151cc""], ""source_voltage_mapping_basis"": ""The first voltage photograph within each combination is assigned SOURCE following the established capture convention. The probe endpoint is not visible in these DMM photographs; this label is inferred rather than independently verified by the image."", ""temperature_source"": ""user_message_via_metadata"", ""load_mass_area_distribution"": ""not supplied"", ""fault_counts"": null, ""source_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_030036.jpg""}"
MAX,M0-M3,3.278,3.278,3.278,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv"", ""source_record_sha256"": ""a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee"", ""metadata"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907_metadata.json"", ""metadata_sha256"": ""e335661ecc64456d4bab510dd44a104fdb3c6989946054dd1783394a7d6660bc"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030620.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030754.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030911.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_031106.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_031302.jpg""], ""configuration_photo_sha256"": [""0e6854eebf4595e5c3443f0d46e8a6b183361570a06b7f9aea601b17c2a392c6"", ""4fe1d2be5f0d02aaecb4419601972186b4d557920e4bcb1ba773a15f50073858"", ""db51320498aa2f62822fbf3331057c831f6def2ec17ef014294695ba4afd4383"", ""156b877dbe27a60258ee063bdf43cd80f0782caf8d26edc8e047c877a5b53983"", ""812f52a6bfe98e93754525c290186abc513592272c68f42f775631494f39400d""], ""source_voltage_mapping_basis"": ""The first voltage photograph within each combination is assigned SOURCE following the established capture convention. The probe endpoint is not visible in these DMM photographs; this label is inferred rather than independently verified by the image."", ""temperature_source"": ""user_message_via_metadata"", ""load_mass_area_distribution"": ""not supplied"", ""fault_counts"": null, ""source_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_030620.jpg""}"
MAX,M1-M2,3.277,3.277,3.277,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv"", ""source_record_sha256"": ""a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee"", ""metadata"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907_metadata.json"", ""metadata_sha256"": ""e335661ecc64456d4bab510dd44a104fdb3c6989946054dd1783394a7d6660bc"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_031825.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032016.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032139.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032207.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032232.jpg""], ""configuration_photo_sha256"": [""62a94cbbe5fd2b78f71163a17ae7d2d29121c38e91d689634a13dc2d89a8aeca"", ""b7ff30018bf4bcc9cdbf582a7af3160e073559f7af613e3aa563c841b0792076"", ""9078837ac6f32fac442cb7caf5190889d8abf879cb8234afb8e621e44f9d9959"", ""be8d002483e0a3d69131e0f4a970720bfdd790f71d8db378834a8d6627c03420"", ""5bc6d401c8ff8d26d50a3e6a647dde001aefa429d609b0b72583b4b3ca2c0b5c""], ""source_voltage_mapping_basis"": ""The first voltage photograph within each combination is assigned SOURCE following the established capture convention. The probe endpoint is not visible in these DMM photographs; this label is inferred rather than independently verified by the image."", ""temperature_source"": ""user_message_via_metadata"", ""load_mass_area_distribution"": ""not supplied"", ""fault_counts"": null, ""source_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032139.jpg""}"
