actual_load_g,method,metric,unit,mean,sd,n_captures
140.0,FIT_PRESS,bias_g,g,30.545971332472025,39.69669392492613,2
140.0,FIT_PRESS,mae_g,g,63.10936198699394,17.44343371851895,2
140.0,FIT_PRESS,rmse_g,g,125.92090314502366,80.8235110600491,2
140.0,FIT_PRESS,std,g,121.07988211001138,74.04033830544365,2
140.0,FIT_PRESS,cv_percent,%,67.77898754276828,27.637311340114163,2
140.0,FIT_PRESS,mad,g,37.603938060899544,1.3556640229099246,2
140.0,FIT_PRESS,variance,g^2,17401.323699966528,17929.590866816954,2
140.0,FIT_PRESS,iqr,g,74.57531981295321,1.6655486256419187,2
140.0,FIT_PRESS,mean_estimate_absolute_percentage_error,%,21.81855095176573,28.354781374947233,2
140.0,GLOBAL_LUT,mean,g,153.1813816959003,27.69170599927991,2
140.0,GLOBAL_LUT,bias_g,g,13.1813816959003,27.691705999279883,2
140.0,GLOBAL_LUT,mae_g,g,138.12037078933702,15.75473956938334,2
140.0,GLOBAL_LUT,rmse_g,g,264.5959303946322,89.4907128639617,2
140.0,GLOBAL_LUT,std,g,263.7245746496842,88.40231713825072,2
140.0,GLOBAL_LUT,cv_percent,%,169.72178365755224,27.029041867021864,2
140.0,GLOBAL_LUT,mad,g,94.94675096849645,9.129693869511856,2
140.0,GLOBAL_LUT,variance,g^2,73458.13611186278,46627.726970663316,2
140.0,GLOBAL_LUT,iqr,g,233.86995414665654,36.57466407197864,2
140.0,GLOBAL_LUT,mean_estimate_absolute_percentage_error,%,13.986423639082147,13.315206260827622,2
212.0,LINEAR,mean,g,663.1819336151793,,1
212.0,LINEAR,bias_g,g,451.18193361517945,,1
212.0,LINEAR,mae_g,g,503.2958475487378,,1
212.0,LINEAR,rmse_g,g,812.0527918011913,,1
212.0,LINEAR,std,g,675.1774577482404,,1
212.0,LINEAR,cv_percent,%,101.80878331043645,,1
212.0,LINEAR,mad,g,257.8593610913089,,1
212.0,LINEAR,variance,g^2,455864.59945137694,,1
212.0,LINEAR,iqr,g,764.6101977114574,,1
212.0,LINEAR,mean_estimate_absolute_percentage_error,%,212.82166679961296,,1
212.0,GAMMA,mean,g,41.44751057176286,,1
212.0,GAMMA,bias_g,g,-170.55248942823712,,1
212.0,GAMMA,mae_g,g,220.271097078521,,1
212.0,GAMMA,rmse_g,g,349.7095859961621,,1
