record_index,method,source,source_capture,module_id,fsr,frame_count,actual_load_g,inferred_load_g,actual_unit,inferred_unit,valid_cells,excluded_cells,included,exclusion_reason,signed_error_g,absolute_error_g,mae_g,rmse_g,error_rate_percent,zero_load_excluded_from_percentage_error,display_reference_inferred_load_g,display_reference_signed_error_g,display_reference_error_rate_percent
3,GLOBAL_LUT,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_140g_20260907_101050_540692\view_distribution_capture.json,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_140g_20260907_101050_540692\view_distribution_capture.json,1,FSR2,200,140.0,133.60038860118527,g,g,256,0,True,,-6.399611398814708,6.399611398814708,126.98008760399804,201.31644047530665,4.571150999153362,False,133.60038860118527,-6.399611398814708,4.571150999153362
4,LINEAR,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_140g_20260907_101440_426869\view_distribution_capture.json,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_140g_20260907_101440_426869\view_distribution_capture.json,1,FSR2,200,140.0,438.0717951627798,g,g,256,0,True,,298.07179516277984,298.07179516277984,352.2067086157951,656.7570507904985,212.9084251162713,False,438.0717951627798,298.07179516277984,212.9084251162713
4,GAMMA,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_140g_20260907_101440_426869\view_distribution_capture.json,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_140g_20260907_101440_426869\view_distribution_capture.json,1,FSR2,200,140.0,27.808283290085495,g,g,256,0,True,,-112.19171670991452,112.19171670991452,154.62160687363948,268.8310378328434,80.1369405070818,False,27.808283290085495,-112.19171670991452,80.1369405070818
4,FIT_PRESS,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_140g_20260907_101440_426869\view_distribution_capture.json,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_140g_20260907_101440_426869\view_distribution_capture.json,1,FSR2,200,140.0,198.6157727974741,g,g,256,0,True,,58.615772797474115,58.615772797474115,75.44373225653676,183.0717558948903,41.868409141052936,False,198.6157727974741,58.615772797474115,41.868409141052936
4,GLOBAL_LUT,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_140g_20260907_101440_426869\view_distribution_capture.json,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_140g_20260907_101440_426869\view_distribution_capture.json,1,FSR2,200,140.0,172.76237479061533,g,g,256,0,True,,32.762374790615304,32.762374790615304,149.26065397467602,327.8754203139577,23.40169627901093,False,172.76237479061533,32.762374790615304,23.40169627901093
5,LINEAR,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_212g_20260907_101500_336732\view_distribution_capture.json,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_212g_20260907_101500_336732\view_distribution_capture.json,1,FSR2,200,212.0,663.1819336151793,g,g,256,0,True,,451.18193361517945,451.18193361517945,503.2958475487378,812.0527918011913,212.82166679961296,False,663.1819336151793,451.18193361517945,212.82166679961296
5,GAMMA,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_212g_20260907_101500_336732\view_distribution_capture.json,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_212g_20260907_101500_336732\view_distribution_capture.json,1,FSR2,200,212.0,41.44751057176286,g,g,256,0,True,,-170.55248942823712,170.55248942823712,220.271097078521,349.7095859961621,80.44928746614958,False,41.44751057176286,-170.55248942823712,80.44928746614958
5,FIT_PRESS,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_212g_20260907_101500_336732\view_distribution_capture.json,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_212g_20260907_101500_336732\view_distribution_capture.json,1,FSR2,200,212.0,247.98675343477203,g,g,256,0,True,,35.98675343477201,35.98675343477201,75.35790012595784,279.5816729339124,16.974883695647176,False,247.98675343477203,35.98675343477201,16.974883695647176
5,GLOBAL_LUT,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_212g_20260907_101500_336732\view_distribution_capture.json,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_212g_20260907_101500_336732\view_distribution_capture.json,1,FSR2,200,212.0,238.63129962470398,g,g,256,0,True,,26.631299624704006,26.631299624704006,168.5348089329016,356.4689842824945,12.56193378523774,False,238.63129962470398,26.631299624704006,12.56193378523774
6,LINEAR,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_284g_20260907_101518_808456\view_distribution_capture.json,D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_284g_20260907_101518_808456\view_distribution_capture.json,1,FSR2,200,284.0,935.9637261439794,g,g,256,0,True,,651.9637261439794,651.9637261439794,719.6460104745673,1047.2145233333883,229.5646923042181,False,935.9637261439794,651.9637261439794,229.5646923042181
