row,column,in_common_mask,adc,low_g,high_g,width_g,midpoint_g,half_width_g,merged_knots,touches_zero,touches_upper
1,1,True,3.75,73.0,142.0,69.0,107.5,34.5,1,False,False
1,7,True,322.6666666666667,215.0,359.0,144.0,287.0,72.0,2,False,False
1,8,True,212.0,0.0,142.0,142.0,71.0,71.0,2,True,False
1,9,True,277.3333333333333,0.0,142.0,142.0,71.0,71.0,2,True,False
1,9,True,424.0,215.0,287.0,72.0,251.0,36.0,1,False,False
1,13,True,1.5,73.0,142.0,69.0,107.5,34.5,1,False,False
1,16,True,1.0,0.0,73.0,73.0,36.5,36.5,1,True,False
2,1,True,1.5,0.0,73.0,73.0,36.5,36.5,1,True,False
2,1,True,2.0,142.0,359.0,217.0,250.5,108.5,3,False,False
2,5,True,60.5,142.0,215.0,73.0,178.5,36.5,1,False,False
2,7,True,555.25,142.0,359.0,217.0,250.5,108.5,3,False,False
2,8,True,274.5,0.0,73.0,73.0,36.5,36.5,1,True,False
2,9,True,294.6666666666667,0.0,142.0,142.0,71.0,71.0,2,True,False
2,9,True,446.5,215.0,287.0,72.0,251.0,36.0,1,False,False
2,13,True,1.3333333333333333,73.0,215.0,142.0,144.0,71.0,2,False,False
2,16,True,1.0,73.0,142.0,69.0,107.5,34.5,1,False,False
3,1,True,3.0,0.0,73.0,73.0,36.5,36.5,1,True,False
3,1,True,4.5,142.0,359.0,217.0,250.5,108.5,3,False,False
3,1,True,247.0,1145.0,1213.0,68.0,1179.0,34.0,1,False,False
3,5,True,72.0,142.0,215.0,73.0,178.5,36.5,1,False,False
3,7,True,511.5,215.0,287.0,72.0,251.0,36.0,1,False,False
3,13,True,2.25,142.0,215.0,73.0,178.5,36.5,1,False,False
3,16,True,1.0,73.0,142.0,69.0,107.5,34.5,1,False,False
4,1,True,3.3333333333333335,142.0,287.0,145.0,214.5,72.5,2,False,False
4,9,True,226.0,0.0,73.0,73.0,36.5,36.5,1,True,False
4,13,True,2.0,73.0,215.0,142.0,144.0,71.0,2,False,False
4,16,True,1.0,0.0,142.0,142.0,71.0,71.0,2,True,False
5,1,True,1.0,0.0,73.0,73.0,36.5,36.5,1,True,False
5,1,True,1.5,142.0,215.0,73.0,178.5,36.5,1,False,False
5,1,True,3.0,287.0,359.0,72.0,323.0,36.0,1,False,False
5,3,True,10.0,142.0,215.0,73.0,178.5,36.5,1,False,False
5,4,True,377.0,429.0,496.0,67.0,462.5,33.5,1,False,False
5,12,True,1.0,0.0,73.0,73.0,36.5,36.5,1,True,False
5,13,True,1.0,0.0,215.0,215.0,107.5,107.5,3,True,False
5,15,True,1.0,0.0,73.0,73.0,36.5,36.5,1,True,False
5,16,True,1.0,73.0,142.0,69.0,107.5,34.5,1,False,False
6,1,True,0.0,0.0,215.0,215.0,107.5,107.5,3,True,False
6,1,True,0.5,287.0,359.0,72.0,323.0,36.0,1,False,False
6,5,True,79.0,142.0,215.0,73.0,178.5,36.5,1,False,False
6,11,True,1005.0,712.0,778.0,66.0,745.0,33.0,1,False,False
6,13,True,2.6666666666666665,73.0,215.0,142.0,144.0,71.0,2,False,False
6,16,True,2.0,73.0,142.0,69.0,107.5,34.5,1,False,False
7,1,True,0.5,73.0,429.0,356.0,251.0,178.0,5,False,False
7,1,True,257.0,1145.0,1213.0,68.0,1179.0,34.0,1,False,False
7,6,True,290.5,287.0,359.0,72.0,323.0,36.0,1,False,False
7,7,True,131.5,0.0,73.0,73.0,36.5,36.5,1,True,False
7,8,True,325.0,0.0,73.0,73.0,36.5,36.5,1,True,False
7,9,True,86.5,0.0,73.0,73.0,36.5,36.5,1,True,False
7,10,True,935.5,359.0,429.0,70.0,394.0,35.0,1,False,False
7,13,True,3.5,142.0,215.0,73.0,178.5,36.5,1,False,False
7,16,True,1.0,0.0,73.0,73.0,36.5,36.5,1,True,False
8,1,True,2.6666666666666665,0.0,142.0,142.0,71.0,71.0,2,True,False
8,1,True,3.0,215.0,359.0,144.0,287.0,72.0,2,False,False
8,4,True,17.5,0.0,73.0,73.0,36.5,36.5,1,True,False
8,7,True,184.5,0.0,73.0,73.0,36.5,36.5,1,True,False
8,8,True,320.0,0.0,142.0,142.0,71.0,71.0,2,True,False
8,9,True,101.25,0.0,73.0,73.0,36.5,36.5,1,True,False
8,12,True,1.0,0.0,73.0,73.0,36.5,36.5,1,True,False
8,13,True,1.0,0.0,73.0,73.0,36.5,36.5,1,True,False
8,13,True,2.0,142.0,215.0,73.0,178.5,36.5,1,False,False
8,13,True,648.5,921.0,994.0,73.0,957.5,36.5,1,False,False
8,15,True,1.0,0.0,73.0,73.0,36.5,36.5,1,True,False
8,16,True,1.0,73.0,142.0,69.0,107.5,34.5,1,False,False
9,1,True,0.0,0.0,73.0,73.0,36.5,36.5,1,True,False
9,1,True,1.9,142.0,429.0,287.0,285.5,143.5,4,False,False
9,4,True,16.0,0.0,73.0,73.0,36.5,36.5,1,True,False
9,6,True,15.75,0.0,73.0,73.0,36.5,36.5,1,True,False
