row,column,in_common_mask,adc,low_g,high_g,width_g,midpoint_g,half_width_g,merged_knots,touches_zero,touches_upper
3,4,True,1318.3333333333333,570.0,713.0,143.0,641.5,71.5,2,False,False
3,4,True,1427.25,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
3,5,True,1424.5,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
3,6,True,1432.0,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
3,7,True,1441.75,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
3,8,True,47.5,0.0,73.0,73.0,36.5,36.5,1,True,False
3,8,True,796.1666666666666,143.0,288.0,145.0,215.5,72.5,2,False,False
3,8,True,1445.5,994.0,1061.0,67.0,1027.5,33.5,1,False,False
3,8,True,1449.5,1213.0,1282.0,69.0,1247.5,34.5,1,False,False
3,8,True,1452.75,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
3,9,True,1448.0,994.0,1145.0,151.0,1069.5,75.5,2,False,False
3,9,True,1456.6666666666667,1932.0,5000.0,3068.0,3466.0,1534.0,2,False,True
3,10,True,1444.625,921.0,1145.0,224.0,1033.0,112.0,3,False,False
3,10,True,1451.5,1932.0,5000.0,3068.0,3466.0,1534.0,2,False,True
3,11,True,1439.5,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
3,12,True,1034.5,216.0,288.0,72.0,252.0,36.0,1,False,False
3,12,True,1431.5,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
3,13,True,32.0,216.0,288.0,72.0,252.0,36.0,1,False,False
3,13,True,866.6666666666666,430.0,570.0,140.0,500.0,70.0,2,False,False
3,13,True,1103.1666666666667,713.0,850.0,137.0,781.5,68.5,2,False,False
3,13,True,1180.75,921.0,994.0,73.0,957.5,36.5,1,False,False
3,13,True,1332.5,1145.0,1282.0,137.0,1213.5,68.5,2,False,False
3,15,True,1424.0,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
3,16,True,216.8,143.0,430.0,287.0,286.5,143.5,4,False,False
4,1,True,2.0,0.0,73.0,73.0,36.5,36.5,1,True,False
4,1,True,1355.25,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
4,2,True,5.5,0.0,73.0,73.0,36.5,36.5,1,True,False
4,2,True,1393.0,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
4,3,True,3.5,0.0,73.0,73.0,36.5,36.5,1,True,False
4,3,True,1411.5,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
4,4,True,241.5,73.0,143.0,70.0,108.0,35.0,1,False,False
4,4,True,1375.25,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
4,5,True,1376.0,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
4,6,True,1380.25,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
4,7,True,1399.0,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
4,8,True,27.75,0.0,73.0,73.0,36.5,36.5,1,True,False
4,8,True,507.0,216.0,288.0,72.0,252.0,36.0,1,False,False
4,8,True,1368.75,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
4,9,True,1381.0,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
4,11,True,215.5,0.0,73.0,73.0,36.5,36.5,1,True,False
4,11,True,1370.75,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
4,12,True,692.5,216.0,288.0,72.0,252.0,36.0,1,False,False
4,12,True,1376.25,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
4,13,True,11.0,0.0,73.0,73.0,36.5,36.5,1,True,False
4,13,True,21.5,216.0,288.0,72.0,252.0,36.0,1,False,False
4,13,True,591.1666666666666,430.0,570.0,140.0,500.0,70.0,2,False,False
4,13,True,796.0,713.0,778.0,65.0,745.5,32.5,1,False,False
4,13,True,1075.5,1145.0,1213.0,68.0,1179.0,34.0,1,False,False
4,16,True,115.0,0.0,73.0,73.0,36.5,36.5,1,True,False
4,16,True,195.75,216.0,430.0,214.0,323.0,107.0,3,False,False
5,1,True,5.0,0.0,73.0,73.0,36.5,36.5,1,True,False
5,1,True,1398.5,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
5,2,True,1.0,0.0,73.0,73.0,36.5,36.5,1,True,False
5,3,True,1.0,0.0,73.0,73.0,36.5,36.5,1,True,False
5,3,True,1355.5,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
5,4,True,113.33333333333333,73.0,216.0,143.0,144.5,71.5,2,False,False
5,4,True,1358.5,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
5,5,True,116.0,73.0,143.0,70.0,108.0,35.0,1,False,False
5,6,True,121.66666666666667,0.0,143.0,143.0,71.5,71.5,2,True,False
5,7,True,93.0,73.0,143.0,70.0,108.0,35.0,1,False,False
5,7,True,1358.0,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
5,8,True,15.5,0.0,73.0,73.0,36.5,36.5,1,True,False
5,8,True,1367.5,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
5,9,True,90.0,73.0,143.0,70.0,108.0,35.0,1,False,False
5,9,True,1367.0,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
5,10,True,108.5,73.0,143.0,70.0,108.0,35.0,1,False,False
5,10,True,1377.5,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
5,11,True,90.5,73.0,143.0,70.0,108.0,35.0,1,False,False
5,12,True,119.5,73.0,143.0,70.0,108.0,35.0,1,False,False
5,12,True,1368.0,3000.0,5000.0,2000.0,4000.0,1000.0,1,False,True
5,13,True,4.0,73.0,216.0,143.0,144.5,71.5,2,False,False
5,13,True,429.0,497.0,570.0,73.0,533.5,36.5,1,False,False
5,14,True,106.0,73.0,143.0,70.0,108.0,35.0,1,False,False
5,15,True,119.5,73.0,143.0,70.0,108.0,35.0,1,False,False
5,16,True,30.5,73.0,143.0,70.0,108.0,35.0,1,False,False
6,1,True,3.0,0.0,73.0,73.0,36.5,36.5,1,True,False
6,2,True,1.0,0.0,73.0,73.0,36.5,36.5,1,True,False
6,3,True,1.0,0.0,73.0,73.0,36.5,36.5,1,True,False
6,4,True,463.0,73.0,216.0,143.0,144.5,71.5,2,False,False
6,5,True,505.25,73.0,143.0,70.0,108.0,35.0,1,False,False
6,6,True,469.0,73.0,143.0,70.0,108.0,35.0,1,False,False
6,7,True,463.0,73.0,143.0,70.0,108.0,35.0,1,False,False
6,8,True,66.0,0.0,73.0,73.0,36.5,36.5,1,True,False
6,9,True,496.5,73.0,143.0,70.0,108.0,35.0,1,False,False
6,10,True,565.5,73.0,143.0,70.0,108.0,35.0,1,False,False
6,11,True,543.0,0.0,73.0,73.0,36.5,36.5,1,True,False
6,12,True,755.0,0.0,216.0,216.0,108.0,108.0,3,True,False
6,12,True,1446.888888888889,921.0,5000.0,4079.0,2960.5,2039.5,8,False,True
6,13,True,22.25,0.0,216.0,216.0,108.0,108.0,3,True,False
6,13,True,680.8333333333334,430.0,570.0,140.0,500.0,70.0,2,False,False
6,13,True,989.3333333333334,713.0,850.0,137.0,781.5,68.5,2,False,False
6,13,True,1208.5,1145.0,1213.0,68.0,1179.0,34.0,1,False,False
6,14,True,1136.75,0.0,216.0,216.0,108.0,108.0,3,True,False
6,14,True,1200.0,360.0,430.0,70.0,395.0,35.0,1,False,False
6,14,True,1244.0,570.0,713.0,143.0,641.5,71.5,2,False,False
6,14,True,1258.5,850.0,921.0,71.0,885.5,35.5,1,False,False
6,15,False,1455.0454545454545,0.0,5000.0,5000.0,2500.0,2500.0,21,True,True
6,16,True,328.57142857142856,0.0,430.0,430.0,215.0,215.0,6,True,False
7,1,True,13.5,0.0,73.0,73.0,36.5,36.5,1,True,False
7,1,True,701.5,570.0,640.0,70.0,605.0,35.0,1,False,False
7,2,True,1.25,0.0,73.0,73.0,36.5,36.5,1,True,False
7,2,True,771.0,570.0,713.0,143.0,641.5,71.5,2,False,False
7,3,True,1.0,0.0,73.0,73.0,36.5,36.5,1,True,False
7,3,True,767.0,570.0,640.0,70.0,605.0,35.0,1,False,False
7,4,True,417.0,73.0,216.0,143.0,144.5,71.5,2,False,False
7,5,True,762.0,570.0,640.0,70.0,605.0,35.0,1,False,False
7,6,True,984.25,640.0,850.0,210.0,745.0,105.0,3,False,False
7,7,True,672.5,570.0,640.0,70.0,605.0,35.0,1,False,False
7,8,True,56.0,0.0,73.0,73.0,36.5,36.5,1,True,False
7,8,True,416.0,216.0,288.0,72.0,252.0,36.0,1,False,False
7,8,True,673.0,570.0,640.0,70.0,605.0,35.0,1,False,False
7,9,True,682.5,570.0,640.0,70.0,605.0,35.0,1,False,False
7,10,True,674.5,570.0,640.0,70.0,605.0,35.0,1,False,False
7,11,True,468.5,0.0,73.0,73.0,36.5,36.5,1,True,False
7,11,True,677.5,570.0,640.0,70.0,605.0,35.0,1,False,False
7,12,True,648.5,73.0,288.0,215.0,180.5,107.5,3,False,False
7,12,True,663.0,360.0,430.0,70.0,395.0,35.0,1,False,False
7,12,True,725.0,570.0,640.0,70.0,605.0,35.0,1,False,False
7,13,True,19.25,73.0,288.0,215.0,180.5,107.5,3,False,False
7,13,True,442.0,430.0,570.0,140.0,500.0,70.0,2,False,False
7,14,True,750.8,0.0,288.0,288.0,144.0,144.0,4,True,False
7,14,True,761.5,360.0,430.0,70.0,395.0,35.0,1,False,False
7,14,True,768.625,497.0,713.0,216.0,605.0,108.0,3,False,False
7,15,True,772.0,73.0,143.0,70.0,108.0,35.0,1,False,False
7,15,True,772.1111111111111,216.0,778.0,562.0,497.0,281.0,8,False,False
7,16,True,223.14285714285714,0.0,430.0,430.0,215.0,215.0,6,True,False
7,16,True,262.0,497.0,570.0,73.0,533.5,36.5,1,False,False
8,1,True,10.0,0.0,73.0,73.0,36.5,36.5,1,True,False
8,2,True,1.0,0.0,73.0,73.0,36.5,36.5,1,True,False
8,2,True,823.5,360.0,430.0,70.0,395.0,35.0,1,False,False
8,2,True,883.5,640.0,713.0,73.0,676.5,36.5,1,False,False
8,3,True,1.0,0.0,73.0,73.0,36.5,36.5,1,True,False
8,3,True,798.5,360.0,430.0,70.0,395.0,35.0,1,False,False
8,4,True,357.0,73.0,216.0,143.0,144.5,71.5,2,False,False
8,4,True,581.0,360.0,430.0,70.0,395.0,35.0,1,False,False
8,5,True,391.5,73.0,143.0,70.0,108.0,35.0,1,False,False
8,6,True,331.0,73.0,143.0,70.0,108.0,35.0,1,False,False
8,7,True,381.5,73.0,143.0,70.0,108.0,35.0,1,False,False
8,8,True,56.0,0.0,73.0,73.0,36.5,36.5,1,True,False
8,9,True,422.5,73.0,143.0,70.0,108.0,35.0,1,False,False
8,10,True,459.5,73.0,143.0,70.0,108.0,35.0,1,False,False
8,10,True,620.0,360.0,430.0,70.0,395.0,35.0,1,False,False
8,11,True,484.6666666666667,0.0,143.0,143.0,71.5,71.5,2,True,False
8,11,True,628.0,360.0,430.0,70.0,395.0,35.0,1,False,False
8,12,True,616.5,0.0,216.0,216.0,108.0,108.0,3,True,False
8,12,True,685.0,360.0,430.0,70.0,395.0,35.0,1,False,False
8,13,True,18.25,0.0,216.0,216.0,108.0,108.0,3,True,False
8,13,True,475.8333333333333,430.0,570.0,140.0,500.0,70.0,2,False,False
8,13,True,661.0,713.0,778.0,65.0,745.5,32.5,1,False,False
8,14,True,1001.5,0.0,778.0,778.0,389.0,389.0,11,True,False
8,15,True,936.9230769230769,0.0,850.0,850.0,425.0,425.0,12,True,False
8,16,True,321.0,0.0,430.0,430.0,215.0,215.0,6,True,False
8,16,True,340.5,497.0,570.0,73.0,533.5,36.5,1,False,False
9,1,True,14.0,0.0,73.0,73.0,36.5,36.5,1,True,False
9,2,True,1.25,0.0,73.0,73.0,36.5,36.5,1,True,False
9,2,True,689.0,360.0,430.0,70.0,395.0,35.0,1,False,False
9,2,True,746.0,570.0,640.0,70.0,605.0,35.0,1,False,False
9,3,True,0.5,0.0,73.0,73.0,36.5,36.5,1,True,False
9,3,True,645.5,360.0,430.0,70.0,395.0,35.0,1,False,False
9,3,True,722.5,570.0,640.0,70.0,605.0,35.0,1,False,False
9,4,True,344.6666666666667,73.0,216.0,143.0,144.5,71.5,2,False,False
9,5,True,374.0,73.0,143.0,70.0,108.0,35.0,1,False,False
9,6,True,305.0,73.0,143.0,70.0,108.0,35.0,1,False,False
9,7,True,344.0,73.0,143.0,70.0,108.0,35.0,1,False,False
9,7,True,568.5,570.0,640.0,70.0,605.0,35.0,1,False,False
9,8,True,47.5,0.0,73.0,73.0,36.5,36.5,1,True,False
9,8,True,289.5,216.0,288.0,72.0,252.0,36.0,1,False,False
9,8,True,569.75,570.0,640.0,70.0,605.0,35.0,1,False,False
9,9,True,371.5,73.0,143.0,70.0,108.0,35.0,1,False,False
9,9,True,588.5,570.0,640.0,70.0,605.0,35.0,1,False,False
9,10,True,383.0,73.0,143.0,70.0,108.0,35.0,1,False,False
9,10,True,579.0,570.0,640.0,70.0,605.0,35.0,1,False,False
9,11,True,443.1,0.0,288.0,288.0,144.0,144.0,4,True,False
9,11,True,502.0,360.0,430.0,70.0,395.0,35.0,1,False,False
9,11,True,606.0,570.0,640.0,70.0,605.0,35.0,1,False,False
9,12,True,485.2,0.0,288.0,288.0,144.0,144.0,4,True,False
9,12,True,519.5,360.0,430.0,70.0,395.0,35.0,1,False,False
9,12,True,615.0,570.0,640.0,70.0,605.0,35.0,1,False,False
9,13,True,14.4,0.0,288.0,288.0,144.0,144.0,4,True,False
9,13,True,362.3333333333333,430.0,570.0,140.0,500.0,70.0,2,False,False
9,14,True,550.6666666666666,0.0,143.0,143.0,71.5,71.5,2,True,False
9,14,True,610.5,360.0,430.0,70.0,395.0,35.0,1,False,False
9,14,True,684.5,570.0,640.0,70.0,605.0,35.0,1,False,False
9,15,True,527.0,0.0,143.0,143.0,71.5,71.5,2,True,False
9,15,True,598.5,360.0,430.0,70.0,395.0,35.0,1,False,False
9,15,True,649.25,570.0,640.0,70.0,605.0,35.0,1,False,False
9,16,True,178.42857142857142,0.0,430.0,430.0,215.0,215.0,6,True,False
10,1,True,8.5,0.0,73.0,73.0,36.5,36.5,1,True,False
10,1,True,404.5,288.0,360.0,72.0,324.0,36.0,1,False,False
10,2,True,1.0,0.0,73.0,73.0,36.5,36.5,1,True,False
10,3,True,788.0,288.0,360.0,72.0,324.0,36.0,1,False,False
10,4,True,454.3333333333333,73.0,216.0,143.0,144.5,71.5,2,False,False
10,5,True,797.5,216.0,288.0,72.0,252.0,36.0,1,False,False
10,8,True,80.0,0.0,73.0,73.0,36.5,36.5,1,True,False
10,8,True,378.75,216.0,288.0,72.0,252.0,36.0,1,False,False
10,9,True,634.3333333333334,0.0,360.0,360.0,180.0,180.0,5,True,False
10,10,True,551.3333333333334,73.0,216.0,143.0,144.5,71.5,2,False,False
