load_g,method,metric,mean,sd,n
140.0,GLOBAL_LUT,std,340.64077973349555,,1
140.0,GLOBAL_LUT,cv_percent,265.86772837923013,,1
140.0,GLOBAL_LUT,mad,42.78124871467939,,1
140.0,GLOBAL_LUT,variance,116036.14081744383,,1
140.0,GLOBAL_LUT,iqr,186.81821097647898,,1
140.0,GLOBAL_LUT,mean_estimate_absolute_percentage_error,8.482746608598712,,1
213.0,LINEAR,mean,764.7529561142534,,1
213.0,LINEAR,bias_g,551.7529561142533,,1
213.0,LINEAR,mae_g,679.6123313220706,,1
213.0,LINEAR,rmse_g,941.4600799978618,,1
213.0,LINEAR,std,762.8340302115286,,1
213.0,LINEAR,cv_percent,99.74907898199244,,1
213.0,LINEAR,mad,606.3677313677314,,1
213.0,LINEAR,variance,581915.7576487632,,1
213.0,LINEAR,iqr,1268.4958427316262,,1
213.0,LINEAR,mean_estimate_absolute_percentage_error,259.03894653251325,,1
213.0,GAMMA,mean,47.48644080282016,,1
213.0,GAMMA,bias_g,-165.51355919717983,,1
213.0,GAMMA,mae_g,210.76130368637382,,1
213.0,GAMMA,rmse_g,359.02910698828094,,1
213.0,GAMMA,std,318.60188540980755,,1
213.0,GAMMA,cv_percent,670.9323335744425,,1
213.0,GAMMA,mad,1.1065671760202618,,1
213.0,GAMMA,variance,101507.16138668414,,1
213.0,GAMMA,iqr,22.52331552439748,,1
213.0,GAMMA,mean_estimate_absolute_percentage_error,77.70589633670414,,1
213.0,FIT_PRESS,mean,172.2511468522794,,1
213.0,FIT_PRESS,bias_g,-40.74885314772064,,1
213.0,FIT_PRESS,mae_g,108.92997059212226,,1
213.0,FIT_PRESS,rmse_g,318.13279463473697,,1
213.0,FIT_PRESS,std,315.51229134417764,,1
213.0,FIT_PRESS,cv_percent,183.16992200624207,,1
213.0,FIT_PRESS,mad,44.4229384186805,,1
213.0,FIT_PRESS,variance,99548.00598925323,,1
213.0,FIT_PRESS,iqr,84.11792518834866,,1
213.0,FIT_PRESS,mean_estimate_absolute_percentage_error,19.130916970760865,,1
213.0,GLOBAL_LUT,mean,185.1412190316873,,1
213.0,GLOBAL_LUT,bias_g,-27.858780968312676,,1
213.0,GLOBAL_LUT,mae_g,169.92541698729764,,1
213.0,GLOBAL_LUT,rmse_g,349.5299766975393,,1
213.0,GLOBAL_LUT,std,348.4179859495517,,1
213.0,GLOBAL_LUT,cv_percent,188.19039205414282,,1
213.0,GLOBAL_LUT,mad,142.8115268358353,,1
213.0,GLOBAL_LUT,variance,121395.09293314199,,1
213.0,GLOBAL_LUT,iqr,288.94601767970346,,1
213.0,GLOBAL_LUT,mean_estimate_absolute_percentage_error,13.079239891226607,,1
284.0,LINEAR,mean,1052.1842466427854,,1
284.0,LINEAR,bias_g,768.1842466427855,,1
284.0,LINEAR,mae_g,916.1391833091695,,1
284.0,LINEAR,rmse_g,1200.911935235313,,1
284.0,LINEAR,std,923.0831161929465,,1
284.0,LINEAR,cv_percent,87.73017835405128,,1
284.0,LINEAR,mad,782.3154967385009,,1
284.0,LINEAR,variance,852082.4394004807,,1
284.0,LINEAR,iqr,1619.033762354866,,1
284.0,LINEAR,mean_estimate_absolute_percentage_error,270.48741078971324,,1
284.0,GAMMA,mean,91.4215820654541,,1
284.0,GAMMA,bias_g,-192.5784179345459,,1
284.0,GAMMA,mae_g,266.450121108323,,1
284.0,GAMMA,rmse_g,379.73753379839735,,1
284.0,GAMMA,std,327.2829777442089,,1
284.0,GAMMA,cv_percent,357.99312410704914,,1
284.0,GAMMA,mad,8.044137826358178,,1
284.0,GAMMA,variance,107114.14752111633,,1
284.0,GAMMA,iqr,68.96862266375467,,1
284.0,GAMMA,mean_estimate_absolute_percentage_error,67.80930208962884,,1
284.0,FIT_PRESS,mean,229.0175997313706,,1
284.0,FIT_PRESS,bias_g,-54.982400268629405,,1
284.0,FIT_PRESS,mae_g,104.06007910160203,,1
284.0,FIT_PRESS,rmse_g,252.7361941414956,,1
284.0,FIT_PRESS,std,246.68303445885368,,1
284.0,FIT_PRESS,cv_percent,107.713570812114,,1
284.0,FIT_PRESS,mad,52.49690916075858,,1
284.0,FIT_PRESS,variance,60852.519489827995,,1
284.0,FIT_PRESS,iqr,110.35778165816862,,1
284.0,FIT_PRESS,mean_estimate_absolute_percentage_error,19.360000094587818,,1
284.0,GLOBAL_LUT,mean,241.21259634403447,,1
284.0,GLOBAL_LUT,bias_g,-42.78740365596555,,1
284.0,GLOBAL_LUT,mae_g,188.66474616480426,,1
284.0,GLOBAL_LUT,rmse_g,361.37225625230633,,1
284.0,GLOBAL_LUT,std,358.83024632444796,,1
284.0,GLOBAL_LUT,cv_percent,148.76098999931946,,1
284.0,GLOBAL_LUT,mad,163.65924558371302,,1
284.0,GLOBAL_LUT,variance,128759.145677264,,1
284.0,GLOBAL_LUT,iqr,333.63350998807925,,1
284.0,GLOBAL_LUT,mean_estimate_absolute_percentage_error,15.06598720280477,,1
352.0,LINEAR,mean,1408.9856359335452,,1
352.0,LINEAR,bias_g,1056.9856359335452,,1
352.0,LINEAR,mae_g,1190.350913929822,,1
352.0,LINEAR,rmse_g,1481.821168725966,,1
352.0,LINEAR,std,1038.5448192131846,,1
352.0,LINEAR,cv_percent,73.70868749311846,,1
352.0,LINEAR,mad,767.902489983941,,1
352.0,LINEAR,variance,1078575.3415145462,,1
352.0,LINEAR,iqr,1643.0474304768518,,1
352.0,LINEAR,mean_estimate_absolute_percentage_error,300.28001020839355,,1
352.0,GAMMA,mean,171.7635456991026,,1
352.0,GAMMA,bias_g,-180.2364543008974,,1
352.0,GAMMA,mae_g,323.42557958497736,,1
352.0,GAMMA,rmse_g,400.8379747041311,,1
352.0,GAMMA,std,358.0305887853022,,1
352.0,GAMMA,cv_percent,208.44387400601545,,1
352.0,GAMMA,mad,32.70443306130788,,1
352.0,GAMMA,variance,128185.90250595016,,1
352.0,GAMMA,iqr,171.36458201580473,,1
352.0,GAMMA,mean_estimate_absolute_percentage_error,51.20353815366404,,1
352.0,FIT_PRESS,mean,277.3705640579585,,1
352.0,FIT_PRESS,bias_g,-74.62943594204151,,1
352.0,FIT_PRESS,mae_g,93.07834202679086,,1
352.0,FIT_PRESS,rmse_g,128.79949994266107,,1
352.0,FIT_PRESS,std,104.9750373967653,,1
352.0,FIT_PRESS,cv_percent,37.846495266466,,1
352.0,FIT_PRESS,mad,46.78031496062988,,1
352.0,FIT_PRESS,variance,11019.758476452274,,1
352.0,FIT_PRESS,iqr,112.893023255814,,1
352.0,FIT_PRESS,mean_estimate_absolute_percentage_error,21.20154430171634,,1
352.0,GLOBAL_LUT,mean,304.1608756294118,,1
352.0,GLOBAL_LUT,bias_g,-47.83912437058822,,1
352.0,GLOBAL_LUT,mae_g,199.3315747360618,,1
352.0,GLOBAL_LUT,rmse_g,278.8703770694274,,1
352.0,GLOBAL_LUT,std,274.7364289392653,,1
352.0,GLOBAL_LUT,cv_percent,90.32602512428419,,1
352.0,GLOBAL_LUT,mad,161.49702462291054,,1
352.0,GLOBAL_LUT,variance,75480.10538629997,,1
352.0,GLOBAL_LUT,iqr,339.4261180000937,,1
352.0,GLOBAL_LUT,mean_estimate_absolute_percentage_error,13.590660332553473,,1
421.0,LINEAR,mean,1713.7861357010875,,1
421.0,LINEAR,bias_g,1292.7861357010875,,1
421.0,LINEAR,mae_g,1442.270164509738,,1
421.0,LINEAR,rmse_g,1726.764039497103,,1
421.0,LINEAR,std,1144.7349280245635,,1
421.0,LINEAR,cv_percent,66.79566978503227,,1
421.0,LINEAR,mad,853.0077066729793,,1
421.0,LINEAR,variance,1310418.0554394026,,1
421.0,LINEAR,iqr,1797.6923417924409,,1
421.0,LINEAR,mean_estimate_absolute_percentage_error,307.07509161546017,,1
421.0,GAMMA,mean,283.82180498283594,,1
421.0,GAMMA,bias_g,-137.17819501716406,,1
421.0,GAMMA,mae_g,387.2649775345522,,1
421.0,GAMMA,rmse_g,498.13535206358694,,1
421.0,GAMMA,std,478.8746931999504,,1
421.0,GAMMA,cv_percent,168.72371494815567,,1
421.0,GAMMA,mad,82.42486941649219,,1
421.0,GAMMA,variance,229320.9717873466,,1
421.0,GAMMA,iqr,355.9214991731348,,1
421.0,GAMMA,mean_estimate_absolute_percentage_error,32.58389430336439,,1
421.0,FIT_PRESS,mean,336.93644648229036,,1
421.0,FIT_PRESS,bias_g,-84.06355351770962,,1
421.0,FIT_PRESS,mae_g,99.76189653770832,,1
421.0,FIT_PRESS,rmse_g,134.18474531168602,,1
421.0,FIT_PRESS,std,104.5890283172055,,1
421.0,FIT_PRESS,cv_percent,31.04117390954403,,1
421.0,FIT_PRESS,mad,57.355001805706024,,1
421.0,FIT_PRESS,variance,10938.864844337215,,1
421.0,FIT_PRESS,iqr,128.08099977881,,1
421.0,FIT_PRESS,mean_estimate_absolute_percentage_error,19.967589909194686,,1
421.0,GLOBAL_LUT,mean,375.1686898584596,,1
421.0,GLOBAL_LUT,bias_g,-45.83131014154041,,1
421.0,GLOBAL_LUT,mae_g,214.11888946097332,,1
421.0,GLOBAL_LUT,rmse_g,285.5088892311214,,1
421.0,GLOBAL_LUT,std,281.8063463456752,,1
421.0,GLOBAL_LUT,cv_percent,75.11456951591367,,1
421.0,GLOBAL_LUT,mad,143.06276657084354,,1
421.0,GLOBAL_LUT,variance,79414.81684069864,,1
421.0,GLOBAL_LUT,iqr,290.78487899736035,,1
421.0,GLOBAL_LUT,mean_estimate_absolute_percentage_error,10.886296945734065,,1
489.0,LINEAR,mean,1994.7860867975462,,1
489.0,LINEAR,bias_g,1505.7860867975462,,1
489.0,LINEAR,mae_g,1625.7398874287974,,1
489.0,LINEAR,rmse_g,1869.9106621370706,,1
489.0,LINEAR,std,1108.681264016322,,1
489.0,LINEAR,cv_percent,55.57895512476791,,1
489.0,LINEAR,mad,723.2032080822407,,1
489.0,LINEAR,variance,1229174.1451808296,,1
489.0,LINEAR,iqr,1524.4962555777497,,1
489.0,LINEAR,mean_estimate_absolute_percentage_error,307.93171509152273,,1
489.0,GAMMA,mean,377.7649899375221,,1
489.0,GAMMA,bias_g,-111.23501006247793,,1
489.0,GAMMA,mae_g,444.2530060653808,,1
489.0,GAMMA,rmse_g,615.308668613415,,1
489.0,GAMMA,std,605.1706620509735,,1
489.0,GAMMA,cv_percent,160.19765678949278,,1
489.0,GAMMA,mad,133.79802814574967,,1
489.0,GAMMA,variance,366231.5302072136,,1
489.0,GAMMA,iqr,498.96596765788075,,1
489.0,GAMMA,mean_estimate_absolute_percentage_error,22.747445820547632,,1
489.0,FIT_PRESS,mean,378.7939201809686,,1
489.0,FIT_PRESS,bias_g,-110.20607981903144,,1
489.0,FIT_PRESS,mae_g,121.36176178857094,,1
489.0,FIT_PRESS,rmse_g,162.6807574026508,,1
489.0,FIT_PRESS,std,119.66473498914121,,1
489.0,FIT_PRESS,cv_percent,31.590986183720016,,1
489.0,FIT_PRESS,mad,65.92709529276698,,1
489.0,FIT_PRESS,variance,14319.648800021396,,1
489.0,FIT_PRESS,iqr,146.40696392413258,,1
489.0,FIT_PRESS,mean_estimate_absolute_percentage_error,22.537030637838743,,1
489.0,GLOBAL_LUT,mean,441.4870655496648,,1
489.0,GLOBAL_LUT,bias_g,-47.5129344503352,,1
489.0,GLOBAL_LUT,mae_g,222.71345043167287,,1
489.0,GLOBAL_LUT,rmse_g,302.3685958761954,,1
489.0,GLOBAL_LUT,std,298.61227173721466,,1
489.0,GLOBAL_LUT,cv_percent,67.63783019677673,,1
489.0,GLOBAL_LUT,mad,144.2842178538291,,1
489.0,GLOBAL_LUT,variance,89169.28883206012,,1
489.0,GLOBAL_LUT,iqr,275.0348920398135,,1
489.0,GLOBAL_LUT,mean_estimate_absolute_percentage_error,9.716346513360982,,1
560.0,LINEAR,mean,2278.325529077798,,1
560.0,LINEAR,bias_g,1718.325529077798,,1
560.0,LINEAR,mae_g,1794.1333313786795,,1
560.0,LINEAR,rmse_g,2048.6127852910004,,1
560.0,LINEAR,std,1115.4244574050083,,1
560.0,LINEAR,cv_percent,48.95808097521958,,1
560.0,LINEAR,mad,766.734217385806,,1
560.0,LINEAR,variance,1244171.7201772572,,1
560.0,LINEAR,iqr,1521.0426291509157,,1
560.0,LINEAR,mean_estimate_absolute_percentage_error,306.8438444781782,,1
560.0,GAMMA,mean,532.1631137242861,,1
560.0,GAMMA,bias_g,-27.83688627571393,,1
560.0,GAMMA,mae_g,524.8845257075075,,1
560.0,GAMMA,rmse_g,753.4019664509897,,1
560.0,GAMMA,std,752.887528661945,,1
560.0,GAMMA,cv_percent,141.47683468569306,,1
560.0,GAMMA,mad,226.8251081695553,,1
560.0,GAMMA,variance,566839.6308146911,,1
560.0,GAMMA,iqr,680.8123540047359,,1
560.0,GAMMA,mean_estimate_absolute_percentage_error,4.97087254923463,,1
560.0,FIT_PRESS,mean,448.5195827717942,,1
560.0,FIT_PRESS,bias_g,-111.48041722820581,,1
560.0,FIT_PRESS,mae_g,147.67536629487654,,1
560.0,FIT_PRESS,rmse_g,204.13175229291096,,1
560.0,FIT_PRESS,std,171.00259901182645,,1
560.0,FIT_PRESS,cv_percent,38.126005102174595,,1
560.0,FIT_PRESS,mad,62.029239766081844,,1
560.0,FIT_PRESS,variance,29241.888868799506,,1
560.0,FIT_PRESS,iqr,144.28449508607918,,1
560.0,FIT_PRESS,mean_estimate_absolute_percentage_error,19.90721736217961,,1
560.0,GLOBAL_LUT,mean,528.2896565400496,,1
560.0,GLOBAL_LUT,bias_g,-31.7103434599505,,1
560.0,GLOBAL_LUT,mae_g,261.05109347390874,,1
560.0,GLOBAL_LUT,rmse_g,383.9117340906711,,1
560.0,GLOBAL_LUT,std,382.5998872061492,,1
560.0,GLOBAL_LUT,cv_percent,72.42236952203973,,1
560.0,GLOBAL_LUT,mad,152.4866476182338,,1
560.0,GLOBAL_LUT,variance,146382.67369015812,,1
560.0,GLOBAL_LUT,iqr,310.1691296174481,,1
560.0,GLOBAL_LUT,mean_estimate_absolute_percentage_error,5.662561332134018,,1
630.0,LINEAR,mean,2547.5174952906773,,1
630.0,LINEAR,bias_g,1917.5174952906773,,1
630.0,LINEAR,mae_g,1968.7211298343614,,1
630.0,LINEAR,rmse_g,2228.245605726064,,1
630.0,LINEAR,std,1134.9912487291167,,1
630.0,LINEAR,cv_percent,44.5528343113346,,1
630.0,LINEAR,mad,771.7049082533333,,1
630.0,LINEAR,variance,1288205.1346916796,,1
630.0,LINEAR,iqr,1493.460432258497,,1
630.0,LINEAR,mean_estimate_absolute_percentage_error,304.3678563953456,,1
630.0,GAMMA,mean,731.9354325927682,,1
630.0,GAMMA,bias_g,101.93543259276814,,1
630.0,GAMMA,mae_g,625.5484360397267,,1
630.0,GAMMA,rmse_g,945.8714265496308,,1
630.0,GAMMA,std,940.3626551204375,,1
630.0,GAMMA,cv_percent,128.47617607325662,,1
630.0,GAMMA,mad,359.48969000890105,,1
630.0,GAMMA,variance,884281.9231451588,,1
630.0,GAMMA,iqr,908.3596032389474,,1
630.0,GAMMA,mean_estimate_absolute_percentage_error,16.180227395677484,,1
630.0,FIT_PRESS,mean,517.7383467109906,,1
630.0,FIT_PRESS,bias_g,-112.26165328900953,,1
630.0,FIT_PRESS,mae_g,167.18590737257,,1
630.0,FIT_PRESS,rmse_g,263.1635859053743,,1
630.0,FIT_PRESS,std,238.0176341101506,,1
630.0,FIT_PRESS,cv_percent,45.9725719800731,,1
630.0,FIT_PRESS,mad,85.96909817111623,,1
630.0,FIT_PRESS,variance,56652.39414739353,,1
630.0,FIT_PRESS,iqr,153.88506501625415,,1
630.0,FIT_PRESS,mean_estimate_absolute_percentage_error,17.819310045874527,,1
630.0,GLOBAL_LUT,mean,653.7481869887794,,1
630.0,GLOBAL_LUT,bias_g,23.748186988779317,,1
630.0,GLOBAL_LUT,mae_g,339.9532201940568,,1
630.0,GLOBAL_LUT,rmse_g,632.7338499148599,,1
630.0,GLOBAL_LUT,std,632.2880264901639,,1
630.0,GLOBAL_LUT,cv_percent,96.7173659635734,,1
630.0,GLOBAL_LUT,mad,171.74118751567562,,1
630.0,GLOBAL_LUT,variance,399788.14844282623,,1
630.0,GLOBAL_LUT,iqr,376.30736142480237,,1
630.0,GLOBAL_LUT,mean_estimate_absolute_percentage_error,3.7695534902824313,,1
697.0,LINEAR,mean,2772.8041365698173,,1
697.0,LINEAR,bias_g,2075.8041365698173,,1
697.0,LINEAR,mae_g,2122.1187364849366,,1
697.0,LINEAR,rmse_g,2369.331894541341,,1
697.0,LINEAR,std,1142.2656490897798,,1
697.0,LINEAR,cv_percent,41.19532404127378,,1
697.0,LINEAR,mad,724.1929911361067,,1
697.0,LINEAR,variance,1304770.813090496,,1
697.0,LINEAR,iqr,1496.8801301383064,,1
697.0,LINEAR,mean_estimate_absolute_percentage_error,297.8198187331158,,1
697.0,GAMMA,mean,923.765599450091,,1
697.0,GAMMA,bias_g,226.76559945009114,,1
697.0,GAMMA,mae_g,723.063682652173,,1
697.0,GAMMA,rmse_g,1069.036547935982,,1
697.0,GAMMA,std,1044.7088128894684,,1
697.0,GAMMA,cv_percent,113.09241365032143,,1
697.0,GAMMA,mad,490.9152689515337,,1
697.0,GAMMA,variance,1091416.5037289222,,1
697.0,GAMMA,iqr,1189.4793676645304,,1
697.0,GAMMA,mean_estimate_absolute_percentage_error,32.53451928982656,,1
697.0,FIT_PRESS,mean,602.9001245831964,,1
697.0,FIT_PRESS,bias_g,-94.09987541680354,,1
697.0,FIT_PRESS,mae_g,192.96128469126592,,1
697.0,FIT_PRESS,rmse_g,363.109770876031,,1
697.0,FIT_PRESS,std,350.7048889767375,,1
697.0,FIT_PRESS,cv_percent,58.16964944553472,,1
697.0,FIT_PRESS,mad,108.54432873627923,,1
697.0,FIT_PRESS,variance,122993.91915218577,,1
697.0,FIT_PRESS,iqr,213.5898545708094,,1
697.0,FIT_PRESS,mean_estimate_absolute_percentage_error,13.500699485911555,,1
697.0,GLOBAL_LUT,mean,762.1038822322698,,1
697.0,GLOBAL_LUT,bias_g,65.1038822322699,,1
697.0,GLOBAL_LUT,mae_g,391.7198105857485,,1
697.0,GLOBAL_LUT,rmse_g,766.633523706574,,1
697.0,GLOBAL_LUT,std,763.8641529676888,,1
697.0,GLOBAL_LUT,cv_percent,100.23097516971873,,1
697.0,GLOBAL_LUT,mad,189.7466842943752,,1
697.0,GLOBAL_LUT,variance,583488.4441890448,,1
697.0,GLOBAL_LUT,iqr,422.96995308789064,,1
697.0,GLOBAL_LUT,mean_estimate_absolute_percentage_error,9.340585686121937,,1
800.0,LINEAR,mean,3033.6504999470485,,1
800.0,LINEAR,bias_g,2233.6504999470485,,1
800.0,LINEAR,mae_g,2274.7276327504273,,1
800.0,LINEAR,rmse_g,2482.6122873598715,,1
800.0,LINEAR,std,1083.5908884060038,,1
800.0,LINEAR,cv_percent,35.719041742775495,,1
800.0,LINEAR,mad,660.0777412842376,,1
800.0,LINEAR,variance,1174169.2134365127,,1
800.0,LINEAR,iqr,1357.2625000121352,,1
800.0,LINEAR,mean_estimate_absolute_percentage_error,279.20631249338106,,1
800.0,GAMMA,mean,1148.7868178405474,,1
800.0,GAMMA,bias_g,348.78681784054766,,1
800.0,GAMMA,mae_g,827.9137292555887,,1
800.0,GAMMA,rmse_g,1183.780431480987,,1
800.0,GAMMA,std,1131.2311283102038,,1
800.0,GAMMA,cv_percent,98.47180614734557,,1
800.0,GAMMA,mad,667.678611782261,,1
800.0,GAMMA,variance,1279683.8656579766,,1
800.0,GAMMA,iqr,1425.049651183293,,1
800.0,GAMMA,mean_estimate_absolute_percentage_error,43.59835223006846,,1
800.0,FIT_PRESS,mean,695.6538424957706,,1
800.0,FIT_PRESS,bias_g,-104.34615750422938,,1
800.0,FIT_PRESS,mae_g,197.4675169626667,,1
800.0,FIT_PRESS,rmse_g,348.71698628967494,,1
800.0,FIT_PRESS,std,332.73926119569336,,1
800.0,FIT_PRESS,cv_percent,47.83115406966451,,1
800.0,FIT_PRESS,mad,103.08766233766232,,1
800.0,FIT_PRESS,variance,110715.41594105585,,1
800.0,FIT_PRESS,iqr,225.1314642021814,,1
800.0,FIT_PRESS,mean_estimate_absolute_percentage_error,13.043269688028673,,1
800.0,GLOBAL_LUT,mean,874.5571613056725,,1
800.0,GLOBAL_LUT,bias_g,74.55716130567251,,1
800.0,GLOBAL_LUT,mae_g,431.72699806801774,,1
800.0,GLOBAL_LUT,rmse_g,804.2415137899465,,1
800.0,GLOBAL_LUT,std,800.7781479293652,,1
800.0,GLOBAL_LUT,cv_percent,91.56384320652538,,1
800.0,GLOBAL_LUT,mad,228.0354474597708,,1
800.0,GLOBAL_LUT,variance,641245.6422011843,,1
800.0,GLOBAL_LUT,iqr,498.89555685986517,,1
800.0,GLOBAL_LUT,mean_estimate_absolute_percentage_error,9.319645163209064,,1
882.0,LINEAR,mean,3269.432366129882,,1
882.0,LINEAR,bias_g,2387.432366129882,,1
882.0,LINEAR,mae_g,2420.830862369622,,1
882.0,LINEAR,rmse_g,2598.089405234691,,1
882.0,LINEAR,std,1024.809862729776,,1
882.0,LINEAR,cv_percent,31.34519231370037,,1
882.0,LINEAR,mad,590.9876434626017,,1
882.0,LINEAR,variance,1050235.2547482222,,1
882.0,LINEAR,iqr,1196.0829482909962,,1
882.0,LINEAR,mean_estimate_absolute_percentage_error,270.6839417380819,,1
882.0,GAMMA,mean,1389.5392390213258,,1
882.0,GAMMA,bias_g,507.5392390213255,,1
