source,actual_load_g,row,column,raw_adc,common_valid,status,quality_flags,linear_g,gamma_g,fit_g
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_352g_20260907_090729_092912\view_distribution_capture.json,352.0,1,1,192.0,True,ok,FULL_UNSTABLE,824.9672632038412,3.7054149288896614,130.61061946902655
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_352g_20260907_090729_092912\view_distribution_capture.json,352.0,1,2,428.0,True,ok,FULL_UNSTABLE,1845.058264997842,92.71079988816837,310.876254180602
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_352g_20260907_090729_092912\view_distribution_capture.json,352.0,1,3,511.0,True,ok,FULL_UNSTABLE,2189.119170984456,183.7247241985338,292.0449438202247
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_352g_20260907_090729_092912\view_distribution_capture.json,352.0,1,4,526.0,True,ok,FULL_UNSTABLE,2273.122014763352,213.5900312065544,292.59574468085106
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_352g_20260907_090729_092912\view_distribution_capture.json,352.0,1,5,453.0,True,ok,FULL_UNSTABLE,1943.7229437229437,114.18983132415164,309.301775147929
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_352g_20260907_090729_092912\view_distribution_capture.json,352.0,1,6,450.0,True,ok,FULL_UNSTABLE,1918.4027777777778,108.35505212303565,304.7225806451613
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_352g_20260907_090729_092912\view_distribution_capture.json,352.0,1,7,500.0,True,ok,FULL_UNSTABLE,2123.931623931624,162.7991422199845,310.3448275862069
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_352g_20260907_090729_092912\view_distribution_capture.json,352.0,1,8,990.0,True,ok,FULL_UNSTABLE,4157.916841663166,2391.0749178142864,357.7945945945946
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_352g_20260907_090729_092912\view_distribution_capture.json,352.0,1,9,727.0,True,ok,FULL_UNSTABLE,3061.2244897959185,702.539428507593,319.9572192513369
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_352g_20260907_090729_092912\view_distribution_capture.json,352.0,1,10,765.5,True,ok,FULL_UNSTABLE,3202.959830866808,841.9687162763312,315.4770318021201
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_352g_20260907_090729_092912\view_distribution_capture.json,352.0,1,11,690.0,True,ok,FULL_UNSTABLE,2935.996563573883,594.4456573221215,283.9024390243902
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_352g_20260907_090729_092912\view_distribution_capture.json,352.0,1,12,687.0,True,ok,FULL_UNSTABLE,2939.3939393939395,597.2018776967437,317.53846153846155
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_352g_20260907_090729_092912\view_distribution_capture.json,352.0,1,13,21.0,True,ok,FULL_UNSTABLE,78.5683107813182,0.00030484540321283095,306.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_352g_20260907_090729_092912\view_distribution_capture.json,352.0,1,14,527.0,True,ok,FULL_UNSTABLE,2265.625,210.78616380691528,328.1860465116279
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_352g_20260907_090729_092912\view_distribution_capture.json,352.0,1,15,558.0,True,ok,FULL_UNSTABLE,2398.4442523768366,264.7332559248489,339.0379746835443
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_352g_20260907_090729_092912\view_distribution_capture.json,352.0,1,16,125.0,True,ok,FULL_UNSTABLE,537.3001776198935,0.6667421690170133,198.73529411764707
