combo,module_count,load,protocol_mode,configured_frequency_Hz,current_filename_date_batch,I_M0_main_mA,I_M1_main_mA,I_M2_main_mA,I_M3_main_mA,I_sum_mA,V_source_main_V,V_source_min_V,V_source_max_V,P_source_output_estimate_mW,power_uses_cross_record_voltage,power_is_simultaneous_measurement,branch_sum_is_simultaneous_measurement,source_voltage_path,source_voltage_sha256,source_voltage_run_id,source_voltage_photo_paths,source_voltage_photo_original_references,source_voltage_photo_sha256,voltage_configuration_kind,current_temperature_remeasured_after_connector_repair,voltage_quality_event_id,T_M0_stm32_C,T_M1_stm32_C,T_M2_stm32_C,T_M3_stm32_C,T_teensy_C,T_regulator_C,I_N1_prediction_mA,prediction_residual_mA,prediction_residual_percent,n_current_records_in_this_condition,within_condition_repeat_SD_mA,current_MIN_MAX_complete_branches,source_record_run_id,current_source
M0-M1-M2,3,ZERO,FULL,200,2026-09-05,17.968,18.13,18.383,,54.481,3.276,3.276,3.277,178.479756,False,False,False,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml,3bfdf897927c11c1207228c0ebd3f8545bcd97a5252597358858b494b307db85,PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,,,,USER_CONFIRMED_POINTWISE_CORRECTION,False,SUPPLY_CONTACT_M0_N3_ZERO_20260907,27.5,27.2,26.8,,42.8,30.5,54.90,-0.419,-0.7632058287795992714025500911,1,,3,PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M2/zero_load/PS01_N3_F200_ZERO_M0-M1-M2_USB_RX_R1.yaml
M0-M1-M3,3,ZERO,FULL,200,2026-09-07,18.005,18.110,,18.044,54.159,3.277,3.277,3.277,177.479043,True,False,False,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1.yaml,5b2c74f7f3098d0dda00b67e6722170919d59941eb3f3bf74e754bd298a4ec09,PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_000539.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_000539.jpg,7f12161f64210c0b3e7712ac409afe21ff73cfe08d1beabb81b8199cc46a9579,SAME_RECORD_VOLTAGE_CONFIGURATION,,,27.4,26.7,,26.9,42.7,29.6,54.94,-0.781,-1.421550782672005824535857299,1,,3,PS01_N3_F200_ZERO_M0-M1-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n3_zero_20260907.csv
M0-M2-M3,3,ZERO,FULL,200,2026-09-07,17.993,,18.069,18.068,54.130,3.276,3.276,3.277,177.329880,True,False,False,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1.yaml,7ac9267e6536148eef3d68ae21bd79fee309cc0779c33dacdeb5087682c4f47d,PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_002056.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_002056.jpg,e8353872781b06d1c9fbd036bd98f94709493b7b7e2059fcd9d339d7f345865b,SAME_RECORD_VOLTAGE_CONFIGURATION,,,27.4,,26.6,26.6,42.6,29.2,54.92,-0.790,-1.438455935906773488710852149,1,,3,PS01_N3_F200_ZERO_M0-M2-M3_USB_RX_VOLTAGE_R1,DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n3_zero_20260907.csv
M1-M2-M3,3,ZERO,FULL,200,2026-09-05,,18.107,18.361,18.383,54.851,3.276,3.276,3.277,179.691876,False,False,False,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/zero_load/PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1.yaml,c05ab0823c9d26dc0956d827927022f30b82f7edac55885308bafad9ce9cd911,PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1,,,,SAME_RECORD_VOLTAGE_CONFIGURATION,,,,27.3,27.1,26.9,43.0,30.6,55.14,-0.289,-0.5241204207471889735219441422,1,,3,PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/zero_load/PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1.yaml
