source,actual_load_g,row,column,raw_adc,common_valid,status,quality_flags,linear_g,gamma_g,fit_g
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_1319g_20260907_091036_135224\view_distribution_capture.json,1319.0,1,1,1053.0,True,ok,FULL_UNSTABLE,4583.151462243562,3529.773404292086,1083.909090909091
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_1319g_20260907_091036_135224\view_distribution_capture.json,1319.0,1,2,1047.0,True,ok,FULL_UNSTABLE,4516.616314199396,3329.2222045023445,1139.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_1319g_20260907_091036_135224\view_distribution_capture.json,1319.0,1,3,1067.0,True,ok,FULL_UNSTABLE,4589.810017271157,3550.3308391441333,1161.32
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_1319g_20260907_091036_135224\view_distribution_capture.json,1319.0,1,4,1040.0,True,ok,FULL_UNSTABLE,4504.993486756404,3295.085262048905,1081.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_1319g_20260907_091036_135224\view_distribution_capture.json,1319.0,1,5,1054.0,True,ok,FULL_UNSTABLE,4545.454545454545,3415.067276825353,1253.5882352941176
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_1319g_20260907_091036_135224\view_distribution_capture.json,1319.0,1,6,1092.0,True,ok,FULL_UNSTABLE,4704.861111111111,3919.920117512397,1379.1264367816093
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_1319g_20260907_091036_135224\view_distribution_capture.json,1319.0,1,7,1152.5,True,ok,FULL_UNSTABLE,4912.393162393162,4658.675489799255,1492.1503759398497
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_1319g_20260907_091036_135224\view_distribution_capture.json,1319.0,1,8,1230.0,True,ok,FULL_UNSTABLE,5000.0,5000.0,875.9990205680699
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_1319g_20260907_091036_135224\view_distribution_capture.json,1319.0,1,9,1208.0,True,ok,FULL_UNSTABLE,5000.0,5000.0,1402.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_1319g_20260907_091036_135224\view_distribution_capture.json,1319.0,1,10,1204.5,True,ok,FULL_UNSTABLE,5000.0,5000.0,1433.6666666666667
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_1319g_20260907_091036_135224\view_distribution_capture.json,1319.0,1,11,1111.0,True,ok,FULL_UNSTABLE,4744.415807560137,4053.414006978289,1180.36
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_1319g_20260907_091036_135224\view_distribution_capture.json,1319.0,1,12,1098.0,True,ok,FULL_UNSTABLE,4718.614718614719,3965.9575299423173,1231.576923076923
