row,column,method,adc_rmse,adc_r2,pressure_rmse,pressure_r2,lut_points,plateau_count,measured_adc_min,measured_adc_max
1,1,isotonic+pchip+lut,0.226134,0.999998,38.059016,0.998784,21,1,2.500,737.000
1,2,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,3.000,1217.500
1,3,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,6.000,979.500
1,4,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,16.000,1046.500
1,5,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,4.000,1129.000
1,6,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,14.000,1201.000
1,7,isotonic+pchip+lut,4.331002,0.999713,63.142063,0.996653,20,2,227.000,1265.000
1,8,isotonic+pchip+lut,5.869799,0.999646,42.913467,0.998454,20,2,197.000,1370.000
1,9,isotonic+pchip+lut,24.556675,0.992656,43.635695,0.998402,19,3,204.000,1325.000
1,10,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,21.000,1190.000
1,11,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,5.000,1294.000
1,12,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,1.000,1282.000
1,13,isotonic+pchip+lut,0.150756,1.000000,42.814611,0.998461,21,1,1.000,1180.000
1,14,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,1.000,1313.000
1,15,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,0.000,1260.000
1,16,isotonic+pchip+lut,0.000000,1.000000,11.005164,0.999898,21,1,1.000,1261.000
2,1,isotonic+pchip+lut,0.543557,0.999991,93.728967,0.992626,18,4,0.000,763.000
2,2,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,4.000,1252.000
2,3,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,9.000,1009.500
2,4,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,27.000,1077.000
2,5,isotonic+pchip+lut,0.452267,0.999998,12.172948,0.999876,21,1,5.000,1158.000
2,6,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,21.000,1230.000
2,7,isotonic+pchip+lut,6.818258,0.998996,99.734129,0.991651,19,3,378.000,1304.000
2,8,isotonic+pchip+lut,15.226323,0.997920,45.780493,0.998241,21,1,224.000,1364.000
2,9,isotonic+pchip+lut,30.817031,0.991068,47.401223,0.998114,19,3,199.000,1373.000
2,10,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,25.000,1212.000
2,11,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,5.000,1320.000
2,12,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,1.000,1304.000
2,13,isotonic+pchip+lut,0.174078,1.000000,33.690514,0.999047,20,2,0.500,1192.000
2,14,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,1.000,1338.000
2,15,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,0.500,1255.000
