combo,module_id,load,I_main_mA,I_min_mA,I_max_mA,V_module_main_V,V_module_min_V,V_module_max_V,V_source_main_V,V_source_min_V,V_source_max_V,T_stm32_C,T_teensy_C,T_regulator_C,current_photo,module_voltage_photo,source_voltage_photo
M0-M1-M3,M0,MAX,19.648,19.62,19.65,3.239,3.239,3.240,3.275,3.274,3.275,27.4,42.6,30.0,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_033428.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_033856.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_033809.jpg
M0-M1-M3,M1,MAX,19.805,19.76,19.99,3.248,3.248,3.248,3.275,3.274,3.275,27.3,42.6,30.0,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_033545.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_033917.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_033809.jpg
M0-M1-M3,M3,MAX,19.178,19.14,19.33,3.243,3.243,3.243,3.275,3.274,3.275,26.9,42.6,30.0,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_033654.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_033942.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_033809.jpg
M0-M2-M3,M0,MAX,19.505,19.48,19.55,3.240,3.240,3.240,3.275,3.275,3.275,27.2,42.6,29.6,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_034818.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_034509.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_034438.jpg
M0-M2-M3,M2,MAX,19.451,19.34,19.49,3.242,3.242,3.242,3.275,3.275,3.275,26.8,42.6,29.6,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_035053.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_034530.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_034438.jpg
M0-M2-M3,M3,MAX,19.323,19.29,19.49,3.243,3.243,3.244,3.275,3.275,3.275,26.6,42.6,29.6,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_035303.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_034555.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_034438.jpg
