row,column,method,adc_rmse,adc_r2,pressure_rmse,pressure_r2,lut_points,plateau_count,measured_adc_min,measured_adc_max
4,8,isotonic+pchip+lut,9.770666,0.999328,317.446408,0.915368,19,3,1.000,1372.000
4,9,isotonic+pchip+lut,3.015113,0.999926,342.704634,0.901364,21,1,162.000,1391.000
4,10,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,275.000,1371.000
4,11,isotonic+pchip+lut,3.272648,0.999897,311.503839,0.918507,20,2,205.000,1373.500
4,12,isotonic+pchip+lut,2.292527,0.999938,306.616768,0.921044,20,2,331.500,1377.500
4,13,isotonic+pchip+lut,25.283993,0.996899,55.950228,0.997371,16,6,11.000,1342.000
4,14,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,311.000,1365.000
4,15,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,377.000,1371.000
4,16,isotonic+pchip+lut,12.035459,0.999074,62.290745,0.996741,18,4,94.000,1327.000
5,1,isotonic+pchip+lut,0.337100,0.999999,303.321382,0.922732,20,2,4.000,1399.000
5,2,isotonic+pchip+lut,0.000000,1.000000,11.005164,0.999898,21,1,1.000,1351.000
5,3,isotonic+pchip+lut,0.452267,0.999999,305.970688,0.921376,20,2,1.000,1357.000
5,4,isotonic+pchip+lut,10.057034,0.999424,311.161568,0.918686,19,3,14.000,1361.000
5,5,isotonic+pchip+lut,5.728716,0.999807,39.851158,0.998666,21,1,79.000,1352.000
5,6,isotonic+pchip+lut,8.497772,0.999552,59.222456,0.997054,20,2,90.000,1349.000
5,7,isotonic+pchip+lut,5.435573,0.999842,307.822123,0.920422,20,2,72.000,1359.000
5,8,isotonic+pchip+lut,3.913845,0.999927,314.678734,0.916837,20,2,3.000,1371.000
5,9,isotonic+pchip+lut,4.680715,0.999887,316.181558,0.916041,20,2,65.000,1371.000
5,10,isotonic+pchip+lut,5.740605,0.999845,326.569533,0.910433,20,2,90.000,1382.000
5,11,isotonic+pchip+lut,1.658312,0.999985,23.608277,0.999532,21,1,79.000,1353.000
5,12,isotonic+pchip+lut,5.879471,0.999816,304.629808,0.922064,20,2,95.000,1368.000
5,13,isotonic+pchip+lut,4.231913,0.999912,49.364799,0.997953,19,3,3.000,1329.000
5,14,isotonic+pchip+lut,6.030227,0.999787,39.093241,0.998716,21,1,65.500,1349.000
5,15,isotonic+pchip+lut,7.085517,0.999710,39.366313,0.998698,21,1,70.000,1350.000
5,16,isotonic+pchip+lut,0.150756,1.000000,14.383877,0.999826,21,1,27.000,1305.000
6,1,isotonic+pchip+lut,0.000000,1.000000,11.005164,0.999898,21,1,3.000,1380.000
6,2,isotonic+pchip+lut,0.000000,1.000000,11.005164,0.999898,21,1,1.000,1402.000
6,3,isotonic+pchip+lut,0.000000,1.000000,11.005164,0.999898,21,1,1.000,1407.000
6,4,isotonic+pchip+lut,28.431736,0.993300,49.117534,0.997974,20,2,58.000,1396.000
6,5,isotonic+pchip+lut,5.954849,0.999639,16.861490,0.999761,21,1,301.000,1409.000
6,6,isotonic+pchip+lut,9.045340,0.999144,16.605363,0.999768,21,1,286.000,1401.000
6,7,isotonic+pchip+lut,6.331738,0.999602,21.634537,0.999607,21,1,321.000,1399.000
6,8,isotonic+pchip+lut,15.678590,0.998428,13.364001,0.999850,21,1,14.000,1401.000
6,9,isotonic+pchip+lut,4.673426,0.999773,16.840901,0.999762,21,1,393.000,1405.000
6,10,isotonic+pchip+lut,3.768892,0.999837,18.983908,0.999697,21,1,401.000,1400.000
6,11,isotonic+pchip+lut,12.361965,0.998160,40.698851,0.998609,21,1,502.000,1403.000
6,12,isotonic+pchip+lut,12.546077,0.998108,1305.295323,-0.430910,11,11,714.000,1452.000
6,13,isotonic+pchip+lut,21.278546,0.998154,79.200612,0.994732,14,8,21.000,1392.000
6,14,isotonic+pchip+lut,22.888316,0.915208,131.655510,0.985443,15,7,1102.000,1425.000
6,15,isotonic+pchip+lut,90.635372,0.000000,1851.020357,-1.877513,1,21,1376.000,1703.000
6,16,isotonic+pchip+lut,31.430815,0.992389,128.818781,0.986064,16,6,233.000,1357.000
7,1,isotonic+pchip+lut,1.148121,0.999988,17.162688,0.999753,20,2,10.000,1338.000
7,2,isotonic+pchip+lut,1.597228,0.999981,38.171269,0.998776,19,3,1.000,1371.000
7,3,isotonic+pchip+lut,2.110579,0.999956,48.208933,0.998048,20,2,1.000,1367.000
7,4,isotonic+pchip+lut,8.458455,0.999194,30.692753,0.999209,20,2,48.000,1358.000
7,5,isotonic+pchip+lut,0.301511,0.999999,12.062842,0.999878,21,1,248.000,1374.000
7,6,isotonic+pchip+lut,2.474874,0.999926,75.710954,0.995186,19,3,219.000,1380.000
7,7,isotonic+pchip+lut,0.452267,0.999997,12.830112,0.999862,21,1,266.000,1369.000
7,8,isotonic+pchip+lut,13.280197,0.998401,25.229915,0.999465,19,3,12.000,1369.000
7,9,isotonic+pchip+lut,0.753778,0.999991,14.727670,0.999818,21,1,332.000,1364.000
7,10,isotonic+pchip+lut,0.753778,0.999991,14.362057,0.999827,21,1,288.000,1364.000
7,11,isotonic+pchip+lut,8.325754,0.998795,27.264573,0.999376,20,2,441.000,1361.000
7,12,isotonic+pchip+lut,3.140643,0.999768,68.182162,0.996096,17,5,630.000,1367.500
7,13,isotonic+pchip+lut,20.957479,0.997247,115.162464,0.988862,17,5,19.000,1335.000
7,14,isotonic+pchip+lut,6.487707,0.998561,197.374284,0.967283,14,8,741.000,1371.000
7,15,isotonic+pchip+lut,8.704463,0.997365,312.100905,0.918194,13,9,726.000,1366.000
7,16,isotonic+pchip+lut,23.091574,0.994848,158.539126,0.978891,15,7,149.000,1311.000
8,1,isotonic+pchip+lut,0.603023,0.999997,11.138092,0.999896,21,1,8.000,1357.000
8,2,isotonic+pchip+lut,2.868322,0.999948,23.036126,0.999554,19,3,1.000,1396.000
8,3,isotonic+pchip+lut,4.371914,0.999843,22.871949,0.999561,20,2,1.000,1385.000
8,4,isotonic+pchip+lut,18.303005,0.996936,38.302066,0.998768,19,3,54.000,1379.000
8,5,isotonic+pchip+lut,1.959824,0.999956,13.348191,0.999850,21,1,272.000,1386.000
8,6,isotonic+pchip+lut,6.030227,0.999655,17.431111,0.999745,21,1,231.000,1405.000
8,7,isotonic+pchip+lut,1.959824,0.999959,14.528742,0.999823,21,1,295.000,1390.000
8,8,isotonic+pchip+lut,13.568011,0.998616,13.940315,0.999837,21,1,11.000,1387.000
8,9,isotonic+pchip+lut,2.864358,0.999895,17.549366,0.999741,21,1,370.000,1382.000
8,10,isotonic+pchip+lut,2.684128,0.999906,21.314638,0.999618,20,2,304.000,1380.000
8,11,isotonic+pchip+lut,19.918774,0.994095,63.579751,0.996605,19,3,435.000,1380.000
8,12,isotonic+pchip+lut,13.539504,0.996426,81.196220,0.994463,18,4,583.000,1394.000
8,13,isotonic+pchip+lut,19.263622,0.997944,91.638302,0.992947,16,6,17.000,1361.000
