original_path,resolved_path,sha256,hash_verified_against,relocation_basis
DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260906_231927.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260906_231927.jpg,95052ff8b47b164ee3c99cd997c9b1d6c1e52909537ae98ae4fac7fd53418349,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260906_232003.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260906_232003.jpg,4cbe98a041c2005c1492d1bbaf146c4c26f95b88933fd023684fa926ddb4607a,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260906_232035.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260906_232035.jpg,48b6e05b0d699b921fbfb507bd2daf4299c4efd6f355344ebd46f1ac05fb552b,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_010853.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260907_010853.jpg,c98f4598a83ec93e9f81fb8f85b1c3e174938c7ef0769f5b4e0f984f7bf76d67,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/IMG_20260907_011244.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M2/zero_load/IMG_20260907_011244.jpg,bee17ba712d8cabf798f77378a2f11e5de6df832f264888a8f0753ea0ac4557a,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260906_232855.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260906_232855.jpg,be9a773ea9595f2acd6642ce04ead2900e21c318f4cc77e3edc3e41f874057a2,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260906_232921.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260906_232921.jpg,e8b6bc22ac43d51c9c68db25871068f32bc17f79992c092c1fe54a584b021603,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260906_232941.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260906_232941.jpg,3ba97cde9eaa19aeafd5a7da28470f9949eee36ad8b9a963e3db8a3d891ef514,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_011436.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260907_011436.jpg,8ca7e04a6bf45ff87b89a86743e1f19655796c27292e9d2862d97024a312c2dd,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/IMG_20260907_011700.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M3/zero_load/IMG_20260907_011700.jpg,2ece96481d2739c2199b609f79e55a35fb06ad621ae6fdf2935a1fb127a24279,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260906_233306.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260906_233306.jpg,3d753b4168d64ef862ffc0149338427602720f81ba18b6652615c736abdb9049,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260906_233326.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260906_233326.jpg,44b939a5dcf69e1330781f1ba3c331398ff277ca898524fe60017518605bd4b4,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260906_233351.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260906_233351.jpg,69018df11cf23a6346df70483a1e110bed7a5ef78b012c84dad3437f155703bb,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_012031.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260907_012031.jpg,673c646dba9f4d95049978c1b632f1108edf2a34e90e60297da866412abfd10f,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_012237.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260907_012237.jpg,ef553ac318cb203f4c7cfb97ac4a59cbd08ce8ad83fb806fc40349c2540a8310,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260906_233839.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260906_233839.jpg,1b42628f0bea0e4e6da5ce7de53f527868380894046d0fbff298de29b436170b,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260906_233906.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260906_233906.jpg,925d80f090d6c45226d70306301cf5cff07a28e8ae6015b399666e7789c3b0d7,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260906_233928.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260906_233928.jpg,d160d125392ca110f3db9c098ba1980081f6690e90949e0b77ad8c2e362aafa4,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_012628.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260907_012628.jpg,66cda4f9645c78a8509901d51a9fc5f83f7a010e24f6d1bf9afc608427d6001a,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_012749.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260907_012749.jpg,3867fdb1ee89a0467a872fa865c3ac7ee89795de75daf5fdc0e2f8417225f1b0,DATA/analysis/current/n2_zero_review_20260907/source_manifest.json (pre-relocation archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_000539.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/IMG_20260907_000539.jpg,7f12161f64210c0b3e7712ac409afe21ff73cfe08d1beabb81b8199cc46a9579,DATA/analysis/current/zero_power_review_20260907/source_manifest.json (before_max_coverage_update archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_001239.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/IMG_20260907_001239.jpg,7a2100b6129a22b2738741477d6917b49e57c2f47f9ea7de6ef31c9ea2152051,DATA/analysis/current/zero_power_review_20260907/source_manifest.json (before_max_coverage_update archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_001305.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/IMG_20260907_001305.jpg,daf5d00caf7c9f3fa31d57cd31ea2f09a5a15af8863b501971d9b98291de02fc,DATA/analysis/current/zero_power_review_20260907/source_manifest.json (before_max_coverage_update archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_001324.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/IMG_20260907_001324.jpg,9e1340c15f91ee0aee6fd856a58085f06b0a467077305eb36f4cdcc7b2879247,DATA/analysis/current/zero_power_review_20260907/source_manifest.json (before_max_coverage_update archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_021524.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/IMG_20260907_021524.jpg,0d3d511a944c1551f3d2bd4dadbcc40f1a67d9d5530c024fabc1bdfb1dd07c8f,DATA/analysis/current/zero_power_review_20260907/source_manifest.json (before_max_coverage_update archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_021951.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/IMG_20260907_021951.jpg,c54bcc24dd38ee1ffe31c7f0b77cca8be09dfc18e5068778335e453734c3f582,DATA/analysis/current/zero_power_review_20260907/source_manifest.json (before_max_coverage_update archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/IMG_20260907_022112.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M1-M3/zero_load/IMG_20260907_022112.jpg,e129343b71c00dff90cab9ab490099e5c77d13ef458bf441937a2684a01f3bb9,DATA/analysis/current/zero_power_review_20260907/source_manifest.json (before_max_coverage_update archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_002056.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/IMG_20260907_002056.jpg,e8353872781b06d1c9fbd036bd98f94709493b7b7e2059fcd9d339d7f345865b,DATA/analysis/current/zero_power_review_20260907/source_manifest.json (before_max_coverage_update archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_002247.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/IMG_20260907_002247.jpg,5e115cad159cd3be6cadf6c6128c862e3d68047ad0f7d8603f2e1fe54a696082,DATA/analysis/current/zero_power_review_20260907/source_manifest.json (before_max_coverage_update archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_002315.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/IMG_20260907_002315.jpg,f32c91321ba40922ab8ee92893ab699ea32789f3fa8ac74fcba3602132106690,DATA/analysis/current/zero_power_review_20260907/source_manifest.json (before_max_coverage_update archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_002343.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/IMG_20260907_002343.jpg,b5a11b850f35ea7d8663efac3c99466de3f0ec7f9ec61056aaab6b28a77db43d,DATA/analysis/current/zero_power_review_20260907/source_manifest.json (before_max_coverage_update archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_022258.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/IMG_20260907_022258.jpg,99ea5ac4a743cc72e3eccef63507593cc6dbe07a84d52cd0c015cf29cdc53180,DATA/analysis/current/zero_power_review_20260907/source_manifest.json (before_max_coverage_update archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_022506.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/IMG_20260907_022506.jpg,fe5b4530182b59ffe7fcea1e7979b076ba26426b5277f5183b0f658a9a7041c8,DATA/analysis/current/zero_power_review_20260907/source_manifest.json (before_max_coverage_update archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/IMG_20260907_022755.jpg,DATA/raw/canonical/power_experiment_records/transmission/n=3/M0-M2-M3/zero_load/IMG_20260907_022755.jpg,889e41db532530d696ff2d0ed1a109b64a2bfef7496db57b11b4e43b8245ed3b,DATA/analysis/current/zero_power_review_20260907/source_manifest.json (before_max_coverage_update archive),Existing identical-content ZERO photograph relocated into same configuration zero_load directory
