run_id,started_at,mode,condition,N,target_hz,modules,block,batch_id,repeat,old_relative_path,new_relative_path,duration_s,main_duration_s,main_packets,main_status,full_status,full_review_reasons,main_rate_Hz,main_Lmean_B,main_packet_Mbit_s,main_raw_arrival_Mbit_s,source_local_firmware,deployment_confirmed,main_eligible,main_review_reasons,main_outer_crc_errors,main_outer_missing_sequence_numbers,main_interior_unassigned_raw_bytes,source_review,timing_note,replacement_batch_id,primary_matrix_selected,selection_reason
20260906_234631_872633,2026-09-06T23:46:31.872633+01:00,FULL,zero_load,2,200,M0_M1,1,BATCH_011a17c511724e4c87760f72a6433c4a,1,20260906_234631_872633,FULL/N=2/200Hz/M0_M1/Repeat_1,40.00328200001968,30.00328200001968,6003,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.07811145447562,2128.0,3.406129769400993,3.4061300360384896,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260906_234711_905577,2026-09-06T23:47:11.905577+01:00,FULL,zero_load,2,200,M0_M1,1,BATCH_011a17c511724e4c87760f72a6433c4a,2,20260906_234711_905577,FULL/N=2/200Hz/M0_M1/Repeat_2,40.00153480001609,30.00153480001609,6002,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.05643177950955,2128.0,3.4057606946143704,3.405760961267395,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260906_234751_945640,2026-09-06T23:47:51.945640+01:00,FULL,zero_load,2,200,M0_M1,1,BATCH_011a17c511724e4c87760f72a6433c4a,3,20260906_234751_945640,FULL/N=2/200Hz/M0_M1/Repeat_3,40.001827400003094,30.001827400003094,6003,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.08781198439203,2128.0,3.4062949112222896,3.406295177872714,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260906_232205_264776,2026-09-06T23:22:05.264776+01:00,FULL,zero_load,2,200,M0_M2,1,BATCH_8b70d810a0494c63acc0cb8f81cf45f4,1,20260906_232205_264776,FULL/N=2/200Hz/M0_M2/Repeat_1,40.00675830000546,30.00675830000546,6003,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.05493229166672,2128.0,3.405735167333334,3.405735433939941,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260906_232245_299955,2026-09-06T23:22:45.299955+01:00,FULL,zero_load,2,200,M0_M2,1,BATCH_8b70d810a0494c63acc0cb8f81cf45f4,2,20260906_232245_299955,FULL/N=2/200Hz/M0_M2/Repeat_2,40.00061509999796,30.000615099997958,6003,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.09589736713127,2128.0,3.4064325567780425,3.4064328234392423,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260906_232325_329233,2026-09-06T23:23:25.329233+01:00,FULL,zero_load,2,200,M0_M2,1,BATCH_8b70d810a0494c63acc0cb8f81cf45f4,3,20260906_232325_329233,FULL/N=2/200Hz/M0_M2/Repeat_3,40.000869000010425,30.000869000010425,6004,PASS,PASS,,200.1275363056288,2128.0,3.4069711780670247,3.4069711780670247,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260906_232950_210894,2026-09-06T23:29:50.210894+01:00,FULL,zero_load,2,200,M0_M3,1,BATCH_990964af54fc4a8e9e474a2376acbf02,1,20260906_232950_210894,FULL/N=2/200Hz/M0_M3/Repeat_1,40.00008600001456,30.000086000014562,6004,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.13275961932527,2128.0,3.4070600997593936,3.407060366425296,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260906_233030_242504,2026-09-06T23:30:30.242504+01:00,FULL,zero_load,2,200,M0_M3,1,BATCH_990964af54fc4a8e9e474a2376acbf02,2,20260906_233030_242504,FULL/N=2/200Hz/M0_M3/Repeat_2,40.00012979999883,30.00012979999883,6005,PASS,PASS,,200.16580061597713,2128.0,3.4076225896863948,3.4076225896863948,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260906_233110_283624,2026-09-06T23:31:10.283624+01:00,FULL,zero_load,2,200,M0_M3,1,BATCH_990964af54fc4a8e9e474a2376acbf02,3,20260906_233110_283624,FULL/N=2/200Hz/M0_M3/Repeat_3,40.00212759998976,30.002127599989763,6005,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.1524718534311,2128.0,3.407395680832811,3.4073959474805675,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
20260906_233400_039763,2026-09-06T23:34:00.039763+01:00,FULL,zero_load,2,200,M1_M2,1,BATCH_9870b18f5c6f405aba45d08917c5bf8e,1,20260906_233400_039763,FULL/N=2/200Hz/M1_M2/Repeat_1,40.00242430000799,30.002424300007988,6006,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.18382314519835,2128.0,3.4079294052238565,3.4079296718689753,four-module-variable-spi,False,True,,0,0,0,20260906_n2_full_review,,,True,original_complete_three_window_batch
