N,M_configured_slots,frequency_Hz,FULL_Mbit_s,DELTA_K0_Mbit_s,DELTA_K240_Mbit_s,DELTA_K480_Mbit_s,USB_raw_Mbit_s,q_ESKF_total,T_sync_s,DELTA_K0_no_ESKF_bound_Mbit_s,DELTA_K240_no_ESKF_bound_Mbit_s,DELTA_K480_no_ESKF_bound_Mbit_s
247,247,200,414.208,36.71296,225.46047999999996,414.208,480.0,0.005,1.0,34.816,224.512,414.208
248,248,200,415.8848,36.86144,226.37311999999997,415.8848,480.0,0.005,1.0,34.9568,225.4208,415.8848
249,249,200,417.5616,37.00992,227.28576,417.5616,480.0,0.005,1.0,35.0976,226.3296,417.5616
250,250,200,419.2384,37.1584,228.1984,419.2384,480.0,0.005,1.0,35.2384,227.2384,419.2384
251,251,200,420.9152,37.30688,229.11104,420.9152,480.0,0.005,1.0,35.3792,228.1472,420.9152
252,252,200,422.592,37.45536,230.02367999999996,422.592,480.0,0.005,1.0,35.52,229.056,422.592
253,253,200,424.2688,37.60384,230.93631999999997,424.2688,480.0,0.005,1.0,35.6608,229.9648,424.2688
254,254,200,425.9456,37.75232,231.84896,425.9456,480.0,0.005,1.0,35.8016,230.8736,425.9456
255,255,200,427.6224,37.9008,232.7616,427.6224,480.0,0.005,1.0,35.9424,231.7824,427.6224
256,256,200,429.2992,38.04928,233.67424,429.2992,480.0,0.005,1.0,36.0832,232.6912,429.2992
257,257,200,430.976,38.19776,234.58687999999998,430.976,480.0,0.005,1.0,36.224,233.6,430.976
258,258,200,432.6528,38.34624,235.49951999999996,432.6528,480.0,0.005,1.0,36.3648,234.5088,432.6528
259,259,200,434.3296,38.49472,236.41216,434.3296,480.0,0.005,1.0,36.5056,235.4176,434.3296
260,260,200,436.0064,38.6432,237.3248,436.0064,480.0,0.005,1.0,36.6464,236.3264,436.0064
261,261,200,437.6832,38.79168,238.23744,437.6832,480.0,0.005,1.0,36.7872,237.2352,437.6832
262,262,200,439.36,38.94016,239.15007999999997,439.36,480.0,0.005,1.0,36.928,238.144,439.36
263,263,200,441.0368,39.08864,240.06271999999996,441.0368,480.0,0.005,1.0,37.0688,239.0528,441.0368
264,264,200,442.7136,39.23712,240.97536,442.7136,480.0,0.005,1.0,37.2096,239.9616,442.7136
265,265,200,444.3904,39.3856,241.888,444.3904,480.0,0.005,1.0,37.3504,240.8704,444.3904
266,266,200,446.0672,39.53408,242.80064,446.0672,480.0,0.005,1.0,37.4912,241.7792,446.0672
267,267,200,447.744,39.68256,243.71327999999997,447.744,480.0,0.005,1.0,37.632,242.688,447.744
268,268,200,449.4208,39.83104,244.62591999999998,449.4208,480.0,0.005,1.0,37.7728,243.5968,449.4208
269,269,200,451.0976,39.97952,245.53856,451.0976,480.0,0.005,1.0,37.9136,244.5056,451.0976
270,270,200,452.7744,40.128,246.4512,452.7744,480.0,0.005,1.0,38.0544,245.4144,452.7744
271,271,200,454.4512,40.27648,247.36384,454.4512,480.0,0.005,1.0,38.1952,246.3232,454.4512
272,272,200,456.128,40.42496,248.27647999999996,456.128,480.0,0.005,1.0,38.336,247.232,456.128
273,273,200,457.8048,40.57344,249.18911999999997,457.8048,480.0,0.005,1.0,38.4768,248.1408,457.8048
274,274,200,459.4816,40.72192,250.10176,459.4816,480.0,0.005,1.0,38.6176,249.0496,459.4816
275,275,200,461.1584,40.8704,251.0144,461.1584,480.0,0.005,1.0,38.7584,249.9584,461.1584
276,276,200,462.8352,41.01888,251.92704,462.8352,480.0,0.005,1.0,38.8992,250.8672,462.8352
277,277,200,464.512,41.16736,252.83967999999996,464.512,480.0,0.005,1.0,39.04,251.776,464.512
278,278,200,466.1888,41.31584,253.75231999999997,466.1888,480.0,0.005,1.0,39.1808,252.6848,466.1888
279,279,200,467.8656,41.46432,254.66496,467.8656,480.0,0.005,1.0,39.3216,253.5936,467.8656
280,280,200,469.5424,41.6128,255.5776,469.5424,480.0,0.005,1.0,39.4624,254.5024,469.5424
281,281,200,471.2192,41.76128,256.49024,471.2192,480.0,0.005,1.0,39.6032,255.4112,471.2192
282,282,200,472.896,41.90976,257.40288,472.896,480.0,0.005,1.0,39.744,256.32,472.896
283,283,200,474.5728,42.05824,258.31552,474.5728,480.0,0.005,1.0,39.8848,257.2288,474.5728
284,284,200,476.2496,42.20672,259.22816,476.2496,480.0,0.005,1.0,40.0256,258.1376,476.2496
285,285,200,477.9264,42.3552,260.1408,477.9264,480.0,0.005,1.0,40.1664,259.0464,477.9264
286,286,200,479.6032,42.50368,261.05344,479.6032,480.0,0.005,1.0,40.3072,259.9552,479.6032
287,287,200,481.28,42.65216,261.96608,481.28,480.0,0.005,1.0,40.448,260.864,481.28
288,288,200,482.9568,42.80064,262.87872,482.9568,480.0,0.005,1.0,40.5888,261.7728,482.9568
289,289,200,484.6336,42.94912,263.79136,484.6336,480.0,0.005,1.0,40.7296,262.6816,484.6336
290,290,200,486.3104,43.0976,264.704,486.3104,480.0,0.005,1.0,40.8704,263.5904,486.3104
291,291,200,487.9872,43.24608,265.61664,487.9872,480.0,0.005,1.0,41.0112,264.4992,487.9872
292,292,200,489.664,43.39456,266.52927999999997,489.664,480.0,0.005,1.0,41.152,265.408,489.664
293,293,200,491.3408,43.54304,267.44192,491.3408,480.0,0.005,1.0,41.2928,266.3168,491.3408
294,294,200,493.0176,43.69152,268.35456,493.0176,480.0,0.005,1.0,41.4336,267.2256,493.0176
295,295,200,494.6944,43.84,269.2672,494.6944,480.0,0.005,1.0,41.5744,268.1344,494.6944
296,296,200,496.3712,43.98848,270.17984,496.3712,480.0,0.005,1.0,41.7152,269.0432,496.3712
297,297,200,498.048,44.13696,271.09248,498.048,480.0,0.005,1.0,41.856,269.952,498.048
298,298,200,499.7248,44.28544,272.00512,499.7248,480.0,0.005,1.0,41.9968,270.8608,499.7248
299,299,200,501.4016,44.43392,272.91776,501.4016,480.0,0.005,1.0,42.1376,271.7696,501.4016
300,300,200,503.0784,44.5824,273.8304,503.0784,480.0,0.005,1.0,42.2784,272.6784,503.0784
301,301,200,504.7552,44.73088,274.74304,504.7552,480.0,0.005,1.0,42.4192,273.5872,504.7552
302,302,200,506.432,44.87936,275.65568,506.432,480.0,0.005,1.0,42.56,274.496,506.432
303,303,200,508.1088,45.02784,276.56832,508.1088,480.0,0.005,1.0,42.7008,275.4048,508.1088
304,304,200,509.7856,45.17632,277.48096,509.7856,480.0,0.005,1.0,42.8416,276.3136,509.7856
305,305,200,511.4624,45.3248,278.3936,511.4624,480.0,0.005,1.0,42.9824,277.2224,511.4624
306,306,200,513.1392,45.47328,279.30624,513.1392,480.0,0.005,1.0,43.1232,278.1312,513.1392
307,307,200,514.816,45.62176,280.21888,514.816,480.0,0.005,1.0,43.264,279.04,514.816
308,308,200,516.4928,45.77024,281.13152,516.4928,480.0,0.005,1.0,43.4048,279.9488,516.4928
309,309,200,518.1696,45.91872,282.04416,518.1696,480.0,0.005,1.0,43.5456,280.8576,518.1696
310,310,200,519.8464,46.0672,282.9568,519.8464,480.0,0.005,1.0,43.6864,281.7664,519.8464
311,311,200,521.5232,46.21568,283.86944,521.5232,480.0,0.005,1.0,43.8272,282.6752,521.5232
312,312,200,523.2,46.36416,284.78208,523.2,480.0,0.005,1.0,43.968,283.584,523.2
313,313,200,524.8768,46.51264,285.69472,524.8768,480.0,0.005,1.0,44.1088,284.4928,524.8768
314,314,200,526.5536,46.66112,286.60736,526.5536,480.0,0.005,1.0,44.2496,285.4016,526.5536
315,315,200,528.2304,46.8096,287.52,528.2304,480.0,0.005,1.0,44.3904,286.3104,528.2304
316,316,200,529.9072,46.95808,288.43264,529.9072,480.0,0.005,1.0,44.5312,287.2192,529.9072
317,317,200,531.584,47.10656,289.34528,531.584,480.0,0.005,1.0,44.672,288.128,531.584
318,318,200,533.2608,47.25504,290.25792,533.2608,480.0,0.005,1.0,44.8128,289.0368,533.2608
319,319,200,534.9376,47.40352,291.17056,534.9376,480.0,0.005,1.0,44.9536,289.9456,534.9376
320,320,200,536.6144,47.552,292.0832,536.6144,480.0,0.005,1.0,45.0944,290.8544,536.6144
321,321,200,538.2912,47.70048,292.99584,538.2912,480.0,0.005,1.0,45.2352,291.7632,538.2912
322,322,200,539.968,47.84896,293.90848,539.968,480.0,0.005,1.0,45.376,292.672,539.968
323,323,200,541.6448,47.99744,294.82112,541.6448,480.0,0.005,1.0,45.5168,293.5808,541.6448
324,324,200,543.3216,48.14592,295.73376,543.3216,480.0,0.005,1.0,45.6576,294.4896,543.3216
325,325,200,544.9984,48.2944,296.6464,544.9984,480.0,0.005,1.0,45.7984,295.3984,544.9984
326,326,200,546.6752,48.44288,297.55904,546.6752,480.0,0.005,1.0,45.9392,296.3072,546.6752
327,327,200,548.352,48.59136,298.47168,548.352,480.0,0.005,1.0,46.08,297.216,548.352
328,328,200,550.0288,48.73984,299.38432,550.0288,480.0,0.005,1.0,46.2208,298.1248,550.0288
329,329,200,551.7056,48.88832,300.29696,551.7056,480.0,0.005,1.0,46.3616,299.0336,551.7056
330,330,200,553.3824,49.0368,301.2096,553.3824,480.0,0.005,1.0,46.5024,299.9424,553.3824
331,331,200,555.0592,49.18528,302.12224,555.0592,480.0,0.005,1.0,46.6432,300.8512,555.0592
332,332,200,556.736,49.33376,303.03488,556.736,480.0,0.005,1.0,46.784,301.76,556.736
333,333,200,558.4128,49.48224,303.94752,558.4128,480.0,0.005,1.0,46.9248,302.6688,558.4128
334,334,200,560.0896,49.63072,304.86016,560.0896,480.0,0.005,1.0,47.0656,303.5776,560.0896
335,335,200,561.7664,49.7792,305.7728,561.7664,480.0,0.005,1.0,47.2064,304.4864,561.7664
336,336,200,563.4432,49.92768,306.68544,563.4432,480.0,0.005,1.0,47.3472,305.3952,563.4432
337,337,200,565.12,50.07616,307.59808,565.12,480.0,0.005,1.0,47.488,306.304,565.12
338,338,200,566.7968,50.22464,308.51072,566.7968,480.0,0.005,1.0,47.6288,307.2128,566.7968
339,339,200,568.4736,50.37312,309.42336,568.4736,480.0,0.005,1.0,47.7696,308.1216,568.4736
340,340,200,570.1504,50.5216,310.336,570.1504,480.0,0.005,1.0,47.9104,309.0304,570.1504
341,341,200,571.8272,50.67008,311.24864,571.8272,480.0,0.005,1.0,48.0512,309.9392,571.8272
342,342,200,573.504,50.81856,312.16128,573.504,480.0,0.005,1.0,48.192,310.848,573.504
343,343,200,575.1808,50.96704,313.07392,575.1808,480.0,0.005,1.0,48.3328,311.7568,575.1808
344,344,200,576.8576,51.11552,313.98656,576.8576,480.0,0.005,1.0,48.4736,312.6656,576.8576
345,345,200,578.5344,51.264,314.8992,578.5344,480.0,0.005,1.0,48.6144,313.5744,578.5344
346,346,200,580.2112,51.41248,315.81184,580.2112,480.0,0.005,1.0,48.7552,314.4832,580.2112
347,347,200,581.888,51.56096,316.72448,581.888,480.0,0.005,1.0,48.896,315.392,581.888
348,348,200,583.5648,51.70944,317.63712,583.5648,480.0,0.005,1.0,49.0368,316.3008,583.5648
349,349,200,585.2416,51.85792,318.54976,585.2416,480.0,0.005,1.0,49.1776,317.2096,585.2416
350,350,200,586.9184,52.0064,319.4624,586.9184,480.0,0.005,1.0,49.3184,318.1184,586.9184
351,351,200,588.5952,52.15488,320.37504,588.5952,480.0,0.005,1.0,49.4592,319.0272,588.5952
352,352,200,590.272,52.30336,321.28768,590.272,480.0,0.005,1.0,49.6,319.936,590.272
353,353,200,591.9488,52.45183999999999,322.20032,591.9488,480.0,0.005,1.0,49.7408,320.8448,591.9488
354,354,200,593.6256,52.60031999999999,323.11296,593.6256,480.0,0.005,1.0,49.8816,321.7536,593.6256
355,355,200,595.3024,52.7488,324.0256,595.3024,480.0,0.005,1.0,50.0224,322.6624,595.3024
356,356,200,596.9792,52.89728000000001,324.93824,596.9792,480.0,0.005,1.0,50.1632,323.5712,596.9792
357,357,200,598.656,53.04576,325.85088,598.656,480.0,0.005,1.0,50.304,324.48,598.656
358,358,200,600.3328,53.19423999999999,326.76352,600.3328,480.0,0.005,1.0,50.4448,325.3888,600.3328
359,359,200,602.0096,53.34271999999999,327.67616,602.0096,480.0,0.005,1.0,50.5856,326.2976,602.0096
360,360,200,603.6864,53.4912,328.5888,603.6864,480.0,0.005,1.0,50.7264,327.2064,603.6864
361,361,200,605.3632,53.639680000000006,329.50144,605.3632,480.0,0.005,1.0,50.8672,328.1152,605.3632
362,362,200,607.04,53.78816,330.41408,607.04,480.0,0.005,1.0,51.008,329.024,607.04
363,363,200,608.7168,53.93663999999999,331.32672,608.7168,480.0,0.005,1.0,51.1488,329.9328,608.7168
364,364,200,610.3936,54.08511999999999,332.23936,610.3936,480.0,0.005,1.0,51.2896,330.8416,610.3936
365,365,200,612.0704,54.2336,333.152,612.0704,480.0,0.005,1.0,51.4304,331.7504,612.0704
366,366,200,613.7472,54.38208000000001,334.06464,613.7472,480.0,0.005,1.0,51.5712,332.6592,613.7472
367,367,200,615.424,54.53056,334.97728,615.424,480.0,0.005,1.0,51.712,333.568,615.424
368,368,200,617.1008,54.67903999999999,335.88992,617.1008,480.0,0.005,1.0,51.8528,334.4768,617.1008
369,369,200,618.7776,54.82751999999999,336.80256,618.7776,480.0,0.005,1.0,51.9936,335.3856,618.7776
370,370,200,620.4544,54.976,337.7152,620.4544,480.0,0.005,1.0,52.1344,336.2944,620.4544
371,371,200,622.1312,55.12447999999999,338.62784,622.1312,480.0,0.005,1.0,52.2752,337.2032,622.1312
372,372,200,623.808,55.27296,339.54048,623.808,480.0,0.005,1.0,52.416,338.112,623.808
373,373,200,625.4848,55.42144,340.45312,625.4848,480.0,0.005,1.0,52.5568,339.0208,625.4848
374,374,200,627.1616,55.56991999999999,341.36576,627.1616,480.0,0.005,1.0,52.6976,339.9296,627.1616
375,375,200,628.8384,55.7184,342.2784,628.8384,480.0,0.005,1.0,52.8384,340.8384,628.8384
376,376,200,630.5152,55.866879999999995,343.19104,630.5152,480.0,0.005,1.0,52.9792,341.7472,630.5152
377,377,200,632.192,56.01536,344.10368,632.192,480.0,0.005,1.0,53.12,342.656,632.192
378,378,200,633.8688,56.16384,345.01632,633.8688,480.0,0.005,1.0,53.2608,343.5648,633.8688
379,379,200,635.5456,56.31231999999999,345.92896,635.5456,480.0,0.005,1.0,53.4016,344.4736,635.5456
380,380,200,637.2224,56.4608,346.8416,637.2224,480.0,0.005,1.0,53.5424,345.3824,637.2224
381,381,200,638.8992,56.60927999999999,347.75424,638.8992,480.0,0.005,1.0,53.6832,346.2912,638.8992
382,382,200,640.576,56.75776,348.66688,640.576,480.0,0.005,1.0,53.824,347.2,640.576
383,383,200,642.2528,56.90624,349.57952,642.2528,480.0,0.005,1.0,53.9648,348.1088,642.2528
384,384,200,643.9296,57.05471999999999,350.49215999999996,643.9296,480.0,0.005,1.0,54.1056,349.0176,643.9296
385,385,200,645.6064,57.2032,351.4048,645.6064,480.0,0.005,1.0,54.2464,349.9264,645.6064
386,386,200,647.2832,57.351679999999995,352.31744,647.2832,480.0,0.005,1.0,54.3872,350.8352,647.2832
387,387,200,648.96,57.50016,353.23008,648.96,480.0,0.005,1.0,54.528,351.744,648.96
388,388,200,650.6368,57.64864,354.14272,650.6368,480.0,0.005,1.0,54.6688,352.6528,650.6368
389,389,200,652.3136,57.79711999999999,355.05535999999995,652.3136,480.0,0.005,1.0,54.8096,353.5616,652.3136
390,390,200,653.9904,57.9456,355.968,653.9904,480.0,0.005,1.0,54.9504,354.4704,653.9904
391,391,200,655.6672,58.09407999999999,356.88064,655.6672,480.0,0.005,1.0,55.0912,355.3792,655.6672
392,392,200,657.344,58.24256,357.79328,657.344,480.0,0.005,1.0,55.232,356.288,657.344
393,393,200,659.0208,58.39104,358.70592,659.0208,480.0,0.005,1.0,55.3728,357.1968,659.0208
394,394,200,660.6976,58.539519999999996,359.61855999999995,660.6976,480.0,0.005,1.0,55.5136,358.1056,660.6976
395,395,200,662.3744,58.688,360.5312,662.3744,480.0,0.005,1.0,55.6544,359.0144,662.3744
396,396,200,664.0512,58.836479999999995,361.44384,664.0512,480.0,0.005,1.0,55.7952,359.9232,664.0512
397,397,200,665.728,58.98496,362.35648,665.728,480.0,0.005,1.0,55.936,360.832,665.728
398,398,200,667.4048,59.13344,363.26912,667.4048,480.0,0.005,1.0,56.0768,361.7408,667.4048
399,399,200,669.0816,59.28191999999999,364.18175999999994,669.0816,480.0,0.005,1.0,56.2176,362.6496,669.0816
400,400,200,670.7584,59.4304,365.0944,670.7584,480.0,0.005,1.0,56.3584,363.5584,670.7584
401,401,200,672.4352,59.57887999999999,366.00704,672.4352,480.0,0.005,1.0,56.4992,364.4672,672.4352
402,402,200,674.112,59.72736,366.91968,674.112,480.0,0.005,1.0,56.64,365.376,674.112
403,403,200,675.7888,59.87584,367.83232,675.7888,480.0,0.005,1.0,56.7808,366.2848,675.7888
404,404,200,677.4656,60.024319999999996,368.74495999999994,677.4656,480.0,0.005,1.0,56.9216,367.1936,677.4656
405,405,200,679.1424,60.1728,369.6576,679.1424,480.0,0.005,1.0,57.0624,368.1024,679.1424
406,406,200,680.8192,60.321279999999994,370.57024,680.8192,480.0,0.005,1.0,57.2032,369.0112,680.8192
407,407,200,682.496,60.46976,371.48288,682.496,480.0,0.005,1.0,57.344,369.92,682.496
408,408,200,684.1728,60.61824,372.39552,684.1728,480.0,0.005,1.0,57.4848,370.8288,684.1728
409,409,200,685.8496,60.76671999999999,373.30815999999993,685.8496,480.0,0.005,1.0,57.6256,371.7376,685.8496
410,410,200,687.5264,60.9152,374.2208,687.5264,480.0,0.005,1.0,57.7664,372.6464,687.5264
411,411,200,689.2032,61.06367999999999,375.13344,689.2032,480.0,0.005,1.0,57.9072,373.5552,689.2032
412,412,200,690.88,61.21216,376.04608,690.88,480.0,0.005,1.0,58.048,374.464,690.88
413,413,200,692.5568,61.36064,376.95872,692.5568,480.0,0.005,1.0,58.1888,375.3728,692.5568
414,414,200,694.2336,61.509119999999996,377.8713599999999,694.2336,480.0,0.005,1.0,58.3296,376.2816,694.2336
415,415,200,695.9104,61.6576,378.784,695.9104,480.0,0.005,1.0,58.4704,377.1904,695.9104
416,416,200,697.5872,61.806079999999994,379.69664,697.5872,480.0,0.005,1.0,58.6112,378.0992,697.5872
417,417,200,699.264,61.95456,380.60928,699.264,480.0,0.005,1.0,58.752,379.008,699.264
418,418,200,700.9408,62.10304,381.52192,700.9408,480.0,0.005,1.0,58.8928,379.9168,700.9408
419,419,200,702.6176,62.25151999999999,382.4345599999999,702.6176,480.0,0.005,1.0,59.0336,380.8256,702.6176
420,420,200,704.2944,62.4,383.3472,704.2944,480.0,0.005,1.0,59.1744,381.7344,704.2944
421,421,200,705.9712,62.54847999999999,384.25984,705.9712,480.0,0.005,1.0,59.3152,382.6432,705.9712
422,422,200,707.648,62.69696,385.17248,707.648,480.0,0.005,1.0,59.456,383.552,707.648
423,423,200,709.3248,62.84544,386.08512,709.3248,480.0,0.005,1.0,59.5968,384.4608,709.3248
424,424,200,711.0016,62.993919999999996,386.9977599999999,711.0016,480.0,0.005,1.0,59.7376,385.3696,711.0016
425,425,200,712.6784,63.1424,387.9104,712.6784,480.0,0.005,1.0,59.8784,386.2784,712.6784
426,426,200,714.3552,63.290879999999994,388.82304,714.3552,480.0,0.005,1.0,60.0192,387.1872,714.3552
427,427,200,716.032,63.43936,389.73568,716.032,480.0,0.005,1.0,60.16,388.096,716.032
428,428,200,717.7088,63.58784,390.64832,717.7088,480.0,0.005,1.0,60.3008,389.0048,717.7088
429,429,200,719.3856,63.73631999999999,391.56095999999997,719.3856,480.0,0.005,1.0,60.4416,389.9136,719.3856
430,430,200,721.0624,63.8848,392.4736,721.0624,480.0,0.005,1.0,60.5824,390.8224,721.0624
431,431,200,722.7392,64.03327999999999,393.38624,722.7392,480.0,0.005,1.0,60.7232,391.7312,722.7392
432,432,200,724.416,64.18176,394.29888,724.416,480.0,0.005,1.0,60.864,392.64,724.416
433,433,200,726.0928,64.33024,395.21152,726.0928,480.0,0.005,1.0,61.0048,393.5488,726.0928
434,434,200,727.7696,64.47872,396.12415999999996,727.7696,480.0,0.005,1.0,61.1456,394.4576,727.7696
435,435,200,729.4464,64.6272,397.0368,729.4464,480.0,0.005,1.0,61.2864,395.3664,729.4464
436,436,200,731.1232,64.77568,397.94944,731.1232,480.0,0.005,1.0,61.4272,396.2752,731.1232
437,437,200,732.8,64.92416,398.86208,732.8,480.0,0.005,1.0,61.568,397.184,732.8
438,438,200,734.4768,65.07264,399.77472,734.4768,480.0,0.005,1.0,61.7088,398.0928,734.4768
439,439,200,736.1536,65.22112,400.68735999999996,736.1536,480.0,0.005,1.0,61.8496,399.0016,736.1536
440,440,200,737.8304,65.3696,401.6,737.8304,480.0,0.005,1.0,61.9904,399.9104,737.8304
441,441,200,739.5072,65.51808,402.51264,739.5072,480.0,0.005,1.0,62.1312,400.8192,739.5072
442,442,200,741.184,65.66656,403.42528,741.184,480.0,0.005,1.0,62.272,401.728,741.184
443,443,200,742.8608,65.81504,404.33792,742.8608,480.0,0.005,1.0,62.4128,402.6368,742.8608
444,444,200,744.5376,65.96351999999999,405.25055999999995,744.5376,480.0,0.005,1.0,62.5536,403.5456,744.5376
445,445,200,746.2144,66.112,406.1632,746.2144,480.0,0.005,1.0,62.6944,404.4544,746.2144
446,446,200,747.8912,66.26047999999999,407.07584,747.8912,480.0,0.005,1.0,62.8352,405.3632,747.8912
447,447,200,749.568,66.40896,407.98848,749.568,480.0,0.005,1.0,62.976,406.272,749.568
448,448,200,751.2448,66.55744,408.90112,751.2448,480.0,0.005,1.0,63.1168,407.1808,751.2448
449,449,200,752.9216,66.70591999999999,409.81375999999995,752.9216,480.0,0.005,1.0,63.2576,408.0896,752.9216
450,450,200,754.5984,66.8544,410.7264,754.5984,480.0,0.005,1.0,63.3984,408.9984,754.5984
451,451,200,756.2752,67.00287999999999,411.63904,756.2752,480.0,0.005,1.0,63.5392,409.9072,756.2752
452,452,200,757.952,67.15136,412.55168,757.952,480.0,0.005,1.0,63.68,410.816,757.952
453,453,200,759.6288,67.29984,413.46432,759.6288,480.0,0.005,1.0,63.8208,411.7248,759.6288
454,454,200,761.3056,67.44832,414.37695999999994,761.3056,480.0,0.005,1.0,63.9616,412.6336,761.3056
455,455,200,762.9824,67.5968,415.2896,762.9824,480.0,0.005,1.0,64.1024,413.5424,762.9824
456,456,200,764.6592,67.74528,416.20224,764.6592,480.0,0.005,1.0,64.2432,414.4512,764.6592
457,457,200,766.336,67.89376,417.11488,766.336,480.0,0.005,1.0,64.384,415.36,766.336
458,458,200,768.0128,68.04224,418.02752,768.0128,480.0,0.005,1.0,64.5248,416.2688,768.0128
459,459,200,769.6896,68.19072,418.94015999999993,769.6896,480.0,0.005,1.0,64.6656,417.1776,769.6896
460,460,200,771.3664,68.3392,419.8528,771.3664,480.0,0.005,1.0,64.8064,418.0864,771.3664
461,461,200,773.0432,68.48768,420.76544000000007,773.0432,480.0,0.005,1.0,64.9472,418.9952,773.0432
462,462,200,774.72,68.63616,421.67808,774.72,480.0,0.005,1.0,65.088,419.904,774.72
463,463,200,776.3968,68.78464,422.59072,776.3968,480.0,0.005,1.0,65.2288,420.8128,776.3968
464,464,200,778.0736,68.93312,423.50335999999993,778.0736,480.0,0.005,1.0,65.3696,421.7216,778.0736
465,465,200,779.7504,69.0816,424.416,779.7504,480.0,0.005,1.0,65.5104,422.6304,779.7504
466,466,200,781.4272,69.23008,425.32863999999995,781.4272,480.0,0.005,1.0,65.6512,423.5392,781.4272
467,467,200,783.104,69.37856,426.24128,783.104,480.0,0.005,1.0,65.792,424.448,783.104
468,468,200,784.7808,69.52704,427.15392,784.7808,480.0,0.005,1.0,65.9328,425.3568,784.7808
469,469,200,786.4576,69.67552,428.0665599999999,786.4576,480.0,0.005,1.0,66.0736,426.2656,786.4576
470,470,200,788.1344,69.824,428.9792,788.1344,480.0,0.005,1.0,66.2144,427.1744,788.1344
471,471,200,789.8112,69.97248,429.89183999999995,789.8112,480.0,0.005,1.0,66.3552,428.0832,789.8112
472,472,200,791.488,70.12096,430.80448,791.488,480.0,0.005,1.0,66.496,428.992,791.488
473,473,200,793.1648,70.26944,431.71712,793.1648,480.0,0.005,1.0,66.6368,429.9008,793.1648
474,474,200,794.8416,70.41792,432.6297599999999,794.8416,480.0,0.005,1.0,66.7776,430.8096,794.8416
475,475,200,796.5184,70.5664,433.5424,796.5184,480.0,0.005,1.0,66.9184,431.7184,796.5184
476,476,200,798.1952,70.71488,434.45503999999994,798.1952,480.0,0.005,1.0,67.0592,432.6272,798.1952
477,477,200,799.872,70.86336,435.36768,799.872,480.0,0.005,1.0,67.2,433.536,799.872
478,478,200,801.5488,71.01184,436.28032,801.5488,480.0,0.005,1.0,67.3408,434.4448,801.5488
479,479,200,803.2256,71.16032,437.1929599999999,803.2256,480.0,0.005,1.0,67.4816,435.3536,803.2256
480,480,200,804.9024,71.3088,438.1056,804.9024,480.0,0.005,1.0,67.6224,436.2624,804.9024
481,481,200,806.5792,71.45728,439.01823999999993,806.5792,480.0,0.005,1.0,67.7632,437.1712,806.5792
482,482,200,808.256,71.60576,439.93088,808.256,480.0,0.005,1.0,67.904,438.08,808.256
483,483,200,809.9328,71.75424,440.84352,809.9328,480.0,0.005,1.0,68.0448,438.9888,809.9328
484,484,200,811.6096,71.90272,441.75615999999997,811.6096,480.0,0.005,1.0,68.1856,439.8976,811.6096
485,485,200,813.2864,72.0512,442.6688,813.2864,480.0,0.005,1.0,68.3264,440.8064,813.2864
486,486,200,814.9632,72.19968,443.58143999999993,814.9632,480.0,0.005,1.0,68.4672,441.7152,814.9632
487,487,200,816.64,72.34816,444.49408,816.64,480.0,0.005,1.0,68.608,442.624,816.64
488,488,200,818.3168,72.49664,445.40672,818.3168,480.0,0.005,1.0,68.7488,443.5328,818.3168
489,489,200,819.9936,72.64512,446.31935999999996,819.9936,480.0,0.005,1.0,68.8896,444.4416,819.9936
490,490,200,821.6704,72.7936,447.232,821.6704,480.0,0.005,1.0,69.0304,445.3504,821.6704
491,491,200,823.3472,72.94208,448.1446399999999,823.3472,480.0,0.005,1.0,69.1712,446.2592,823.3472
492,492,200,825.024,73.09056,449.05728,825.024,480.0,0.005,1.0,69.312,447.168,825.024
493,493,200,826.7008,73.23904,449.96992,826.7008,480.0,0.005,1.0,69.4528,448.0768,826.7008
494,494,200,828.3776,73.38752,450.88255999999996,828.3776,480.0,0.005,1.0,69.5936,448.9856,828.3776
495,495,200,830.0544,73.536,451.7952,830.0544,480.0,0.005,1.0,69.7344,449.8944,830.0544
496,496,200,831.7312,73.68448,452.7078399999999,831.7312,480.0,0.005,1.0,69.8752,450.8032,831.7312
497,497,200,833.408,73.83296,453.62048,833.408,480.0,0.005,1.0,70.016,451.712,833.408
498,498,200,835.0848,73.98144,454.53312,835.0848,480.0,0.005,1.0,70.1568,452.6208,835.0848
499,499,200,836.7616,74.12992,455.44575999999995,836.7616,480.0,0.005,1.0,70.2976,453.5296,836.7616
500,500,200,838.4384,74.2784,456.3584,838.4384,480.0,0.005,1.0,70.4384,454.4384,838.4384
501,501,200,840.1152,74.42688,457.2710399999999,840.1152,480.0,0.005,1.0,70.5792,455.3472,840.1152
502,502,200,841.792,74.57536,458.18368,841.792,480.0,0.005,1.0,70.72,456.256,841.792
503,503,200,843.4688,74.72384,459.09632,843.4688,480.0,0.005,1.0,70.8608,457.1648,843.4688
504,504,200,845.1456,74.87232,460.00895999999995,845.1456,480.0,0.005,1.0,71.0016,458.0736,845.1456
505,505,200,846.8224,75.0208,460.9216,846.8224,480.0,0.005,1.0,71.1424,458.9824,846.8224
506,506,200,848.4992,75.16928,461.83423999999997,848.4992,480.0,0.005,1.0,71.2832,459.8912,848.4992
507,507,200,850.176,75.31776,462.74688,850.176,480.0,0.005,1.0,71.424,460.8,850.176
