N,M_configured_slots,frequency_Hz,FULL_Mbit_s,DELTA_K0_Mbit_s,DELTA_K240_Mbit_s,DELTA_K480_Mbit_s,USB_raw_Mbit_s,q_ESKF_total,T_sync_s,DELTA_K0_no_ESKF_bound_Mbit_s,DELTA_K240_no_ESKF_bound_Mbit_s,DELTA_K480_no_ESKF_bound_Mbit_s
57,57,200,95.616,8.50176,52.05888,95.616,480.0,0.005,1.0,8.064,51.84,95.616
58,58,200,97.2928,8.65024,52.97151999999999,97.2928,480.0,0.005,1.0,8.2048,52.7488,97.2928
59,59,200,98.9696,8.79872,53.88416,98.9696,480.0,0.005,1.0,8.3456,53.6576,98.9696
60,60,200,100.6464,8.9472,54.7968,100.6464,480.0,0.005,1.0,8.4864,54.5664,100.6464
61,61,200,102.3232,9.09568,55.70944,102.3232,480.0,0.005,1.0,8.6272,55.4752,102.3232
62,62,200,104.0,9.24416,56.62207999999999,104.0,480.0,0.005,1.0,8.768,56.384,104.0
63,63,200,105.6768,9.39264,57.53471999999999,105.6768,480.0,0.005,1.0,8.9088,57.2928,105.6768
64,64,200,107.3536,9.54112,58.44736,107.3536,480.0,0.005,1.0,9.0496,58.2016,107.3536
65,65,200,109.0304,9.6896,59.36,109.0304,480.0,0.005,1.0,9.1904,59.1104,109.0304
66,66,200,110.7072,9.83808,60.27264,110.7072,480.0,0.005,1.0,9.3312,60.0192,110.7072
67,67,200,112.384,9.98656,61.18527999999999,112.384,480.0,0.005,1.0,9.472,60.928,112.384
68,68,200,114.0608,10.13504,62.097919999999995,114.0608,480.0,0.005,1.0,9.6128,61.8368,114.0608
69,69,200,115.7376,10.28352,63.01056,115.7376,480.0,0.005,1.0,9.7536,62.7456,115.7376
70,70,200,117.4144,10.432,63.9232,117.4144,480.0,0.005,1.0,9.8944,63.6544,117.4144
71,71,200,119.0912,10.58048,64.83584,119.0912,480.0,0.005,1.0,10.0352,64.5632,119.0912
72,72,200,120.768,10.72896,65.74847999999999,120.768,480.0,0.005,1.0,10.176,65.472,120.768
73,73,200,122.4448,10.87744,66.66112,122.4448,480.0,0.005,1.0,10.3168,66.3808,122.4448
74,74,200,124.1216,11.02592,67.57376,124.1216,480.0,0.005,1.0,10.4576,67.2896,124.1216
75,75,200,125.7984,11.1744,68.4864,125.7984,480.0,0.005,1.0,10.5984,68.1984,125.7984
76,76,200,127.4752,11.32288,69.39904,127.4752,480.0,0.005,1.0,10.7392,69.1072,127.4752
77,77,200,129.152,11.47136,70.31168,129.152,480.0,0.005,1.0,10.88,70.016,129.152
78,78,200,130.8288,11.61984,71.22432,130.8288,480.0,0.005,1.0,11.0208,70.9248,130.8288
79,79,200,132.5056,11.76832,72.13696,132.5056,480.0,0.005,1.0,11.1616,71.8336,132.5056
80,80,200,134.1824,11.9168,73.0496,134.1824,480.0,0.005,1.0,11.3024,72.7424,134.1824
81,81,200,135.8592,12.06528,73.96224,135.8592,480.0,0.005,1.0,11.4432,73.6512,135.8592
82,82,200,137.536,12.21376,74.87488,137.536,480.0,0.005,1.0,11.584,74.56,137.536
83,83,200,139.2128,12.36224,75.78752,139.2128,480.0,0.005,1.0,11.7248,75.4688,139.2128
84,84,200,140.8896,12.51072,76.70016,140.8896,480.0,0.005,1.0,11.8656,76.3776,140.8896
85,85,200,142.5664,12.6592,77.6128,142.5664,480.0,0.005,1.0,12.0064,77.2864,142.5664
86,86,200,144.2432,12.80768,78.52544,144.2432,480.0,0.005,1.0,12.1472,78.1952,144.2432
87,87,200,145.92,12.95616,79.43808,145.92,480.0,0.005,1.0,12.288,79.104,145.92
88,88,200,147.5968,13.10464,80.35072,147.5968,480.0,0.005,1.0,12.4288,80.0128,147.5968
89,89,200,149.2736,13.253120000000003,81.26336,149.2736,480.0,0.005,1.0,12.5696,80.9216,149.2736
90,90,200,150.9504,13.4016,82.176,150.9504,480.0,0.005,1.0,12.7104,81.8304,150.9504
91,91,200,152.6272,13.550079999999998,83.08864,152.6272,480.0,0.005,1.0,12.8512,82.7392,152.6272
92,92,200,154.304,13.698559999999999,84.00128,154.304,480.0,0.005,1.0,12.992,83.648,154.304
93,93,200,155.9808,13.84704,84.91392,155.9808,480.0,0.005,1.0,13.1328,84.5568,155.9808
94,94,200,157.6576,13.995519999999997,85.82656,157.6576,480.0,0.005,1.0,13.2736,85.4656,157.6576
95,95,200,159.3344,14.144,86.7392,159.3344,480.0,0.005,1.0,13.4144,86.3744,159.3344
96,96,200,161.0112,14.292479999999998,87.65183999999998,161.0112,480.0,0.005,1.0,13.5552,87.2832,161.0112
97,97,200,162.688,14.44096,88.56448,162.688,480.0,0.005,1.0,13.696,88.192,162.688
98,98,200,164.3648,14.58944,89.47712,164.3648,480.0,0.005,1.0,13.8368,89.1008,164.3648
99,99,200,166.0416,14.737919999999999,90.38976,166.0416,480.0,0.005,1.0,13.9776,90.0096,166.0416
100,100,200,167.7184,14.8864,91.3024,167.7184,480.0,0.005,1.0,14.1184,90.9184,167.7184
101,101,200,169.3952,15.034879999999998,92.21503999999999,169.3952,480.0,0.005,1.0,14.2592,91.8272,169.3952
102,102,200,171.072,15.18336,93.12768,171.072,480.0,0.005,1.0,14.4,92.736,171.072
103,103,200,172.7488,15.33184,94.04032,172.7488,480.0,0.005,1.0,14.5408,93.6448,172.7488
104,104,200,174.4256,15.480319999999999,94.95296,174.4256,480.0,0.005,1.0,14.6816,94.5536,174.4256
105,105,200,176.1024,15.6288,95.8656,176.1024,480.0,0.005,1.0,14.8224,95.4624,176.1024
106,106,200,177.7792,15.777279999999998,96.77823999999998,177.7792,480.0,0.005,1.0,14.9632,96.3712,177.7792
107,107,200,179.456,15.92576,97.69088,179.456,480.0,0.005,1.0,15.104,97.28,179.456
108,108,200,181.1328,16.07424,98.60352,181.1328,480.0,0.005,1.0,15.2448,98.1888,181.1328
109,109,200,182.8096,16.22272,99.51616,182.8096,480.0,0.005,1.0,15.3856,99.0976,182.8096
110,110,200,184.4864,16.3712,100.4288,184.4864,480.0,0.005,1.0,15.5264,100.0064,184.4864
111,111,200,186.1632,16.519679999999997,101.34143999999999,186.1632,480.0,0.005,1.0,15.6672,100.9152,186.1632
112,112,200,187.84,16.66816,102.25408,187.84,480.0,0.005,1.0,15.808,101.824,187.84
113,113,200,189.5168,16.81664,103.16672,189.5168,480.0,0.005,1.0,15.9488,102.7328,189.5168
114,114,200,191.1936,16.96512,104.07936,191.1936,480.0,0.005,1.0,16.0896,103.6416,191.1936
115,115,200,192.8704,17.1136,104.992,192.8704,480.0,0.005,1.0,16.2304,104.5504,192.8704
116,116,200,194.5472,17.26208,105.90463999999999,194.5472,480.0,0.005,1.0,16.3712,105.4592,194.5472
117,117,200,196.224,17.41056,106.81728,196.224,480.0,0.005,1.0,16.512,106.368,196.224
118,118,200,197.9008,17.55904,107.72992,197.9008,480.0,0.005,1.0,16.6528,107.2768,197.9008
119,119,200,199.5776,17.70752,108.64255999999999,199.5776,480.0,0.005,1.0,16.7936,108.1856,199.5776
120,120,200,201.2544,17.856,109.5552,201.2544,480.0,0.005,1.0,16.9344,109.0944,201.2544
121,121,200,202.9312,18.00448,110.46783999999998,202.9312,480.0,0.005,1.0,17.0752,110.0032,202.9312
122,122,200,204.608,18.15296,111.38048,204.608,480.0,0.005,1.0,17.216,110.912,204.608
123,123,200,206.2848,18.30144,112.29312,206.2848,480.0,0.005,1.0,17.3568,111.8208,206.2848
124,124,200,207.9616,18.44992,113.20575999999998,207.9616,480.0,0.005,1.0,17.4976,112.7296,207.9616
125,125,200,209.6384,18.5984,114.1184,209.6384,480.0,0.005,1.0,17.6384,113.6384,209.6384
126,126,200,211.3152,18.74688,115.03103999999999,211.3152,480.0,0.005,1.0,17.7792,114.5472,211.3152
127,127,200,212.992,18.89536,115.94368,212.992,480.0,0.005,1.0,17.92,115.456,212.992
128,128,200,214.6688,19.04384,116.85632,214.6688,480.0,0.005,1.0,18.0608,116.3648,214.6688
129,129,200,216.3456,19.19232,117.76895999999998,216.3456,480.0,0.005,1.0,18.2016,117.2736,216.3456
130,130,200,218.0224,19.3408,118.6816,218.0224,480.0,0.005,1.0,18.3424,118.1824,218.0224
131,131,200,219.6992,19.48928,119.59423999999999,219.6992,480.0,0.005,1.0,18.4832,119.0912,219.6992
132,132,200,221.376,19.63776,120.50688,221.376,480.0,0.005,1.0,18.624,120.0,221.376
133,133,200,223.0528,19.78624,121.41952,223.0528,480.0,0.005,1.0,18.7648,120.9088,223.0528
