N,M_configured_slots,frequency_Hz,FULL_Mbit_s,DELTA_K0_Mbit_s,DELTA_K240_Mbit_s,DELTA_K480_Mbit_s,USB_raw_Mbit_s,q_ESKF_total,T_sync_s,DELTA_K0_no_ESKF_bound_Mbit_s,DELTA_K240_no_ESKF_bound_Mbit_s,DELTA_K480_no_ESKF_bound_Mbit_s
2,4,400,6.8096,0.68096,3.7452800000000006,6.8096,480.0,0.0025,1.0,0.6656,3.7376,6.8096
2,4,425,7.2352,0.72256,3.978880000000001,7.2352,480.0,0.002352941176470588,1.0,0.7072,3.9712,7.2352
2,4,450,7.6608,0.76416,4.21248,7.6608,480.0,0.0022222222222222222,1.0,0.7488,4.2048,7.6608
2,4,475,8.0864,0.8057599999999999,4.446080000000001,8.0864,480.0,0.002105263157894737,1.0,0.7904,4.4384,8.0864
2,4,500,8.512,0.8473599999999999,4.679679999999999,8.512,480.0,0.002,1.0,0.832,4.672,8.512
2,4,525,8.9376,0.8889600000000001,4.91328,8.937600000000002,480.0,0.0019047619047619048,1.0,0.8736,4.9056,8.9376
2,4,550,9.3632,0.9305599999999998,5.14688,9.3632,480.0,0.0018181818181818182,1.0,0.9152,5.1392,9.3632
2,4,575,9.7888,0.9721599999999999,5.38048,9.7888,480.0,0.0017391304347826088,1.0,0.9568,5.3728,9.7888
2,4,600,10.2144,1.01376,5.61408,10.2144,480.0,0.0016666666666666668,1.0,0.9984,5.6064,10.2144
2,4,625,10.64,1.05536,5.847679999999999,10.64,480.0,0.0016,1.0,1.04,5.84,10.64
2,4,650,11.0656,1.09696,6.081279999999999,11.0656,480.0,0.0015384615384615385,1.0,1.0816,6.0736,11.0656
2,4,675,11.4912,1.13856,6.314879999999999,11.4912,480.0,0.0014814814814814814,1.0,1.1232,6.3072,11.4912
2,4,700,11.9168,1.18016,6.54848,11.9168,480.0,0.0014285714285714286,1.0,1.1648,6.5408,11.9168
3,4,0,0.0,0.0,0.0,0.0,480.0,0.0,1.0,0.0,0.0,0.0
3,4,25,0.6344,0.08144000000000001,0.35792,0.6344,480.0,0.04,1.0,0.0584,0.3464,0.6344
3,4,50,1.2688,0.13984,0.7043200000000002,1.2688,480.0,0.02,1.0,0.1168,0.6928,1.2688
3,4,75,1.9032,0.19824,1.05072,1.9032,480.0,0.013333333333333334,1.0,0.1752,1.0392,1.9032
3,4,100,2.5376,0.25664,1.39712,2.5376,480.0,0.01,1.0,0.2336,1.3856,2.5376
3,4,125,3.172,0.31504,1.7435199999999997,3.172,480.0,0.008,1.0,0.292,1.732,3.172
3,4,150,3.8064,0.37344000000000005,2.08992,3.8064,480.0,0.006666666666666667,1.0,0.3504,2.0784,3.8064
3,4,175,4.4408,0.43184000000000006,2.43632,4.4408,480.0,0.005714285714285714,1.0,0.4088,2.4248,4.4408
3,4,200,5.0752,0.49023999999999995,2.7827199999999994,5.0752,480.0,0.005,1.0,0.4672,2.7712,5.0752
3,4,225,5.7096,0.54864,3.12912,5.7096,480.0,0.0044444444444444444,1.0,0.5256,3.1176,5.7096
3,4,250,6.344,0.60704,3.4755200000000004,6.344,480.0,0.004,1.0,0.584,3.464,6.344
3,4,275,6.9784,0.6654399999999999,3.8219199999999995,6.9784,480.0,0.0036363636363636364,1.0,0.6424,3.8104,6.9784
3,4,300,7.6128,0.72384,4.1683200000000005,7.6128,480.0,0.0033333333333333335,1.0,0.7008,4.1568,7.6128
3,4,325,8.2472,0.7822399999999999,4.51472,8.2472,480.0,0.003076923076923077,1.0,0.7592,4.5032,8.2472
3,4,350,8.8816,0.8406399999999998,4.861119999999999,8.8816,480.0,0.002857142857142857,1.0,0.8176,4.8496,8.8816
3,4,375,9.516,0.89904,5.20752,9.516,480.0,0.0026666666666666666,1.0,0.876,5.196,9.516
3,4,400,10.1504,0.9574400000000001,5.55392,10.1504,480.0,0.0025,1.0,0.9344,5.5424,10.1504
3,4,425,10.7848,1.01584,5.900320000000001,10.7848,480.0,0.002352941176470588,1.0,0.9928,5.8888,10.7848
3,4,450,11.4192,1.07424,6.246720000000001,11.4192,480.0,0.0022222222222222222,1.0,1.0512,6.2352,11.4192
3,4,475,12.0536,1.13264,6.593120000000001,12.0536,480.0,0.002105263157894737,1.0,1.1096,6.5816,12.0536
3,4,500,12.688,1.19104,6.939519999999999,12.688,480.0,0.002,1.0,1.168,6.928,12.688
3,4,525,13.3224,1.2494400000000003,7.28592,13.322400000000004,480.0,0.0019047619047619048,1.0,1.2264,7.2744,13.3224
