N,frequency_Hz,DELTA_K0_SPI_Mbit_s,DELTA_K240_SPI_Mbit_s,DELTA_K480_SPI_Mbit_s,configured_raw_Mbit_s,hypothetical_raw_Mbit_s,q_ESKF_total,T_sync_s,DELTA_K0_no_ESKF_bound_SPI_Mbit_s,DELTA_K240_no_ESKF_bound_SPI_Mbit_s,DELTA_K480_no_ESKF_bound_SPI_Mbit_s
2,425,0.58656,3.842880000000001,7.0992,10.0,40.0,0.002352941176470588,1.0,0.5712,3.8352,7.0992
2,450,0.62016,4.06848,7.5168,10.0,40.0,0.0022222222222222222,1.0,0.6048,4.0608,7.5168
2,475,0.6537599999999999,4.294080000000001,7.9344,10.0,40.0,0.002105263157894737,1.0,0.6384,4.2864,7.9344
2,500,0.6873599999999999,4.519679999999999,8.352,10.0,40.0,0.002,1.0,0.672,4.512,8.352
2,525,0.7209600000000002,4.74528,8.769600000000002,10.0,40.0,0.0019047619047619048,1.0,0.7056,4.7376,8.7696
2,550,0.7545599999999999,4.97088,9.1872,10.0,40.0,0.0018181818181818182,1.0,0.7392,4.9632,9.1872
2,575,0.7881599999999999,5.19648,9.6048,10.0,40.0,0.0017391304347826088,1.0,0.7728,5.1888,9.6048
2,600,0.82176,5.42208,10.0224,10.0,40.0,0.0016666666666666668,1.0,0.8064,5.4144,10.0224
2,625,0.85536,5.647679999999999,10.44,10.0,40.0,0.0016,1.0,0.84,5.64,10.44
2,650,0.8889600000000001,5.873279999999999,10.8576,10.0,40.0,0.0015384615384615385,1.0,0.8736,5.8656,10.8576
2,675,0.92256,6.098879999999999,11.2752,10.0,40.0,0.0014814814814814814,1.0,0.9072,6.0912,11.2752
2,700,0.95616,6.32448,11.6928,10.0,40.0,0.0014285714285714286,1.0,0.9408,6.3168,11.6928
3,0,0.0,0.0,0.0,10.0,40.0,0.0,1.0,0.0,0.0,0.0
3,25,0.07344000000000002,0.34992,0.6264,10.0,40.0,0.04,1.0,0.0504,0.3384,0.6264
3,50,0.12383999999999999,0.6883200000000002,1.2528,10.0,40.0,0.02,1.0,0.1008,0.6768,1.2528
