combo,load,module_id,original_current_mA,selected_current_mA,current_change_mA,prior_accepted_voltage_V,selected_voltage_V,retained_SOURCE_V,prior_accepted_drop_mV,selected_drop_mV,original_configuration_sum_mA,compiled_configuration_sum_mA,new_full_configuration_repeat,retained_other_module_readings,source_basis,retest_record
M0-M1-M2,ZERO,M0,17.968,18.051,0.083,3.241,3.241,3.276,35.000,35.000,54.481,54.564,False,True,retained prior source; no newly measured SOURCE extrema,DATA/raw/canonical/power_experiment_records/targeted_retests/20260907_M0-M1-M2_ZERO_M0/record.json
M1-M2-M3,MAX,M3,19.721,19.263,-0.458,3.232,3.243,3.276,44.000,33.000,59.617,59.159,False,True,retained prior source; no newly measured SOURCE extrema,DATA/raw/canonical/power_experiment_records/targeted_retests/20260907_M1-M2-M3_MAX_M3/record.json
