row,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
R1,2,532,579,1309,1385,408,1,575,825,786,577,570,1839,4,898,1716
R2,0,618,680,1486,1551,460,0,656,947,910,680,704,2542,3,989,1740
R3,0,648,700,1679,1566,480,0,695,1028,906,676,620,1851,2,934,1557
R4,0,648,693,1552,1644,537,0,654,887,782,564,528,1602,2,811,1293
R5,0,635,674,1539,2042,529,0,667,909,875,602,575,1796,3,965,1485
R6,0,194,204,483,570,157,1,196,263,245,165,155,502,1,244,401
R7,1,544,583,1342,1506,425,0,584,815,841,554,538,1738,2,979,1461
R8,0,679,694,1569,1685,494,1,644,877,847,574,544,1687,3,878,1355
R9,0,25,25,56,62,18,0,24,32,31,21,20,62,1,32,49
R10,1,2,1,2,2,1,0,1,0,2,1,1,2,0,1,2
R11,0,228,242,583,650,178,1,241,332,364,221,212,687,2,369,537
R12,1,636,656,1543,1652,475,0,628,847,847,556,527,1647,3,860,1311
R13,0,457,488,1138,1279,355,0,484,673,784,459,447,1517,2,854,1135
R14,0,363,390,894,990,279,0,389,547,637,383,381,1408,1,694,956
R15,0,402,425,1013,1314,319,1,419,573,661,382,366,1174,2,634,917
R16,0,305,322,763,1037,244,0,318,435,510,290,278,892,1,483,697
