row,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
R1,0,1030,2,263,0,0,0,511,0,256,490,655,1783,0,1608,468
R2,0,1138,0,0,0,0,0,518,0,173,530,799,432,0,1685,0
R3,4,1298,0,0,0,0,0,593,0,0,376,622,4095,0,1615,0
R4,0,1357,2,1085,0,0,0,619,0,204,438,538,0,0,1299,259
R5,0,1378,2,1147,570,0,0,600,0,163,497,590,4095,2,1598,0
R6,0,646,0,1194,1253,284,0,744,841,916,637,494,1512,0,937,1313
R7,2,1012,0,0,0,0,0,392,0,156,501,551,4095,2,1728,0
R8,0,1341,0,698,0,0,0,511,0,184,496,550,0,2,1462,73
R9,2,42,2,5,0,0,2,13,0,5,16,13,0,2,38,2
R10,0,2,0,0,0,0,0,0,0,0,2,2,2,4,2,0
R11,0,268,0,526,545,155,0,320,364,411,297,210,706,2,470,580
R12,0,753,0,349,0,0,0,240,0,432,481,176,340,0,595,0
R13,0,871,0,0,0,0,0,298,0,248,537,436,0,0,1060,0
R14,2,685,0,0,0,0,0,183,0,100,416,384,0,2,897,0
R15,2,356,0,0,0,0,2,0,0,0,6,79,0,0,210,0
R16,11,738,0,0,0,0,0,184,0,279,503,352,0,2,851,0
