source,actual_load_g,row,column,raw_adc,common_valid,status,quality_flags,linear_g,gamma_g,fit_g
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_630g_20260907_090830_404118\view_distribution_capture.json,630.0,1,1,646.0,True,ok,FULL_UNSTABLE,2806.6346573548667,496.4019992361934,494.82467532467535
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_630g_20260907_090830_404118\view_distribution_capture.json,630.0,1,2,792.0,True,ok,FULL_UNSTABLE,3416.055243849806,1089.4054124372044,522.5060240963855
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_630g_20260907_090830_404118\view_distribution_capture.json,630.0,1,3,843.0,True,ok,FULL_UNSTABLE,3622.6252158894645,1377.7918456446253,539.8875
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_630g_20260907_090830_404118\view_distribution_capture.json,630.0,1,4,828.0,True,ok,FULL_UNSTABLE,3584.4550586191926,1320.634217259986,527.0283687943263
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_630g_20260907_090830_404118\view_distribution_capture.json,630.0,1,5,815.0,True,ok,FULL_UNSTABLE,3510.822510822511,1215.4174974534571,595.4545454545455
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_630g_20260907_090830_404118\view_distribution_capture.json,630.0,1,6,824.0,True,ok,FULL_UNSTABLE,3541.666666666667,1258.6956259645065,643.4761904761905
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_630g_20260907_090830_404118\view_distribution_capture.json,630.0,1,7,984.0,True,ok,FULL_UNSTABLE,4192.307692307692,2471.1697944749835,720.3863636363636
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_630g_20260907_090830_404118\view_distribution_capture.json,630.0,1,8,1249.5,True,ok,FULL_UNSTABLE,5000.0,5000.0,3466.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_630g_20260907_090830_404118\view_distribution_capture.json,630.0,1,9,1155.0,True,ok,FULL_UNSTABLE,4880.952380952381,4540.547984121841,683.047619047619
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_630g_20260907_090830_404118\view_distribution_capture.json,630.0,1,10,1176.5,True,ok,FULL_UNSTABLE,4940.8033826638475,4767.385526037801,1044.25
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_630g_20260907_090830_404118\view_distribution_capture.json,630.0,1,11,986.5,True,ok,FULL_UNSTABLE,4209.621993127148,2512.2472867214897,551.6016260162602
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_630g_20260907_090830_404118\view_distribution_capture.json,630.0,1,12,962.0,True,ok,FULL_UNSTABLE,4129.87012987013,2327.209956259546,626.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_630g_20260907_090830_404118\view_distribution_capture.json,630.0,1,13,935.0,True,ok,FULL_UNSTABLE,4068.0925360104757,2191.055001339102,992.5187969924812
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_630g_20260907_090830_404118\view_distribution_capture.json,630.0,1,14,847.0,True,ok,FULL_UNSTABLE,3654.513888888889,1426.9490083294877,602.6666666666666
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR1\evaluation\view_distribution\load_630g_20260907_090830_404118\view_distribution_capture.json,630.0,1,15,908.0,True,ok,FULL_UNSTABLE,3910.9766637856524,1871.6769214381395,728.2941176470588
