row,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
R1,1450,1,1488,1477,1484,0,0,0,1478,0,0,0,45,0,5,0
R2,1479,0,1516,1516,1513,0,0,0,1513,2,0,21,0,0,1,0
R3,1480,0,1515,1512,1520,0,6,0,1512,5,0,0,0,1,4,0
R4,1485,0,1514,1517,1506,22,0,0,1519,2,7,0,0,0,3,4
R5,1485,1,1510,1513,1508,0,0,11,1519,1,3,0,0,0,0,0
R6,1487,0,1519,1520,1510,8,0,5,1517,1,0,0,0,0,29,0
R7,1492,8,1505,1506,1517,0,0,2,1520,12,0,12,0,0,1,0
R8,1489,4,1511,1536,1515,30,4,5,1519,18,16,9,7,0,9,17
R9,1483,0,1517,1515,1531,1,0,0,1523,4,0,0,0,0,0,0
R10,1479,5,1514,1515,1512,10,0,0,1519,0,0,0,0,2,1,0
R11,1495,0,1516,1514,1518,3,0,0,1525,7,0,0,0,4,3,3
R12,1480,0,1504,1519,1518,0,0,1,1499,0,0,0,0,1,0,0
R13,1487,6,1520,1530,1515,3,0,19,1522,2,0,9,10,2,39,4
R14,1476,1,1641,1514,1508,11,0,0,1523,3,2,13,0,6,1,0
R15,1467,10,1512,1517,1513,1,2,0,1524,5,0,3,16,0,0,0
R16,25,2,26,26,25,0,0,0,26,1,0,1,1,1,1,0
