run_id,started_at,mode,condition,N,target_hz,modules,block,batch_id,repeat,old_relative_path,new_relative_path,duration_s,main_duration_s,main_packets,main_status,full_status,main_eligible,main_review_reasons,main_outer_crc_errors,main_outer_missing_sequence_numbers,main_interior_unassigned_raw_bytes,full_review_reasons,main_rate_Hz,main_Lmean_B,main_packet_Mbit_s,main_raw_arrival_Mbit_s,source_local_firmware,deployment_confirmed
20260907_004948_668301,2026-09-07T00:49:48.668301+01:00,FULL,zero_load,3,200,M0_M1_M2,1,BATCH_6b6313d281364eaa891ce82942b3d531,1,20260907_004948_668301,FULL/N=3/200Hz/M0_M1_M2/Batch_20260907_004948_668301/Repeat_1,40.00417259999085,30.004172599990852,6005,PASS,CHECK REQUIRED,True,,0,0,0,unassigned_raw_bytes_in_full_capture,200.1388300239891,3172.0,5.078722950688747,5.078722950688747,four-module-variable-spi,False
20260907_005028_724004,2026-09-07T00:50:28.724004+01:00,FULL,zero_load,3,200,M0_M1_M2,1,BATCH_6b6313d281364eaa891ce82942b3d531,2,20260907_005028_724004,FULL/N=3/200Hz/M0_M1_M2/Batch_20260907_004948_668301/Repeat_2,40.0014366999967,30.001436699996702,6003,PASS,PASS,True,,0,0,0,,200.0904176699198,3172.0,5.077494438791884,5.077494438791884,four-module-variable-spi,False
20260907_005108_797842,2026-09-07T00:51:08.797842+01:00,FULL,zero_load,3,200,M0_M1_M2,1,BATCH_6b6313d281364eaa891ce82942b3d531,3,20260907_005108_797842,FULL/N=3/200Hz/M0_M1_M2/Batch_20260907_004948_668301/Repeat_3,40.00637069999357,30.006370699993568,6002,PASS,CHECK REQUIRED,True,,0,0,0,unassigned_raw_bytes_in_full_capture,200.02419019642673,3172.0,5.075813850424525,5.075814117034575,four-module-variable-spi,False
20260907_005250_875035,2026-09-07T00:52:50.875035+01:00,FULL,zero_load,4,200,M0_M1_M2_M3,1,BATCH_9fd1ea44282d4e30a57739ebb1856112,1,20260907_005250_875035,FULL/N=4/200Hz/M0_M1_M2_M3/Repeat_1,40.00000839997665,30.00000839997665,6002,PASS,CHECK REQUIRED,True,,0,0,0,unassigned_raw_bytes_in_full_capture,200.0666106481714,4216.0,6.747846643941525,6.747846910608117,four-module-variable-spi,False
20260907_005330_930696,2026-09-07T00:53:30.930696+01:00,FULL,zero_load,4,200,M0_M1_M2_M3,1,BATCH_9fd1ea44282d4e30a57739ebb1856112,2,20260907_005330_930696,FULL/N=4/200Hz/M0_M1_M2_M3/Repeat_2,40.00523650000105,30.005236500001047,6002,PASS,PASS,True,,0,0,0,,200.03175112450091,4216.0,6.746670901927166,6.746670901927166,four-module-variable-spi,False
20260907_005410_996854,2026-09-07T00:54:10.996854+01:00,FULL,zero_load,4,200,M0_M1_M2_M3,1,BATCH_9fd1ea44282d4e30a57739ebb1856112,3,20260907_005410_996854,FULL/N=4/200Hz/M0_M1_M2_M3/Repeat_3,40.000026299996534,30.000026299996534,6003,PASS,PASS,True,,0,0,0,,200.0998245791769,4216.0,6.748966883406479,6.748966883406479,four-module-variable-spi,False
