modules,N,target_hz,condition,temporal_repeat_n,batch_n,batch_id,rate_Hz_mean,rate_Hz_sample_sd,packet_Mbit_s_mean,packet_Mbit_s_sample_sd,raw_arrival_Mbit_s_mean,raw_arrival_Mbit_s_sample_sd,Lmean_B_mean,Lmean_B_sample_sd
M0_M1,2,200,zero_load,3,1,BATCH_011a17c511724e4c87760f72a6433c4a,200.07411840612573,0.016066662408851583,3.406061791745884,0.00027351886084827113,3.406062058392866,0.0002735188578106335,2128.0,0.0
M0_M2,2,200,zero_load,3,1,BATCH_8b70d810a0494c63acc0cb8f81cf45f4,200.09278865480894,0.03640170023610454,3.406379634059467,0.0006197025448195346,3.4063798118154027,0.000619575307046796,2128.0,0.0
M0_M3,2,200,zero_load,3,1,BATCH_990964af54fc4a8e9e474a2376acbf02,200.15034402957784,0.016622953729708182,3.4073594567595333,0.00028298916429445704,3.407359634530753,0.00028286520035762224,2128.0,0.0
M1_M2,2,200,zero_load,3,1,BATCH_9870b18f5c6f405aba45d08917c5bf8e,200.2085299100343,0.02302401613963838,3.4083500131884232,0.0003919608507611946,3.4083501909497174,0.0003918400958917708,2128.0,0.0
M1_M3,2,200,zero_load,3,1,BATCH_d441cd5ac6fb45fe847fa468454f1d8b,200.39700299971162,0.028674957800819145,3.4115585790670906,0.00048816248160096076,3.4115587568320476,0.0004880559428294428,2128.0,0.0
M2_M3,2,200,zero_load,3,1,BATCH_9161ebb9271141febb469a6abcd14cb4,200.20203279427105,0.021589863761800616,3.4082394062896704,0.00036754584068061675,3.4082396729294477,0.00036754584586190926,2128.0,0.0
