run_id,started_at,date,date_bucket,mode,target_Hz,N,modules,load,load_source,load_metadata,repeat_label,duration_s,raw_bytes,raw_packets,complete_outer_packets,valid_inner_packets,valid_module_frames,expected_module_frames,unupdated_expected_module_frames,all_expected_modules_updated_packets,partial_update_packets,f_all_expected_modules_Hz,diagnostic_payload_bytes,unupdated_module_status_counts,fixed_N_mixture_applicable,K_effective_present_module_frames,Lmean_B,Lmodel_mean_B,f_packet_Hz,f_complete_Hz,f_valid_inner_Hz,bytes_per_s,Mbit_per_s,ESKF_count,ESKD_count,q_ESKF_module_frames,K_ESKD_mean,K_ESKD_sd_population,K_ESKD_median,K_ESKD_p05,K_ESKD_p95,K_zero_fraction,K_effective_all_frames,summary_result,summary_session_base_mismatches,log_parse_errors,raw_base_break_events_after_anchor,raw_unapplied_after_anchor,raw_initial_unanchored_delta_frames,raw_sha256,source_dir,audit_issue_counts
20260905_193003,2026-09-05T19:30:03.035054+01:00,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,small_area_3x1.6cm,directory_and_metadata,Small-area dynamic load (3 x 1.6 cm),Repeat_4,30.002698500000406,1576574,6010,6010,6010,6010,6010,0,6010,0,200.315314970749,0,{},True,69.16256239600665,262.3251247920133,262.3251247920133,200.315314970749,200.315314970749,200.315314970749,52547.73999745319,0.4203819199796255,30,5980,0.004991680532445923,67.10150501672241,67.49197076790885,34.0,16.0,217.0,0.0,69.16256239600665,PASS: no recorded transport/parser/cache error,0,0,0,0,147,9eb2c180c74c905c310024bf1cf06a7079ce16ba7fd0ad779f46c148f9ab92aa,DELTA\Dynamic_load\M1\Small_area_3x1.6cm\Repeat_4,"{""requested_vs_observed_algorithm"": 1}"
20260905_193110,2026-09-05T19:31:10.561791+01:00,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,small_area_3x1.6cm,directory_and_metadata,Small-area dynamic load (3 x 1.6 cm),Repeat_5,30.00079530000221,1495878,6011,6011,6011,6011,6011,0,6011,0,200.36135508712854,0,{},True,62.42838130094826,248.85676260189652,248.85676260189652,200.36135508712854,200.36135508712854,200.36135508712854,49861.27817751184,0.3988902254200947,30,5981,0.004990850108135086,60.33389065373683,54.76684971936334,34.0,15.0,182.0,0.0,62.42838130094826,PASS: no recorded transport/parser/cache error,0,0,0,0,20,cc3aaa05dbf24fae103ca7ef97d27f89806aa9778f452e165cd1b6a1614d4c65,DELTA\Dynamic_load\M1\Small_area_3x1.6cm\Repeat_5,"{""requested_vs_observed_algorithm"": 1}"
20260905_193204,2026-09-05T19:32:04.380221+01:00,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,small_area_3x1.6cm,directory_and_metadata,Small-area dynamic load (3 x 1.6 cm),Repeat_6,30.001369499994325,1559726,6012,6012,6012,6012,6012,0,6012,0,200.3908521576369,0,{},True,67.71773120425814,259.4354624085163,259.4354624085163,200.3908521576369,200.3908521576369,200.3908521576369,51988.49339195316,0.4159079471356253,30,5982,0.00499001996007984,65.65011701771982,58.99512457248466,36.0,14.0,192.0,0.0,67.71773120425814,PASS: no recorded transport/parser/cache error,0,0,0,0,37,8e4db76b06f4cd42b54ea0b0b272ea16ebe42873822ff39d6dde65ba543ace0b,DELTA\Dynamic_load\M1\Small_area_3x1.6cm\Repeat_6,"{""requested_vs_observed_algorithm"": 1}"
20260901_220515,2026-09-01T22:05:15.784578+01:00,2026-09-01,before_2026-09-05,DELTA,200,2,M1+M3,full_area_simultaneous,directory_and_metadata,Full-coverage simultaneous load on all active FSR layers,Repeat_1,30.011282099992968,5170844,5921,5921,5921,11842,11842,0,5921,0,197.29247088718637,0,{},True,166.32646512413444,873.3058604965378,873.3058604965378,197.29247088718637,197.29247088718637,197.29247088718637,172296.6710576224,1.3783733684609794,78,11764,0.006586725215335248,164.24668480108807,104.0365188580216,131.0,55.0,414.0,0.0,166.32646512413444,PASS: no recorded transport/parser/cache error,0,0,0,0,217,fb344955c7cbade8eac119cfa81ec97200155b2c3bd6b9c6068bc7aff46be6a3,DELTA\Dynamic_load\N=2\M1_M3\Full_coverage_all_FSR\Repeat_1,"{""requested_vs_observed_algorithm"": 1}"
20260901_215751,2026-09-01T21:57:51.996795+01:00,2026-09-01,before_2026-09-05,DELTA,200,4,M0+M1+M2+M3,full_area_simultaneous,directory_and_metadata,Full-coverage simultaneous load on all active FSR layers,Repeat_1,30.008501499978593,12556792,5841,5841,5841,23364,23364,0,5841,0,194.64484089630957,0,{},True,221.72093819551446,2149.7675055641157,2149.7675055641157,194.64484089630957,194.64484089630957,194.64484089630957,418441.15408458357,3.3475292326766684,120,23244,0.005136106831022085,220.38754087076234,91.82602839211773,213.0,79.0,397.84999999999854,0.0,221.72093819551446,PASS: no recorded transport/parser/cache error,0,0,0,0,537,7d9ce36c80e8736361e02bc2b594272da904eba7d015effa62d20498c79ef1db,DELTA\Dynamic_load\N=4\M0_M1_M2_M3\Full_coverage_all_FSR\Repeat_1,"{""requested_vs_observed_algorithm"": 1}"
20260901_192407,2026-09-01T19:24:07.964352+01:00,2026-09-01,before_2026-09-05,DELTA,200,1,M0,zero_load,directory_and_metadata,Zero load,Repeat_1,30.003541399986716,1076736,6006,6006,6006,6006,6006,0,6006,0,200.17636984688278,0,{},True,27.638361638361644,179.2767232767233,179.2767232767233,200.17636984688278,200.17636984688278,200.17636984688278,35886.963663578616,0.28709570930862893,30,5976,0.004995004995004995,25.367469879518072,7.423832738386546,25.0,13.0,38.0,0.0,27.638361638361644,PASS: no recorded transport/parser/cache error,0,0,0,0,119,dcfbb788325e50024bd14bd7b6ec8323e98d89bd649372595c2b7cc3f9de63c9,DELTA\Zero_load\N=1\M0\Repeat_1,{}
20260901_192450,2026-09-01T19:24:50.257341+01:00,2026-09-01,before_2026-09-05,DELTA,200,1,M0,zero_load,directory_and_metadata,Zero load,Repeat_2,30.003283199999714,1093190,6006,6006,6006,6006,6006,0,6006,0,200.17809250955767,0,{},True,29.008158508158502,182.016317016317,182.016317016317,200.17809250955767,200.17809250955767,200.17809250955767,36435.679145941285,0.2914854331675303,30,5976,0.004995004995004995,26.744143239625167,8.00656310242313,27.0,14.0,40.0,0.0,29.008158508158502,PASS: no recorded transport/parser/cache error,0,0,0,0,53,8a559e9a0e7f558dbb58a751973bd7b86ba63a51cebc03f657749393e6f710e6,DELTA\Zero_load\N=1\M0\Repeat_2,{}
20260901_192525,2026-09-01T19:25:25.911603+01:00,2026-09-01,before_2026-09-05,DELTA,200,1,M0,zero_load,directory_and_metadata,Zero load,Repeat_3,30.00223690000712,1074658,6005,6005,6005,6005,6005,0,6005,0,200.15174268551206,0,{},True,27.48026644462948,178.96053288925896,178.96053288925896,200.15174268551206,200.15174268551206,200.15174268551206,35819.26252971307,0.28655410023770456,30,5975,0.004995836802664446,25.208200836820083,7.782062823180776,25.0,13.0,38.0,0.0,27.48026644462948,PASS: no recorded transport/parser/cache error,0,0,0,0,116,99e8a9836bf91b463d796e719f3ea454733c9f2e404fa0858894bfa2102e4a04,DELTA\Zero_load\N=1\M0\Repeat_3,{}
20260905_185935,2026-09-05T18:59:35.680069+01:00,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M0,zero_load,directory_and_metadata,Zero load,Repeat_4,30.00086879999435,1239060,6004,6004,6004,6004,6004,0,6004,0,200.12753763988098,0,{},True,41.18620919387075,206.3724183877415,206.3724183877415,200.12753763988098,200.12753763988098,200.12753763988098,41300.803928726,0.330406431429808,30,5974,0.004996668887408394,38.98259122865752,11.2424671763011,40.0,20.0,56.0,0.0,41.18620919387075,PASS: no recorded transport/parser/cache error,0,0,0,0,100,526cc6e60b39c086aabfcf835efd2af8e887ece6e91e4ca7564347f391b9fb83,DELTA\Zero_load\N=1\M0\Repeat_4,"{""requested_vs_observed_algorithm"": 1}"
20260905_190017,2026-09-05T19:00:17.383430+01:00,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M0,zero_load,directory_and_metadata,Zero load,Repeat_5,30.0124622000003,1308424,6005,6005,6005,6005,6005,0,6005,0,200.08355062584434,0,{},True,46.94454621149042,217.88909242298084,217.88909242298084,200.08355062584434,200.08355062584434,200.08355062584434,43596.02325463277,0.34876818603706217,30,5975,0.004995836802664446,44.77020920502092,9.879368614644141,46.0,27.0,59.0,0.0,46.94454621149042,PASS: no recorded transport/parser/cache error,0,0,0,0,154,0a8bd1fe64d8f23c61331d3ba4c3683a702a3d484f543201dc2790ee0f1d4b49,DELTA\Zero_load\N=1\M0\Repeat_5,"{""requested_vs_observed_algorithm"": 1}"
