date,date_bucket,mode,target_Hz,N,modules,load,n_runs,run_ids,module_combinations,K_ESKD_mean_mean_over_runs,K_ESKD_mean_sd_between_runs,q_ESKF_module_frames_mean_over_runs,q_ESKF_module_frames_sd_between_runs,Lmean_B_mean_over_runs,Lmean_B_sd_between_runs,f_packet_Hz_mean_over_runs,f_packet_Hz_sd_between_runs,Mbit_per_s_mean_over_runs,Mbit_per_s_sd_between_runs,K_ESKD_pooled_mean,q_ESKF_pooled
2026-09-01,before_2026-09-05,DELTA,200,1,M0,zero_load,3,"[""20260901_192407"", ""20260901_192450"", ""20260901_192525""]","[""M0""]",25.77327131865444,0.8445625330237687,0.004995282264224812,4.802443760981543e-07,180.08452439409976,1.680434807340342,200.16873501398416,0.014740973911207487,0.2883784142379546,0.002704350211785292,25.773302839292686,0.00499528223344619
2026-09-01,before_2026-09-05,DELTA,200,1,M1,large_area,3,"[""20260901_210355"", ""20260901_210456"", ""20260901_210531""]","[""M1""]",108.81808085457844,2.2808632929220094,0.005116784288555596,9.536085327806283e-05,345.43439948809134,4.606460346576117,199.7645046497554,0.03989864814790388,0.552044847089603,0.007428083931817172,108.8181462432916,0.005116796440489433
2026-09-01,before_2026-09-05,DELTA,200,1,M1,rolling,1,"[""20260901_212641""]","[""M1""]",213.7172967547675,,0.004993342210386152,,554.0938748335552,,200.26172420736913,,0.8877103579752795,,213.7172967547675,0.004993342210386152
2026-09-01,before_2026-09-05,DELTA,200,1,M1,small_area_3x1.6cm,3,"[""20260901_211257"", ""20260901_211411"", ""20260901_211445""]","[""M1""]",76.9135351377536,2.095000706192958,0.005047134514667485,9.533061161073199e-05,281.89593505798564,4.169341464763291,200.30107861453652,0.03821968577787632,0.4517130017472637,0.006733761498752153,76.91365182005686,0.005047143649473101
2026-09-01,before_2026-09-05,DELTA,200,1,M1,zero_load,3,"[""20260901_192613"", ""20260901_192646"", ""20260901_192721""]","[""M1""]",25.56314286713841,0.6700964383978055,0.004988360584132362,8.294580400886269e-07,179.660075800359,1.3332498481252244,200.44942977429608,0.03480824395662003,0.2881020746443417,0.0021380941680465815,25.56316844919786,0.004988360492184902
2026-09-01,before_2026-09-05,DELTA,200,1,M2,zero_load,3,"[""20260901_192812"", ""20260901_192844"", ""20260901_192933""]","[""M2""]",20.915169853469983,0.2669164503704601,0.00499472781810055,4.800844811834073e-07,170.41634720642546,0.5312814422570412,200.13796238752784,0.113669587772526,0.2728544284482236,0.0009478955172621988,20.91516537453288,0.00499472778733559
2026-09-01,before_2026-09-05,DELTA,200,1,M3,zero_load,3,"[""20260901_193036"", ""20260901_193117"", ""20260901_193149""]","[""M3""]",10.309689426211373,1.312373024606396,0.004954083693088053,9.688844960509615e-05,149.27302266355494,2.6803048815754504,199.60201927722136,0.04706789878170033,0.23836095766937693,0.004228043774292071,10.309465204743791,0.004954077372669079
2026-09-01,before_2026-09-05,DELTA,200,2,M0+M1,zero_load,1,"[""20260901_200355""]","[""M0+M1""]",50.56588493335583,,0.005036091992613732,,418.9142185663925,,194.95843381131337,,0.6533668796239527,,50.56588493335583,0.005036091992613732
2026-09-01,before_2026-09-05,DELTA,200,2,M0+M2,zero_load,1,"[""20260901_201006""]","[""M0+M2""]",58.282175732217574,,0.004995836802664446,,449.5560366361365,,200.14234803696175,,0.7198016059723742,,58.282175732217574,0.004995836802664446
2026-09-01,before_2026-09-05,DELTA,200,2,M0+M3,zero_load,1,"[""20260901_201106""]","[""M0+M3""]",23.590802282645182,,0.00501002004008016,,311.5096860387442,,199.59487839534208,,0.49740590323099465,,23.590802282645182,0.00501002004008016
2026-09-01,before_2026-09-05,DELTA,200,2,M1+M2,zero_load,1,"[""20260901_202827""]","[""M1+M2""]",46.9288940940271,,0.00499417346429166,,404.3669052771766,,200.2245000959459,,0.6477132917157392,,46.9288940940271,0.00499417346429166
2026-09-01,before_2026-09-05,DELTA,200,2,M1+M3,full_area_simultaneous,1,"[""20260901_220515""]","[""M1+M3""]",164.24668480108807,,0.006586725215335248,,873.3058604965378,,197.29247088718637,,1.3783733684609794,,164.24668480108807,0.006586725215335248
2026-09-01,before_2026-09-05,DELTA,200,2,M1+M3,zero_load,1,"[""20260901_202930""]","[""M1+M3""]",31.401241819097162,,0.005009183503088996,,342.5934212723326,,199.6016651984157,,0.5470577389758394,,31.401241819097162,0.005009183503088996
2026-09-01,before_2026-09-05,DELTA,200,2,M2+M3,zero_load,1,"[""20260901_203045""]","[""M2+M3""]",35.14454697986577,,0.005008347245409015,,357.49015025041734,,199.65631581774986,,0.5710013307210574,,35.14454697986577,0.005008347245409015
